0.251,0.062,0.315,0.316,0.055,0.244,0.256,0.255,0.330,0.311,0.244,0.103,0.308,0.265,0.283,0.228,0.272,0.144,0.362,0.230,0.310,0.208,0.307,0.272,0.311,0.325,0.355,0.308,0.208,0.155
0.143,0.077,0.209,0.210,0.088,0.136,0.148,0.147,0.223,0.205,0.136,0.026,0.202,0.158,0.177,0.120,0.165,0.036,0.256,0.123,0.204,0.098,0.200,0.164,0.205,0.219,0.249,0.202,0.098,0.046
0.169,0.098,0.235,0.236,0.096,0.162,0.174,0.174,0.249,0.231,0.162,0.092,0.228,0.185,0.203,0.146,0.191,0.094,0.282,0.149,0.230,0.124,0.226,0.191,0.231,0.245,0.275,0.228,0.124,0.103
0.164,0.094,0.231,0.232,0.092,0.158,0.170,0.169,0.245,0.227,0.158,0.090,0.223,0.180,0.198,0.141,0.187,0.093,0.278,0.144,0.225,0.120,0.222,0.186,0.227,0.241,0.270,0.224,0.119,0.102
0.169,0.063,0.236,0.237,0.073,0.163,0.175,0.174,0.250,0.232,0.163,0.038,0.229,0.185,0.203,0.147,0.192,0.058,0.283,0.150,0.230,0.125,0.227,0.191,0.232,0.246,0.275,0.229,0.125,0.070
0.255,0.067,0.315,0.317,0.056,0.247,0.258,0.258,0.329,0.311,0.246,0.108,0.308,0.268,0.283,0.231,0.273,0.146,0.361,0.233,0.310,0.211,0.307,0.275,0.310,0.325,0.354,0.308,0.211,0.157
0.164,0.067,0.231,0.231,0.075,0.158,0.170,0.169,0.245,0.226,0.158,0.042,0.223,0.180,0.198,0.141,0.187,0.055,0.278,0.144,0.225,0.120,0.222,0.186,0.226,0.241,0.270,0.223,0.119,0.066
0.245,0.064,0.309,0.310,0.059,0.238,0.250,0.249,0.324,0.305,0.238,0.101,0.302,0.260,0.277,0.222,0.266,0.138,0.356,0.225,0.304,0.202,0.300,0.266,0.305,0.319,0.348,0.302,0.202,0.149
0.180,0.101,0.246,0.247,0.099,0.173,0.185,0.185,0.260,0.242,0.173,0.099,0.239,0.196,0.214,0.157,0.202,0.104,0.293,0.160,0.241,0.136,0.237,0.202,0.242,0.256,0.286,0.239,0.137,0.113
0.222,0.045,0.277,0.279,0.042,0.214,0.224,0.224,0.291,0.273,0.212,0.080,0.271,0.233,0.247,0.198,0.238,0.116,0.322,0.200,0.272,0.179,0.268,0.241,0.271,0.286,0.315,0.270,0.180,0.127
