0.043,0.075,0.115,0.093,0.115,0.074,0.163,0.101,0.093,0.115,0.253,0.128,0.262,0.115,0.090,0.115,0.421,0.276,0.139,0.301,0.143,0.065,0.157,0.020,0.093,0.083,0.115,0.177,0.059,0.157,0.020,0.262,0.152,0.083,0.088,0.093,0.161,0.093,0.157,0.142,0.220,0.335,0.071,0.020,0.115,0.099,0.360,0.171,0.230,0.055,0.456,0.020,0.386,0.180,0.115,0.456,0.165,0.262,0.020
0.048,0.005,0.071,0.047,0.071,0.026,0.121,0.031,0.047,0.071,0.195,0.084,0.211,0.071,0.045,0.071,0.357,0.206,0.069,0.246,0.111,0.038,0.088,0.060,0.047,0.055,0.071,0.118,0.054,0.088,0.060,0.203,0.084,0.086,0.095,0.047,0.092,0.047,0.088,0.107,0.169,0.277,0.045,0.060,0.071,0.070,0.306,0.113,0.173,0.048,0.393,0.060,0.323,0.137,0.071,0.393,0.096,0.211,0.060
0.096,0.077,0.022,0.043,0.022,0.089,0.150,0.080,0.043,0.022,0.165,0.138,0.178,0.022,0.044,0.022,0.329,0.180,0.090,0.220,0.158,0.050,0.069,0.105,0.043,0.088,0.022,0.142,0.099,0.069,0.105,0.174,0.064,0.145,0.153,0.043,0.074,0.043,0.069,0.101,0.137,0.248,0.087,0.105,0.022,0.099,0.281,0.078,0.146,0.095,0.364,0.105,0.295,0.137,0.022,0.364,0.078,0.178,0.105
0.072,0.052,0.045,0.026,0.045,0.066,0.149,0.058,0.026,0.045,0.192,0.119,0.204,0.045,0.024,0.045,0.356,0.206,0.080,0.245,0.143,0.026,0.089,0.081,0.026,0.076,0.045,0.144,0.082,0.089,0.081,0.200,0.084,0.122,0.129,0.026,0.093,0.026,0.088,0.112,0.162,0.275,0.069,0.081,0.045,0.092,0.307,0.105,0.172,0.073,0.391,0.081,0.321,0.147,0.045,0.391,0.096,0.204,0.081
0.108,0.077,0.019,0.042,0.019,0.095,0.133,0.074,0.042,0.019,0.137,0.125,0.161,0.019,0.043,0.019,0.302,0.152,0.077,0.192,0.144,0.075,0.046,0.123,0.042,0.084,0.019,0.123,0.101,0.046,0.123,0.145,0.042,0.151,0.159,0.042,0.050,0.042,0.046,0.089,0.118,0.220,0.091,0.123,0.019,0.093,0.257,0.056,0.118,0.103,0.336,0.123,0.267,0.115,0.019,0.336,0.054,0.161,0.123
0.045,0.024,0.081,0.058,0.081,0.011,0.123,0.040,0.058,0.081,0.202,0.084,0.224,0.081,0.056,0.081,0.365,0.214,0.077,0.254,0.112,0.038,0.096,0.054,0.058,0.066,0.081,0.122,0.059,0.096,0.054,0.210,0.092,0.070,0.082,0.058,0.100,0.058,0.096,0.121,0.184,0.284,0.047,0.054,0.081,0.078,0.314,0.125,0.181,0.049,0.400,0.054,0.331,0.144,0.081,0.400,0.103,0.224,0.054
0.127,0.121,0.136,0.129,0.136,0.117,0.005,0.099,0.129,0.136,0.128,0.064,0.187,0.136,0.131,0.136,0.259,0.122,0.073,0.157,0.054,0.149,0.090,0.156,0.129,0.106,0.136,0.021,0.115,0.090,0.156,0.144,0.094,0.166,0.176,0.129,0.086,0.129,0.090,0.097,0.173,0.181,0.109,0.156,0.136,0.088,0.221,0.118,0.123,0.118,0.295,0.156,0.225,0.073,0.136,0.295,0.083,0.187,0.156
0.060,0.028,0.064,0.042,0.064,0.041,0.101,0.011,0.042,0.064,0.163,0.074,0.186,0.064,0.041,0.064,0.325,0.175,0.038,0.215,0.097,0.052,0.057,0.090,0.042,0.046,0.064,0.097,0.057,0.057,0.090,0.171,0.053,0.109,0.121,0.042,0.061,0.042,0.057,0.088,0.146,0.245,0.044,0.090,0.064,0.052,0.276,0.086,0.142,0.051,0.361,0.090,0.291,0.110,0.064,0.361,0.064,0.186,0.090
0.164,0.133,0.092,0.115,0.092,0.137,0.112,0.106,0.115,0.092,0.071,0.118,0.129,0.092,0.119,0.092,0.231,0.080,0.079,0.121,0.125,0.153,0.058,0.194,0.115,0.128,0.092,0.098,0.152,0.058,0.194,0.086,0.058,0.202,0.212,0.115,0.059,0.115,0.058,0.082,0.093,0.142,0.137,0.194,0.092,0.120,0.197,0.045,0.063,0.152,0.257,0.194,0.188,0.079,0.092,0.257,0.059,0.129,0.194
0.094,0.073,0.031,0.045,0.031,0.076,0.136,0.077,0.045,0.031,0.150,0.119,0.193,0.031,0.047,0.031,0.318,0.166,0.083,0.206,0.138,0.068,0.063,0.104,0.045,0.091,0.031,0.127,0.102,0.063,0.104,0.161,0.058,0.122,0.128,0.045,0.068,0.045,0.063,0.113,0.151,0.233,0.085,0.104,0.031,0.100,0.277,0.088,0.136,0.094,0.349,0.104,0.279,0.127,0.031,0.349,0.071,0.193,0.104
