size_interval,size_2,size_3,size_4
0.1741,0.2150,0.3261,0.3971
0.0343,0.0007,0.0010,0.0014
0.0638,0.0227,0.0349,0.0465
0.0783,0.0099,0.0131,0.0160
0.0869,0.0244,0.0365,0.0482
0.0136,0.0017,0.0024,0.0031
0.0093,0.0054,0.0080,0.0106
0.0274,0.0014,0.0021,0.0028
0.1671,0.0113,0.0145,0.0176
0.1382,0.0235,0.0357,0.0468
0.0260,0.2427,0.3494,0.4353
0.1359,0.0017,0.0024,0.0031
0.1121,0.1171,0.1927,0.2581
0.0700,0.0258,0.0389,0.0515
0.0523,0.0083,0.0114,0.0144
0.0734,0.0264,0.0385,0.0494
0.0262,0.1567,0.4375,0.6029
0.0233,0.0017,0.0024,0.0031
0.0368,0.0007,0.0010,0.0014
0.2178,0.3443,0.5081,0.6074
0.1294,0.0017,0.0024,0.0031
0.0453,0.0030,0.0047,0.0065
0.1703,0.0208,0.0322,0.0433
0.2110,0.2069,0.2814,0.3406
0.0709,0.0085,0.0116,0.0147
0.1351,0.2739,0.3951,0.4665
0.1124,0.0240,0.0361,0.0472
0.0092,0.0049,0.0074,0.0099
0.1323,0.2210,0.3233,0.3915
0.0531,0.0195,0.0300,0.0406
0.2686,0.2042,0.2830,0.3447
0.0806,0.2520,0.3590,0.4404
0.1377,0.0211,0.0326,0.0438
0.1105,0.0048,0.0070,0.0093
0.0781,0.0017,0.0024,0.0031
0.1460,0.0063,0.0095,0.0123
0.0458,0.0189,0.0285,0.0374
0.1079,0.0063,0.0095,0.0123
0.0866,0.0197,0.0300,0.0397
0.4307,0.4651,0.5797,0.6349
0.0252,0.0991,0.1615,0.2106
0.0290,0.1200,0.2434,0.3693
0.0847,0.2381,0.3602,0.4391
0.2278,0.2150,0.2896,0.3521
0.1930,0.0222,0.0345,0.0462
0.3019,0.2952,0.4017,0.4733
0.0188,0.1551,0.3421,0.4852
0.5406,0.5599,0.6374,0.6666
0.0297,0.2369,0.3444,0.4278
0.1608,0.2142,0.3466,0.4131
0.3067,0.0024,0.0035,0.0045
0.3241,0.2565,0.3286,0.3803
0.1945,0.0024,0.0035,0.0045
0.3605,0.4075,0.5291,0.5950
0.6606,0.6902,0.6931,0.6931
0.1197,0.0024,0.0035,0.0045
0.6445,0.6931,0.6931,0.6931
0.1870,0.1730,0.2483,0.3013
0.2513,0.2144,0.2946,0.3570
