size_interval,size_2,size_3,size_4
0.1948,0.1665,0.2311,0.2914
0.0001,0.0000,0.0000,0.0000
0.0126,0.0028,0.0046,0.0063
0.0129,0.0142,0.0209,0.0276
0.0170,0.0064,0.0111,0.0158
0.0001,0.0000,0.0000,0.0000
0.0037,0.0000,0.0000,0.0000
0.0002,0.0000,0.0000,0.0000
0.0174,0.0175,0.0277,0.0382
0.0120,0.0017,0.0039,0.0061
0.3027,0.2545,0.3829,0.4546
0.0003,0.0000,0.0000,0.0000
0.1895,0.1167,0.1868,0.2464
0.0179,0.0081,0.0118,0.0163
0.0104,0.0093,0.0142,0.0191
0.0212,0.0108,0.0153,0.0198
0.3864,0.2040,0.5085,0.6590
0.0005,0.0000,0.0000,0.0000
0.0011,0.0000,0.0000,0.0000
0.4303,0.2346,0.3791,0.5540
0.0001,0.0000,0.0000,0.0000
0.0025,0.0024,0.0040,0.0055
0.0179,0.0000,0.0000,0.0023
0.2836,0.2354,0.3344,0.4338
0.0119,0.0106,0.0164,0.0223
0.3144,0.2491,0.3541,0.4210
0.0108,0.0000,0.0000,0.0000
0.0130,0.0000,0.0020,0.0040
0.3209,0.2053,0.3262,0.3967
0.0117,0.0000,0.0000,0.0009
0.2338,0.1895,0.2638,0.3357
0.3400,0.2202,0.3211,0.4046
0.0131,0.0000,0.0000,0.0000
0.0047,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000
0.0005,0.0000,0.0000,0.0000
0.0080,0.0008,0.0017,0.0026
0.0004,0.0000,0.0000,0.0000
0.0146,0.0000,0.0000,0.0000
0.3971,0.3020,0.4120,0.4827
0.1970,0.0987,0.1469,0.1954
0.4345,0.1413,0.2694,0.4039
0.2696,0.2230,0.3499,0.4467
0.2176,0.1747,0.2457,0.3079
0.0258,0.0040,0.0080,0.0140
0.2968,0.2628,0.3789,0.4860
0.2733,0.1345,0.3469,0.5086
0.4860,0.3370,0.5449,0.6254
0.2837,0.2247,0.3036,0.3586
0.3571,0.3018,0.4136,0.4823
0.0068,0.0000,0.0000,0.0000
0.4214,0.3840,0.4945,0.5425
0.0075,0.0000,0.0000,0.0000
0.3246,0.2642,0.3896,0.4656
0.4032,0.0658,0.2115,0.4886
0.0074,0.0000,0.0000,0.0000
0.4165,0.0831,0.2876,0.4800
0.2991,0.2448,0.3483,0.4278
0.2227,0.2339,0.3416,0.4144
