Time,QueueLength
1,3.02187e+06
2,1.88208e+06
3,1.47371e+06
4,876012
5,720637
6,544731
7,419442
8,379392
9,254737
10,31220.1
11,65145.6
12,0
13,0
14,0
15,6944.88
16,144539
17,1915.62
18,31005.6
19,0
20,40.5147
21,0
22,49220.6
23,328974
24,44669
25,9151.06
26,58.1746
27,548.982
28,0
29,1368.45
30,70038.3
31,63242.6
32,18871.8
33,3254.61
34,171.425
35,0
36,0
37,73922.8
38,135662
39,2757.93
40,1239.7
41,1641.14
42,1453.49
43,0
44,13126.5
45,5883.22
46,12825.1
47,445.435
48,120.38
49,0
50,0
51,1889.39
52,17295.1
53,8187.39
54,26008.1
55,1127.47
56,103.912
57,0
58,3226.45
59,1797.82
60,15401.6
61,115620
62,15219.3
63,118.548
64,0
65,0
66,999.394
67,76.1016
68,277473
69,177601
70,172.098
71,253.168
72,0
73,1281.75
74,8359.56
75,9647.14
76,17160.9
77,38401
78,1035.95
79,0
80,13.4327
81,3205.06
82,10633.1
83,95301.2
84,959.324
85,570.152
86,316.125
87,0
88,58.6424
89,10056.5
90,78064.1
91,22913.5
92,79.0047
93,0
94,0
95,160.343
96,82.2067
97,4044.04
98,4391.99
99,1905.77
100,9.65869
101,0
102,0
103,0
104,92.1168
105,78.9137
106,301.774
107,194.517
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
