five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.160.239:80-41.177.40.117:10277-TCP,1261067942.771404,48,244.3.160.239,41.177.40.117,80,10277,TCP,244.3.160.239-41.177.40.117,7,2543,0.012495040893554688
244.3.160.239:80-41.177.40.117:7176-TCP,1261067942.783899,48,244.3.160.239,41.177.40.117,80,7176,TCP,244.3.160.239-41.177.40.117,23,19553,0.00025582313537597656
244.3.160.239:80-41.177.40.117:8232-TCP,1261067942.784155,48,244.3.160.239,41.177.40.117,80,8232,TCP,244.3.160.239-41.177.40.117,8,4552,0.00036215782165527344
244.3.160.239:80-41.177.40.117:15850-TCP,1261067942.784517,48,244.3.160.239,41.177.40.117,80,15850,TCP,244.3.160.239-41.177.40.117,8,4126,0.0006630420684814453
244.3.160.239:80-41.177.40.117:14238-TCP,1261067942.78518,48,244.3.160.239,41.177.40.117,80,14238,TCP,244.3.160.239-41.177.40.117,8,3214,0.14791393280029297
244.3.160.239:80-41.177.40.117:14008-TCP,1261067942.933094,48,244.3.160.239,41.177.40.117,80,14008,TCP,244.3.160.239-41.177.40.117,14,10040,0.14225006103515625
244.3.160.239:80-41.177.40.117:12423-TCP,1261067943.075344,48,244.3.160.239,41.177.40.117,80,12423,TCP,244.3.160.239-41.177.40.117,44,40986,0.0012810230255126953
244.3.160.239:80-41.177.40.117:5164-TCP,1261067943.076625,48,244.3.160.239,41.177.40.117,80,5164,TCP,244.3.160.239-41.177.40.117,10,5410,0.4767317771911621
244.3.160.239:80-41.177.40.117:6489-TCP,1261067943.553357,48,244.3.160.239,41.177.40.117,80,6489,TCP,244.3.160.239-41.177.40.117,24,26419,0.015067100524902344
244.3.160.239:80-41.177.40.117:14147-TCP,1261067943.568424,48,244.3.160.239,41.177.40.117,80,14147,TCP,244.3.160.239-41.177.40.117,6,735,0.002460956573486328
244.3.160.239:80-41.177.40.117:11536-TCP,1261067943.570885,48,244.3.160.239,41.177.40.117,80,11536,TCP,244.3.160.239-41.177.40.117,9,6061,0.007246971130371094
244.3.160.239:80-41.177.40.117:4803-TCP,1261067943.578132,48,244.3.160.239,41.177.40.117,80,4803,TCP,244.3.160.239-41.177.40.117,6,1790,0.010442018508911133
244.3.160.239:80-41.177.40.117:10272-TCP,1261067943.588574,48,244.3.160.239,41.177.40.117,80,10272,TCP,244.3.160.239-41.177.40.117,6,1602,0.00047516822814941406
244.3.160.239:80-41.177.40.117:11020-TCP,1261067943.589049,48,244.3.160.239,41.177.40.117,80,11020,TCP,244.3.160.239-41.177.40.117,6,1190,0.29793500900268555
