five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
188.68.72.71:80-244.3.160.239:50592-TCP,1261069273.137044,48,188.68.72.71,244.3.160.239,80,50592,TCP,188.68.72.71-244.3.160.239,7,4108,219.3160901069641
188.68.72.71:80-244.3.160.239:53460-TCP,1261069492.453134,48,188.68.72.71,244.3.160.239,80,53460,TCP,188.68.72.71-244.3.160.239,7,4108,874.2804820537567
188.68.72.71:80-244.3.160.239:61415-TCP,1261070366.733616,48,188.68.72.71,244.3.160.239,80,61415,TCP,188.68.72.71-244.3.160.239,36,45234,1.4778728485107422
188.68.72.71:80-244.3.160.239:61426-TCP,1261070368.211489,48,188.68.72.71,244.3.160.239,80,61426,TCP,188.68.72.71-244.3.160.239,5,643,0.1817939281463623
188.68.72.71:80-244.3.160.239:61427-TCP,1261070368.393283,48,188.68.72.71,244.3.160.239,80,61427,TCP,188.68.72.71-244.3.160.239,16,17902,0.2094101905822754
188.68.72.71:80-244.3.160.239:61430-TCP,1261070368.602693,48,188.68.72.71,244.3.160.239,80,61430,TCP,188.68.72.71-244.3.160.239,10,7841,0.12263703346252441
188.68.72.71:80-244.3.160.239:61432-TCP,1261070368.72533,48,188.68.72.71,244.3.160.239,80,61432,TCP,188.68.72.71-244.3.160.239,5,1137,0.24270892143249512
188.68.72.71:80-244.3.160.239:61433-TCP,1261070368.968039,48,188.68.72.71,244.3.160.239,80,61433,TCP,188.68.72.71-244.3.160.239,10,9161,0.2700939178466797
188.68.72.71:80-244.3.160.239:61436-TCP,1261070369.238133,48,188.68.72.71,244.3.160.239,80,61436,TCP,188.68.72.71-244.3.160.239,15,15939,0.34287095069885254
188.68.72.71:80-244.3.160.239:61437-TCP,1261070369.581004,48,188.68.72.71,244.3.160.239,80,61437,TCP,188.68.72.71-244.3.160.239,6,2397,0.32552099227905273
188.68.72.71:80-244.3.160.239:61440-TCP,1261070369.906525,48,188.68.72.71,244.3.160.239,80,61440,TCP,188.68.72.71-244.3.160.239,5,631,74.10716509819031
188.68.72.71:80-244.3.160.239:61991-TCP,1261070444.01369,48,188.68.72.71,244.3.160.239,80,61991,TCP,188.68.72.71-244.3.160.239,32,39180,1.9200749397277832
188.68.72.71:80-244.3.160.239:62012-TCP,1261070445.933765,48,188.68.72.71,244.3.160.239,80,62012,TCP,188.68.72.71-244.3.160.239,5,408,0.16902804374694824
188.68.72.71:80-244.3.160.239:62014-TCP,1261070446.102793,48,188.68.72.71,244.3.160.239,80,62014,TCP,188.68.72.71-244.3.160.239,5,410,0.15458393096923828
188.68.72.71:80-244.3.160.239:62016-TCP,1261070446.257377,48,188.68.72.71,244.3.160.239,80,62016,TCP,188.68.72.71-244.3.160.239,5,410,0.011195182800292969
188.68.72.71:80-244.3.160.239:62017-TCP,1261070446.268572,48,188.68.72.71,244.3.160.239,80,62017,TCP,188.68.72.71-244.3.160.239,5,409,0.17454290390014648
188.68.72.71:80-244.3.160.239:62020-TCP,1261070446.443115,48,188.68.72.71,244.3.160.239,80,62020,TCP,188.68.72.71-244.3.160.239,5,409,0.17062997817993164
188.68.72.71:80-244.3.160.239:62021-TCP,1261070446.613745,48,188.68.72.71,244.3.160.239,80,62021,TCP,188.68.72.71-244.3.160.239,5,409,0.16754698753356934
188.68.72.71:80-244.3.160.239:62025-TCP,1261070446.781292,48,188.68.72.71,244.3.160.239,80,62025,TCP,188.68.72.71-244.3.160.239,5,407,0.2693331241607666
188.68.72.71:80-244.3.160.239:62029-TCP,1261070447.050625,48,188.68.72.71,244.3.160.239,80,62029,TCP,188.68.72.71-244.3.160.239,5,595,0.0007638931274414062
188.68.72.71:80-244.3.160.239:62030-TCP,1261070447.051389,48,188.68.72.71,244.3.160.239,80,62030,TCP,188.68.72.71-244.3.160.239,5,592,0.27376294136047363
188.68.72.71:80-244.3.160.239:62031-TCP,1261070447.325152,48,188.68.72.71,244.3.160.239,80,62031,TCP,188.68.72.71-244.3.160.239,5,597,0.0009391307830810547
188.68.72.71:80-244.3.160.239:62032-TCP,1261070447.326091,48,188.68.72.71,244.3.160.239,80,62032,TCP,188.68.72.71-244.3.160.239,5,591,0.2187340259552002
188.68.72.71:80-244.3.160.239:62034-TCP,1261070447.544825,48,188.68.72.71,244.3.160.239,80,62034,TCP,188.68.72.71-244.3.160.239,6,3040,0.00084686279296875
188.68.72.71:80-244.3.160.239:62035-TCP,1261070447.545672,48,188.68.72.71,244.3.160.239,80,62035,TCP,188.68.72.71-244.3.160.239,5,1145,0.2406620979309082
188.68.72.71:80-244.3.160.239:62038-TCP,1261070447.786334,48,188.68.72.71,244.3.160.239,80,62038,TCP,188.68.72.71-244.3.160.239,5,684,0.0006270408630371094
188.68.72.71:80-244.3.160.239:62039-TCP,1261070447.786961,48,188.68.72.71,244.3.160.239,80,62039,TCP,188.68.72.71-244.3.160.239,5,597,0.1994328498840332
188.68.72.71:80-244.3.160.239:62040-TCP,1261070447.986394,48,188.68.72.71,244.3.160.239,80,62040,TCP,188.68.72.71-244.3.160.239,5,599,0.000244140625
188.68.72.71:80-244.3.160.239:62041-TCP,1261070447.986638,48,188.68.72.71,244.3.160.239,80,62041,TCP,188.68.72.71-244.3.160.239,5,1183,0.19899582862854004
188.68.72.71:80-244.3.160.239:62042-TCP,1261070448.185634,48,188.68.72.71,244.3.160.239,80,62042,TCP,188.68.72.71-244.3.160.239,5,624,0.003092050552368164
188.68.72.71:80-244.3.160.239:62043-TCP,1261070448.188726,48,188.68.72.71,244.3.160.239,80,62043,TCP,188.68.72.71-244.3.160.239,5,1268,0.17121505737304688
188.68.72.71:80-244.3.160.239:62044-TCP,1261070448.359941,48,188.68.72.71,244.3.160.239,80,62044,TCP,188.68.72.71-244.3.160.239,5,1204,0.10289597511291504
188.68.72.71:80-244.3.160.239:62045-TCP,1261070448.462837,48,188.68.72.71,244.3.160.239,80,62045,TCP,188.68.72.71-244.3.160.239,5,632,0.13040709495544434
188.68.72.71:80-244.3.160.239:62046-TCP,1261070448.593244,48,188.68.72.71,244.3.160.239,80,62046,TCP,188.68.72.71-244.3.160.239,5,1509,0.04288482666015625
188.68.72.71:80-244.3.160.239:62047-TCP,1261070448.636129,48,188.68.72.71,244.3.160.239,80,62047,TCP,188.68.72.71-244.3.160.239,5,1416,0.1277170181274414
188.68.72.71:80-244.3.160.239:62048-TCP,1261070448.763846,48,188.68.72.71,244.3.160.239,80,62048,TCP,188.68.72.71-244.3.160.239,16,17802,0.11943197250366211
188.68.72.71:80-244.3.160.239:62049-TCP,1261070448.883278,48,188.68.72.71,244.3.160.239,80,62049,TCP,188.68.72.71-244.3.160.239,9,7346,0.2050471305847168
188.68.72.71:80-244.3.160.239:62051-TCP,1261070449.088325,48,188.68.72.71,244.3.160.239,80,62051,TCP,188.68.72.71-244.3.160.239,5,1463,0.03879499435424805
188.68.72.71:80-244.3.160.239:62052-TCP,1261070449.12712,48,188.68.72.71,244.3.160.239,80,62052,TCP,188.68.72.71-244.3.160.239,5,1576,0.20992207527160645
188.68.72.71:80-244.3.160.239:62054-TCP,1261070449.337042,48,188.68.72.71,244.3.160.239,80,62054,TCP,188.68.72.71-244.3.160.239,5,1402,0.00023794174194335938
188.68.72.71:80-244.3.160.239:62055-TCP,1261070449.33728,48,188.68.72.71,244.3.160.239,80,62055,TCP,188.68.72.71-244.3.160.239,5,1354,0.21542906761169434
188.68.72.71:80-244.3.160.239:62056-TCP,1261070449.552709,48,188.68.72.71,244.3.160.239,80,62056,TCP,188.68.72.71-244.3.160.239,5,1089,0.0015859603881835938
188.68.72.71:80-244.3.160.239:62057-TCP,1261070449.554295,48,188.68.72.71,244.3.160.239,80,62057,TCP,188.68.72.71-244.3.160.239,5,1092,0.21142196655273438
188.68.72.71:80-244.3.160.239:62059-TCP,1261070449.765717,48,188.68.72.71,244.3.160.239,80,62059,TCP,188.68.72.71-244.3.160.239,5,830,0.0006430149078369141
188.68.72.71:80-244.3.160.239:62060-TCP,1261070449.76636,48,188.68.72.71,244.3.160.239,80,62060,TCP,188.68.72.71-244.3.160.239,8,5442,0.18369197845458984
188.68.72.71:80-244.3.160.239:62062-TCP,1261070449.950052,48,188.68.72.71,244.3.160.239,80,62062,TCP,188.68.72.71-244.3.160.239,5,604,0.05796098709106445
188.68.72.71:80-244.3.160.239:62064-TCP,1261070450.008013,48,188.68.72.71,244.3.160.239,80,62064,TCP,188.68.72.71-244.3.160.239,5,598,0.12852692604064941
188.68.72.71:80-244.3.160.239:62065-TCP,1261070450.13654,48,188.68.72.71,244.3.160.239,80,62065,TCP,188.68.72.71-244.3.160.239,5,1362,0.03758597373962402
188.68.72.71:80-244.3.160.239:62066-TCP,1261070450.174126,48,188.68.72.71,244.3.160.239,80,62066,TCP,188.68.72.71-244.3.160.239,5,1158,0.21709609031677246
188.68.72.71:80-244.3.160.239:62068-TCP,1261070450.391222,48,188.68.72.71,244.3.160.239,80,62068,TCP,188.68.72.71-244.3.160.239,5,548,0.22068190574645996
188.68.72.71:80-244.3.160.239:62073-TCP,1261070450.611904,48,188.68.72.71,244.3.160.239,80,62073,TCP,188.68.72.71-244.3.160.239,5,628,0.022019147872924805
