five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
41.177.176.156:5099-244.3.160.239:80-TCP,1261067638.686214,52,41.177.176.156,244.3.160.239,5099,80,TCP,41.177.176.156-244.3.160.239,5,1503,1.5900239944458008
41.177.176.156:2249-244.3.160.239:80-TCP,1261067640.276238,52,41.177.176.156,244.3.160.239,2249,80,TCP,41.177.176.156-244.3.160.239,21,2143,1.2374529838562012
41.177.176.156:15905-244.3.160.239:80-TCP,1261067641.513691,52,41.177.176.156,244.3.160.239,15905,80,TCP,41.177.176.156-244.3.160.239,5,1358,5.0568201541900635
41.177.176.156:9035-244.3.160.239:80-TCP,1261067646.570511,52,41.177.176.156,244.3.160.239,9035,80,TCP,41.177.176.156-244.3.160.239,5,1436,0.7489838600158691
41.177.176.156:5298-244.3.160.239:80-TCP,1261067647.319495,52,41.177.176.156,244.3.160.239,5298,80,TCP,41.177.176.156-244.3.160.239,5,1455,0.3377361297607422
41.177.176.156:12370-244.3.160.239:80-TCP,1261067647.657231,52,41.177.176.156,244.3.160.239,12370,80,TCP,41.177.176.156-244.3.160.239,49,3219,1.4846417903900146
41.177.176.156:11573-244.3.160.239:80-TCP,1261067649.141873,52,41.177.176.156,244.3.160.239,11573,80,TCP,41.177.176.156-244.3.160.239,5,1410,1.6729180812835693
41.177.176.156:9507-244.3.160.239:80-TCP,1261067650.814791,52,41.177.176.156,244.3.160.239,9507,80,TCP,41.177.176.156-244.3.160.239,7,1505,2.117830991744995
41.177.176.156:3750-244.3.160.239:80-TCP,1261067652.932622,52,41.177.176.156,244.3.160.239,3750,80,TCP,41.177.176.156-244.3.160.239,8,1409,41.97093915939331
41.177.176.156:14004-244.3.160.239:80-TCP,1261067694.903561,52,41.177.176.156,244.3.160.239,14004,80,TCP,41.177.176.156-244.3.160.239,53,4153,4.400141000747681
41.177.176.156:6617-244.3.160.239:80-TCP,1261067699.303702,52,41.177.176.156,244.3.160.239,6617,80,TCP,41.177.176.156-244.3.160.239,5,1410,0.5134139060974121
