five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.160.239:80-18.181.118.103:4940-TCP,1261068163.763973,52,244.3.160.239,18.181.118.103,80,4940,TCP,244.3.160.239-18.181.118.103,7,2822,0.7813169956207275
244.3.160.239:80-18.181.118.103:11042-TCP,1261068164.54529,52,244.3.160.239,18.181.118.103,80,11042,TCP,244.3.160.239-18.181.118.103,5,454,0.18014812469482422
244.3.160.239:80-18.181.118.103:15221-TCP,1261068164.725438,52,244.3.160.239,18.181.118.103,80,15221,TCP,244.3.160.239-18.181.118.103,6,1849,0.7511289119720459
244.3.160.239:443-18.181.118.103:10717-TCP,1261068165.476567,52,244.3.160.239,18.181.118.103,443,10717,TCP,244.3.160.239-18.181.118.103,10,3531,0.35442090034484863
244.3.160.239:80-18.181.118.103:3352-TCP,1261068165.830988,52,244.3.160.239,18.181.118.103,80,3352,TCP,244.3.160.239-18.181.118.103,6,1242,0.16608095169067383
244.3.160.239:80-18.181.118.103:4392-TCP,1261068165.997069,52,244.3.160.239,18.181.118.103,80,4392,TCP,244.3.160.239-18.181.118.103,120,127619,0.6027810573577881
244.3.160.239:80-18.181.118.103:13844-TCP,1261068166.59985,52,244.3.160.239,18.181.118.103,80,13844,TCP,244.3.160.239-18.181.118.103,5,362,0.0004410743713378906
244.3.160.239:80-18.181.118.103:8791-TCP,1261068166.600291,52,244.3.160.239,18.181.118.103,80,8791,TCP,244.3.160.239-18.181.118.103,5,362,0.0016078948974609375
244.3.160.239:80-18.181.118.103:8098-TCP,1261068166.601899,52,244.3.160.239,18.181.118.103,80,8098,TCP,244.3.160.239-18.181.118.103,5,362,0.001772165298461914
244.3.160.239:80-18.181.118.103:15705-TCP,1261068166.603671,52,244.3.160.239,18.181.118.103,80,15705,TCP,244.3.160.239-18.181.118.103,5,362,0.0015559196472167969
244.3.160.239:80-18.181.118.103:4932-TCP,1261068166.605227,52,244.3.160.239,18.181.118.103,80,4932,TCP,244.3.160.239-18.181.118.103,5,452,0.0016469955444335938
