five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
151.77.192.83:7405-244.3.160.239:80-TCP,1261067666.056704,48,151.77.192.83,244.3.160.239,7405,80,TCP,151.77.192.83-244.3.160.239,5,787,0.5156528949737549
151.77.192.83:11000-244.3.160.239:80-TCP,1261067666.572357,48,151.77.192.83,244.3.160.239,11000,80,TCP,151.77.192.83-244.3.160.239,6,1583,0.2070450782775879
151.77.192.83:12902-244.3.160.239:80-TCP,1261067666.779402,48,151.77.192.83,244.3.160.239,12902,80,TCP,151.77.192.83-244.3.160.239,28,2093,1.942641019821167
151.77.192.83:4467-244.3.160.239:80-TCP,1261067668.722043,48,151.77.192.83,244.3.160.239,4467,80,TCP,151.77.192.83-244.3.160.239,12,1831,0.00025391578674316406
151.77.192.83:11250-244.3.160.239:80-TCP,1261067668.722297,48,151.77.192.83,244.3.160.239,11250,80,TCP,151.77.192.83-244.3.160.239,6,1541,0.0018930435180664062
151.77.192.83:9958-244.3.160.239:80-TCP,1261067668.72419,48,151.77.192.83,244.3.160.239,9958,80,TCP,151.77.192.83-244.3.160.239,6,1540,0.0006389617919921875
151.77.192.83:9850-244.3.160.239:80-TCP,1261067668.724829,48,151.77.192.83,244.3.160.239,9850,80,TCP,151.77.192.83-244.3.160.239,6,1353,0.0025730133056640625
151.77.192.83:4930-244.3.160.239:80-TCP,1261067668.727402,48,151.77.192.83,244.3.160.239,4930,80,TCP,151.77.192.83-244.3.160.239,7,1391,0.0016760826110839844
151.77.192.83:7552-244.3.160.239:80-TCP,1261067668.729078,48,151.77.192.83,244.3.160.239,7552,80,TCP,151.77.192.83-244.3.160.239,7,1386,0.00013399124145507812
151.77.192.83:9983-244.3.160.239:80-TCP,1261067668.729212,48,151.77.192.83,244.3.160.239,9983,80,TCP,151.77.192.83-244.3.160.239,66,3992,0.00018787384033203125
151.77.192.83:13230-244.3.160.239:80-TCP,1261067668.7294,48,151.77.192.83,244.3.160.239,13230,80,TCP,151.77.192.83-244.3.160.239,9,1472,0.0003790855407714844
151.77.192.83:14100-244.3.160.239:80-TCP,1261067668.729779,48,151.77.192.83,244.3.160.239,14100,80,TCP,151.77.192.83-244.3.160.239,21,2140,0.0014069080352783203
151.77.192.83:14249-244.3.160.239:80-TCP,1261067668.731186,48,151.77.192.83,244.3.160.239,14249,80,TCP,151.77.192.83-244.3.160.239,7,1440,0.00039005279541015625
151.77.192.83:7786-244.3.160.239:80-TCP,1261067668.731576,48,151.77.192.83,244.3.160.239,7786,80,TCP,151.77.192.83-244.3.160.239,13,1868,5.0067901611328125e-06
151.77.192.83:14014-244.3.160.239:80-TCP,1261067668.731581,48,151.77.192.83,244.3.160.239,14014,80,TCP,151.77.192.83-244.3.160.239,7,1588,0.0001881122589111328
151.77.192.83:5215-244.3.160.239:80-TCP,1261067668.731769,48,151.77.192.83,244.3.160.239,5215,80,TCP,151.77.192.83-244.3.160.239,5,1548,0.5681638717651367
151.77.192.83:2168-244.3.160.239:80-TCP,1261067669.299933,48,151.77.192.83,244.3.160.239,2168,80,TCP,151.77.192.83-244.3.160.239,6,1354,0.008645057678222656
151.77.192.83:3638-244.3.160.239:80-TCP,1261067669.308578,48,151.77.192.83,244.3.160.239,3638,80,TCP,151.77.192.83-244.3.160.239,6,1410,0.0011138916015625
151.77.192.83:4335-244.3.160.239:80-TCP,1261067669.309692,48,151.77.192.83,244.3.160.239,4335,80,TCP,151.77.192.83-244.3.160.239,6,1591,0.0004940032958984375
151.77.192.83:2256-244.3.160.239:80-TCP,1261067669.310186,48,151.77.192.83,244.3.160.239,2256,80,TCP,151.77.192.83-244.3.160.239,33,2632,0.0004050731658935547
