five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
77.197.210.117:42787-41.177.26.176:80-TCP,1261068668.90549,48,77.197.210.117,41.177.26.176,42787,80,TCP,77.197.210.117-41.177.26.176,7,601,0.8541390895843506
77.197.210.117:43535-41.177.26.176:80-TCP,1261068669.759629,48,77.197.210.117,41.177.26.176,43535,80,TCP,77.197.210.117-41.177.26.176,8,646,0.820728063583374
77.197.210.117:44053-41.177.26.176:80-TCP,1261068670.580357,48,77.197.210.117,41.177.26.176,44053,80,TCP,77.197.210.117-41.177.26.176,9,672,0.6344590187072754
77.197.210.117:44349-41.177.26.176:80-TCP,1261068671.214816,48,77.197.210.117,41.177.26.176,44349,80,TCP,77.197.210.117-41.177.26.176,9,722,0.9998228549957275
77.197.210.117:44765-41.177.26.176:80-TCP,1261068672.214639,48,77.197.210.117,41.177.26.176,44765,80,TCP,77.197.210.117-41.177.26.176,12,810,1.4406299591064453
77.197.210.117:45249-41.177.26.176:80-TCP,1261068673.655269,48,77.197.210.117,41.177.26.176,45249,80,TCP,77.197.210.117-41.177.26.176,8,646,0.7967720031738281
77.197.210.117:45507-41.177.26.176:80-TCP,1261068674.452041,48,77.197.210.117,41.177.26.176,45507,80,TCP,77.197.210.117-41.177.26.176,7,640,0.7849411964416504
77.197.210.117:45747-41.177.26.176:80-TCP,1261068675.236982,48,77.197.210.117,41.177.26.176,45747,80,TCP,77.197.210.117-41.177.26.176,9,722,0.8263499736785889
77.197.210.117:46013-41.177.26.176:80-TCP,1261068676.063332,48,77.197.210.117,41.177.26.176,46013,80,TCP,77.197.210.117-41.177.26.176,7,640,0.7993898391723633
77.197.210.117:46246-41.177.26.176:80-TCP,1261068676.862722,48,77.197.210.117,41.177.26.176,46246,80,TCP,77.197.210.117-41.177.26.176,9,685,0.8276200294494629
77.197.210.117:46489-41.177.26.176:80-TCP,1261068677.690342,48,77.197.210.117,41.177.26.176,46489,80,TCP,77.197.210.117-41.177.26.176,10,731,1.312201976776123
77.197.210.117:46815-41.177.26.176:80-TCP,1261068679.002544,48,77.197.210.117,41.177.26.176,46815,80,TCP,77.197.210.117-41.177.26.176,12,811,1.8144080638885498
77.197.210.117:47265-41.177.26.176:80-TCP,1261068680.816952,48,77.197.210.117,41.177.26.176,47265,80,TCP,77.197.210.117-41.177.26.176,8,682,0.8030331134796143
77.197.210.117:47465-41.177.26.176:80-TCP,1261068681.619985,48,77.197.210.117,41.177.26.176,47465,80,TCP,77.197.210.117-41.177.26.176,8,645,0.8077239990234375
77.197.210.117:47696-41.177.26.176:80-TCP,1261068682.427709,48,77.197.210.117,41.177.26.176,47696,80,TCP,77.197.210.117-41.177.26.176,8,636,0.8273239135742188
77.197.210.117:47935-41.177.26.176:80-TCP,1261068683.255033,48,77.197.210.117,41.177.26.176,47935,80,TCP,77.197.210.117-41.177.26.176,9,683,0.6109879016876221
77.197.210.117:48091-41.177.26.176:80-TCP,1261068683.866021,48,77.197.210.117,41.177.26.176,48091,80,TCP,77.197.210.117-41.177.26.176,8,672,1.8237969875335693
77.197.210.117:48622-41.177.26.176:80-TCP,1261068685.689818,48,77.197.210.117,41.177.26.176,48622,80,TCP,77.197.210.117-41.177.26.176,9,684,1.8142380714416504
77.197.210.117:49310-41.177.26.176:80-TCP,1261068687.504056,48,77.197.210.117,41.177.26.176,49310,80,TCP,77.197.210.117-41.177.26.176,10,736,1.2665550708770752
77.197.210.117:49800-41.177.26.176:80-TCP,1261068688.770611,48,77.197.210.117,41.177.26.176,49800,80,TCP,77.197.210.117-41.177.26.176,7,643,0.8306748867034912
77.197.210.117:50227-41.177.26.176:80-TCP,1261068689.601286,48,77.197.210.117,41.177.26.176,50227,80,TCP,77.197.210.117-41.177.26.176,7,595,0.8132081031799316
77.197.210.117:50650-41.177.26.176:80-TCP,1261068690.414494,48,77.197.210.117,41.177.26.176,50650,80,TCP,77.197.210.117-41.177.26.176,8,682,0.7927238941192627
77.197.210.117:51004-41.177.26.176:80-TCP,1261068691.207218,48,77.197.210.117,41.177.26.176,51004,80,TCP,77.197.210.117-41.177.26.176,14,852,0.8121721744537354
77.197.210.117:51307-41.177.26.176:80-TCP,1261068692.01939,48,77.197.210.117,41.177.26.176,51307,80,TCP,77.197.210.117-41.177.26.176,7,596,0.8136999607086182
77.197.210.117:51647-41.177.26.176:80-TCP,1261068692.83309,48,77.197.210.117,41.177.26.176,51647,80,TCP,77.197.210.117-41.177.26.176,9,685,0.8115708827972412
77.197.210.117:51979-41.177.26.176:80-TCP,1261068693.644661,48,77.197.210.117,41.177.26.176,51979,80,TCP,77.197.210.117-41.177.26.176,9,672,0.6100749969482422
77.197.210.117:52239-41.177.26.176:80-TCP,1261068694.254736,48,77.197.210.117,41.177.26.176,52239,80,TCP,77.197.210.117-41.177.26.176,7,640,0.8166940212249756
77.197.210.117:52539-41.177.26.176:80-TCP,1261068695.07143,48,77.197.210.117,41.177.26.176,52539,80,TCP,77.197.210.117-41.177.26.176,9,722,0.820375919342041
77.197.210.117:52919-41.177.26.176:80-TCP,1261068695.891806,48,77.197.210.117,41.177.26.176,52919,80,TCP,77.197.210.117-41.177.26.176,8,643,0.7998502254486084
77.197.210.117:53275-41.177.26.176:80-TCP,1261068696.691656,48,77.197.210.117,41.177.26.176,53275,80,TCP,77.197.210.117-41.177.26.176,8,628,182.42887997627258
77.197.210.117:56875-41.177.26.176:80-TCP,1261068879.120536,48,77.197.210.117,41.177.26.176,56875,80,TCP,77.197.210.117-41.177.26.176,8,637,2.6900229454040527
77.197.210.117:58749-41.177.26.176:80-TCP,1261068881.810559,48,77.197.210.117,41.177.26.176,58749,80,TCP,77.197.210.117-41.177.26.176,7,605,1.1577198505401611
77.197.210.117:59395-41.177.26.176:80-TCP,1261068882.968279,48,77.197.210.117,41.177.26.176,59395,80,TCP,77.197.210.117-41.177.26.176,7,643,0.9042091369628906
77.197.210.117:59746-41.177.26.176:80-TCP,1261068883.872488,48,77.197.210.117,41.177.26.176,59746,80,TCP,77.197.210.117-41.177.26.176,10,732,1.6077489852905273
77.197.210.117:60218-41.177.26.176:80-TCP,1261068885.480237,48,77.197.210.117,41.177.26.176,60218,80,TCP,77.197.210.117-41.177.26.176,10,729,1.2194840908050537
77.197.210.117:60614-41.177.26.176:80-TCP,1261068886.699721,48,77.197.210.117,41.177.26.176,60614,80,TCP,77.197.210.117-41.177.26.176,8,632,0.9115478992462158
77.197.210.117:60917-41.177.26.176:80-TCP,1261068887.611269,48,77.197.210.117,41.177.26.176,60917,80,TCP,77.197.210.117-41.177.26.176,8,669,3.0475170612335205
77.197.210.117:62072-41.177.26.176:80-TCP,1261068890.658786,48,77.197.210.117,41.177.26.176,62072,80,TCP,77.197.210.117-41.177.26.176,9,722,0.8369109630584717
77.197.210.117:62332-41.177.26.176:80-TCP,1261068891.495697,48,77.197.210.117,41.177.26.176,62332,80,TCP,77.197.210.117-41.177.26.176,8,681,0.7910420894622803
77.197.210.117:62571-41.177.26.176:80-TCP,1261068892.286739,48,77.197.210.117,41.177.26.176,62571,80,TCP,77.197.210.117-41.177.26.176,10,800,1.3217577934265137
77.197.210.117:62948-41.177.26.176:80-TCP,1261068893.608497,48,77.197.210.117,41.177.26.176,62948,80,TCP,77.197.210.117-41.177.26.176,8,653,1.921112060546875
77.197.210.117:63495-41.177.26.176:80-TCP,1261068895.529609,48,77.197.210.117,41.177.26.176,63495,80,TCP,77.197.210.117-41.177.26.176,13,844,1.9645299911499023
77.197.210.117:63969-41.177.26.176:80-TCP,1261068897.494139,48,77.197.210.117,41.177.26.176,63969,80,TCP,77.197.210.117-41.177.26.176,8,680,0.8125200271606445
77.197.210.117:64310-41.177.26.176:80-TCP,1261068898.306659,48,77.197.210.117,41.177.26.176,64310,80,TCP,77.197.210.117-41.177.26.176,7,603,0.6002979278564453
