five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.160.239:80-90.218.72.95:10749-TCP,1261067164.39881,40,244.3.160.239,90.218.72.95,80,10749,TCP,244.3.160.239-90.218.72.95,7,4022,0.0030291080474853516
244.3.160.239:80-90.218.72.95:14630-TCP,1261067164.401839,40,244.3.160.239,90.218.72.95,80,14630,TCP,244.3.160.239-90.218.72.95,1,40,0.001847982406616211
244.3.160.239:80-90.218.72.95:9210-TCP,1261067164.403687,48,244.3.160.239,90.218.72.95,80,9210,TCP,244.3.160.239-90.218.72.95,5,1036,0.028207063674926758
244.3.160.239:80-90.218.72.95:9146-TCP,1261067164.431894,302,244.3.160.239,90.218.72.95,80,9146,TCP,244.3.160.239-90.218.72.95,4,539,0.013883829116821289
244.3.160.239:80-90.218.72.95:2624-TCP,1261067164.445778,48,244.3.160.239,90.218.72.95,80,2624,TCP,244.3.160.239-90.218.72.95,7,3106,0.03403210639953613
244.3.160.239:80-90.218.72.95:6132-TCP,1261067164.47981,48,244.3.160.239,90.218.72.95,80,6132,TCP,244.3.160.239-90.218.72.95,5,968,0.039797067642211914
244.3.160.239:80-90.218.72.95:15692-TCP,1261067164.519607,48,244.3.160.239,90.218.72.95,80,15692,TCP,244.3.160.239-90.218.72.95,5,1105,0.01856684684753418
244.3.160.239:80-90.218.72.95:4611-TCP,1261067164.538174,48,244.3.160.239,90.218.72.95,80,4611,TCP,244.3.160.239-90.218.72.95,5,686,0.07555317878723145
244.3.160.239:80-90.218.72.95:7396-TCP,1261067164.613727,48,244.3.160.239,90.218.72.95,80,7396,TCP,244.3.160.239-90.218.72.95,7,2933,0.04689288139343262
244.3.160.239:80-90.218.72.95:8471-TCP,1261067164.66062,48,244.3.160.239,90.218.72.95,80,8471,TCP,244.3.160.239-90.218.72.95,5,1144,0.04705810546875
244.3.160.239:80-90.218.72.95:6564-TCP,1261067164.707678,48,244.3.160.239,90.218.72.95,80,6564,TCP,244.3.160.239-90.218.72.95,7,2477,0.06431293487548828
244.3.160.239:80-90.218.72.95:2737-TCP,1261067164.771991,48,244.3.160.239,90.218.72.95,80,2737,TCP,244.3.160.239-90.218.72.95,5,566,4.00543212890625e-05
244.3.160.239:80-90.218.72.95:13695-TCP,1261067164.772031,48,244.3.160.239,90.218.72.95,80,13695,TCP,244.3.160.239-90.218.72.95,5,475,0.003538846969604492
244.3.160.239:80-90.218.72.95:2956-TCP,1261067164.77557,48,244.3.160.239,90.218.72.95,80,2956,TCP,244.3.160.239-90.218.72.95,8,4751,1.0580971240997314
244.3.160.239:80-90.218.72.95:7803-TCP,1261067165.833667,48,244.3.160.239,90.218.72.95,80,7803,TCP,244.3.160.239-90.218.72.95,5,475,0.030462980270385742
244.3.160.239:80-90.218.72.95:7211-TCP,1261067165.86413,48,244.3.160.239,90.218.72.95,80,7211,TCP,244.3.160.239-90.218.72.95,5,475,0.2905440330505371
