five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.202.202:53-244.3.153.197:64793-UDP,1261067253.520114,347,244.3.202.202,244.3.153.197,53,64793,UDP,244.3.202.202-244.3.153.197,1,347,0.0018279552459716797
244.3.202.202:53-244.3.153.197:59710-UDP,1261067253.521942,165,244.3.202.202,244.3.153.197,53,59710,UDP,244.3.202.202-244.3.153.197,1,165,4.359739065170288
244.3.202.202:53-244.3.153.197:59782-UDP,1261067257.881681,314,244.3.202.202,244.3.153.197,53,59782,UDP,244.3.202.202-244.3.153.197,1,314,0.0002899169921875
244.3.202.202:53-244.3.153.197:58653-UDP,1261067257.881971,132,244.3.202.202,244.3.153.197,53,58653,UDP,244.3.202.202-244.3.153.197,1,132,0.001474142074584961
244.3.202.202:53-244.3.153.197:55024-UDP,1261067257.883445,321,244.3.202.202,244.3.153.197,53,55024,UDP,244.3.202.202-244.3.153.197,1,321,3.790855407714844e-05
244.3.202.202:53-244.3.153.197:59449-UDP,1261067257.883483,139,244.3.202.202,244.3.153.197,53,59449,UDP,244.3.202.202-244.3.153.197,1,139,4.017204999923706
244.3.202.202:53-244.3.153.197:55555-UDP,1261067261.900688,471,244.3.202.202,244.3.153.197,53,55555,UDP,244.3.202.202-244.3.153.197,2,687,5.0067901611328125e-06
244.3.202.202:53-244.3.153.197:62987-UDP,1261067261.900693,191,244.3.202.202,244.3.153.197,53,62987,UDP,244.3.202.202-244.3.153.197,1,191,0.47321009635925293
244.3.202.202:53-244.3.153.197:62968-UDP,1261067262.373903,477,244.3.202.202,244.3.153.197,53,62968,UDP,244.3.202.202-244.3.153.197,1,477,0.0017850399017333984
244.3.202.202:53-244.3.153.197:52283-UDP,1261067262.375688,197,244.3.202.202,244.3.153.197,53,52283,UDP,244.3.202.202-244.3.153.197,1,197,26.284782886505127
244.3.202.202:53-244.3.153.197:54049-UDP,1261067288.660471,513,244.3.202.202,244.3.153.197,53,54049,UDP,244.3.202.202-244.3.153.197,1,513,0.005873918533325195
244.3.202.202:53-244.3.153.197:63034-UDP,1261067288.666345,233,244.3.202.202,244.3.153.197,53,63034,UDP,244.3.202.202-244.3.153.197,1,233,20.33952021598816
244.3.202.202:53-244.3.153.197:51947-UDP,1261067309.005865,266,244.3.202.202,244.3.153.197,53,51947,UDP,244.3.202.202-244.3.153.197,1,266,5.0067901611328125e-06
244.3.202.202:53-244.3.153.197:62595-UDP,1261067309.00587,148,244.3.202.202,244.3.153.197,53,62595,UDP,244.3.202.202-244.3.153.197,1,148,0.0267488956451416
244.3.202.202:53-244.3.153.197:55343-UDP,1261067309.032619,164,244.3.202.202,244.3.153.197,53,55343,UDP,244.3.202.202-244.3.153.197,1,164,0.0015530586242675781
244.3.202.202:53-244.3.153.197:55275-UDP,1261067309.034172,337,244.3.202.202,244.3.153.197,53,55275,UDP,244.3.202.202-244.3.153.197,1,337,1.16845703125
244.3.202.202:53-244.3.153.197:56202-UDP,1261067310.202629,196,244.3.202.202,244.3.153.197,53,56202,UDP,244.3.202.202-244.3.153.197,1,196,0.0022058486938476562
244.3.202.202:53-244.3.153.197:52395-UDP,1261067310.204835,519,244.3.202.202,244.3.153.197,53,52395,UDP,244.3.202.202-244.3.153.197,1,519,3.409385681152344e-05
244.3.202.202:53-244.3.153.197:60163-UDP,1261067310.204869,182,244.3.202.202,244.3.153.197,53,60163,UDP,244.3.202.202-244.3.153.197,1,182,0.0018510818481445312
244.3.202.202:53-244.3.153.197:52750-UDP,1261067310.20672,173,244.3.202.202,244.3.153.197,53,52750,UDP,244.3.202.202-244.3.153.197,1,173,4.76837158203125e-06
244.3.202.202:53-244.3.153.197:61361-UDP,1261067310.206725,507,244.3.202.202,244.3.153.197,53,61361,UDP,244.3.202.202-244.3.153.197,1,507,0.0014111995697021484
244.3.202.202:53-244.3.153.197:57993-UDP,1261067310.208136,208,244.3.202.202,244.3.153.197,53,57993,UDP,244.3.202.202-244.3.153.197,1,208,5.0067901611328125e-06
244.3.202.202:53-244.3.153.197:62965-UDP,1261067310.208141,488,244.3.202.202,244.3.153.197,53,62965,UDP,244.3.202.202-244.3.153.197,1,488,0.0013909339904785156
244.3.202.202:53-244.3.153.197:52733-UDP,1261067310.209532,190,244.3.202.202,244.3.153.197,53,52733,UDP,244.3.202.202-244.3.153.197,1,190,4.0531158447265625e-06
244.3.202.202:53-244.3.153.197:57309-UDP,1261067310.209536,470,244.3.202.202,244.3.153.197,53,57309,UDP,244.3.202.202-244.3.153.197,1,470,0.022495031356811523
244.3.202.202:53-244.3.153.197:58427-UDP,1261067310.232031,62,244.3.202.202,244.3.153.197,53,58427,UDP,244.3.202.202-244.3.153.197,2,191,0.03142690658569336
244.3.202.202:53-244.3.153.197:58789-UDP,1261067310.263458,62,244.3.202.202,244.3.153.197,53,58789,UDP,244.3.202.202-244.3.153.197,1,62,0.17758488655090332
244.3.202.202:53-244.3.153.197:64143-UDP,1261067310.441043,467,244.3.202.202,244.3.153.197,53,64143,UDP,244.3.202.202-244.3.153.197,1,467,0.0017859935760498047
244.3.202.202:53-244.3.153.197:50327-UDP,1261067310.442829,187,244.3.202.202,244.3.153.197,53,50327,UDP,244.3.202.202-244.3.153.197,1,187,0.023603200912475586
244.3.202.202:53-244.3.153.197:64159-UDP,1261067310.466432,166,244.3.202.202,244.3.153.197,53,64159,UDP,244.3.202.202-244.3.153.197,1,166,0.002228975296020508
244.3.202.202:53-244.3.153.197:63926-UDP,1261067310.468661,500,244.3.202.202,244.3.153.197,53,63926,UDP,244.3.202.202-244.3.153.197,1,500,7.763161897659302
244.3.202.202:53-244.3.153.197:56756-UDP,1261067318.231823,477,244.3.202.202,244.3.153.197,53,56756,UDP,244.3.202.202-244.3.153.197,1,477,2.5033950805664062e-05
