five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
41.177.26.176:80-77.197.128.64:52663-TCP,1261067164.954,1498,41.177.26.176,77.197.128.64,80,52663,TCP,41.177.26.176-77.197.128.64,14,15357,0.4669339656829834
41.177.26.176:80-77.197.128.64:53146-TCP,1261067165.420934,48,41.177.26.176,77.197.128.64,80,53146,TCP,41.177.26.176-77.197.128.64,12,11674,0.8005409240722656
41.177.26.176:80-77.197.128.64:53340-TCP,1261067166.221475,48,41.177.26.176,77.197.128.64,80,53340,TCP,41.177.26.176-77.197.128.64,11,11504,3.119029998779297
41.177.26.176:80-77.197.128.64:54179-TCP,1261067169.340505,48,41.177.26.176,77.197.128.64,80,54179,TCP,41.177.26.176-77.197.128.64,14,11439,1.6117780208587646
41.177.26.176:80-77.197.128.64:54797-TCP,1261067170.952283,48,41.177.26.176,77.197.128.64,80,54797,TCP,41.177.26.176-77.197.128.64,12,12091,1.2386109828948975
41.177.26.176:80-77.197.128.64:55210-TCP,1261067172.190894,48,41.177.26.176,77.197.128.64,80,55210,TCP,41.177.26.176-77.197.128.64,12,11537,0.9961960315704346
41.177.26.176:80-77.197.128.64:55633-TCP,1261067173.18709,48,41.177.26.176,77.197.128.64,80,55633,TCP,41.177.26.176-77.197.128.64,12,11651,0.8595590591430664
41.177.26.176:80-77.197.128.64:55885-TCP,1261067174.046649,48,41.177.26.176,77.197.128.64,80,55885,TCP,41.177.26.176-77.197.128.64,11,11635,1.0893769264221191
41.177.26.176:80-77.197.128.64:56098-TCP,1261067175.136026,48,41.177.26.176,77.197.128.64,80,56098,TCP,41.177.26.176-77.197.128.64,12,11706,1.0114719867706299
41.177.26.176:80-77.197.128.64:56355-TCP,1261067176.147498,48,41.177.26.176,77.197.128.64,80,56355,TCP,41.177.26.176-77.197.128.64,15,10439,2.2337310314178467
41.177.26.176:80-77.197.128.64:56907-TCP,1261067178.381229,48,41.177.26.176,77.197.128.64,80,56907,TCP,41.177.26.176-77.197.128.64,13,12068,1.102545976638794
41.177.26.176:80-77.197.128.64:57089-TCP,1261067179.483775,48,41.177.26.176,77.197.128.64,80,57089,TCP,41.177.26.176-77.197.128.64,12,11677,1.0014150142669678
41.177.26.176:80-77.197.128.64:57279-TCP,1261067180.48519,48,41.177.26.176,77.197.128.64,80,57279,TCP,41.177.26.176-77.197.128.64,12,11660,0.8240411281585693
