five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
253.108.13.253:53-253.37.253.139:34279-UDP,1261067400.971264,121,253.108.13.253,253.37.253.139,53,34279,UDP,253.108.13.253-253.37.253.139,1,121,0.003643035888671875
253.108.13.253:53-253.37.253.139:34280-UDP,1261067400.974907,208,253.108.13.253,253.37.253.139,53,34280,UDP,253.108.13.253-253.37.253.139,1,208,0.08243608474731445
253.108.13.253:53-253.37.253.139:34281-UDP,1261067401.057343,121,253.108.13.253,253.37.253.139,53,34281,UDP,253.108.13.253-253.37.253.139,1,121,0.0018010139465332031
253.108.13.253:53-253.37.253.139:34282-UDP,1261067401.059144,208,253.108.13.253,253.37.253.139,53,34282,UDP,253.108.13.253-253.37.253.139,1,208,0.07545995712280273
253.108.13.253:53-253.37.253.139:34283-UDP,1261067401.134604,261,253.108.13.253,253.37.253.139,53,34283,UDP,253.108.13.253-253.37.253.139,1,261,299.90413999557495
253.108.13.253:53-253.37.253.139:34304-UDP,1261067701.038744,121,253.108.13.253,253.37.253.139,53,34304,UDP,253.108.13.253-253.37.253.139,1,121,0.001837015151977539
253.108.13.253:53-253.37.253.139:34305-UDP,1261067701.040581,208,253.108.13.253,253.37.253.139,53,34305,UDP,253.108.13.253-253.37.253.139,1,208,0.07501602172851562
253.108.13.253:53-253.37.253.139:34306-UDP,1261067701.115597,121,253.108.13.253,253.37.253.139,53,34306,UDP,253.108.13.253-253.37.253.139,1,121,0.0018448829650878906
253.108.13.253:53-253.37.253.139:34307-UDP,1261067701.117442,208,253.108.13.253,253.37.253.139,53,34307,UDP,253.108.13.253-253.37.253.139,1,208,0.06678318977355957
253.108.13.253:53-253.37.253.139:34308-UDP,1261067701.184225,261,253.108.13.253,253.37.253.139,53,34308,UDP,253.108.13.253-253.37.253.139,1,261,293.1067578792572
253.108.13.253:53-253.37.253.139:34329-UDP,1261067994.290983,212,253.108.13.253,253.37.253.139,53,34329,UDP,253.108.13.253-253.37.253.139,1,212,6.7666990756988525
253.108.13.253:53-253.37.253.139:34330-UDP,1261068001.057682,121,253.108.13.253,253.37.253.139,53,34330,UDP,253.108.13.253-253.37.253.139,1,121,0.0018498897552490234
253.108.13.253:53-253.37.253.139:34331-UDP,1261068001.059532,208,253.108.13.253,253.37.253.139,53,34331,UDP,253.108.13.253-253.37.253.139,1,208,0.09066104888916016
253.108.13.253:53-253.37.253.139:34332-UDP,1261068001.150193,121,253.108.13.253,253.37.253.139,53,34332,UDP,253.108.13.253-253.37.253.139,1,121,0.0018260478973388672
253.108.13.253:53-253.37.253.139:34333-UDP,1261068001.152019,208,253.108.13.253,253.37.253.139,53,34333,UDP,253.108.13.253-253.37.253.139,1,208,0.0683438777923584
253.108.13.253:53-253.37.253.139:34334-UDP,1261068001.220363,261,253.108.13.253,253.37.253.139,53,34334,UDP,253.108.13.253-253.37.253.139,1,261,83.07988119125366
253.108.13.253:53-253.37.253.139:34338-UDP,1261068084.300244,172,253.108.13.253,253.37.253.139,53,34338,UDP,253.108.13.253-253.37.253.139,1,172,90.00946879386902
253.108.13.253:53-253.37.253.139:34343-UDP,1261068174.309713,205,253.108.13.253,253.37.253.139,53,34343,UDP,253.108.13.253-253.37.253.139,1,205,90.00967907905579
253.108.13.253:53-253.37.253.139:34351-UDP,1261068264.319392,228,253.108.13.253,253.37.253.139,53,34351,UDP,253.108.13.253-253.37.253.139,1,228,36.73106002807617
253.108.13.253:53-253.37.253.139:34360-UDP,1261068301.050452,121,253.108.13.253,253.37.253.139,53,34360,UDP,253.108.13.253-253.37.253.139,1,121,0.001847982406616211
253.108.13.253:53-253.37.253.139:34361-UDP,1261068301.0523,208,253.108.13.253,253.37.253.139,53,34361,UDP,253.108.13.253-253.37.253.139,1,208,0.07832098007202148
253.108.13.253:53-253.37.253.139:34362-UDP,1261068301.130621,121,253.108.13.253,253.37.253.139,53,34362,UDP,253.108.13.253-253.37.253.139,1,121,0.0020389556884765625
253.108.13.253:53-253.37.253.139:34363-UDP,1261068301.13266,208,253.108.13.253,253.37.253.139,53,34363,UDP,253.108.13.253-253.37.253.139,1,208,0.07472920417785645
253.108.13.253:53-253.37.253.139:34364-UDP,1261068301.207389,261,253.108.13.253,253.37.253.139,53,34364,UDP,253.108.13.253-253.37.253.139,1,261,53.121649980545044
253.108.13.253:53-253.37.253.139:34367-UDP,1261068354.329039,233,253.108.13.253,253.37.253.139,53,34367,UDP,253.108.13.253-253.37.253.139,1,233,180.01867985725403
253.108.13.253:53-253.37.253.139:34383-UDP,1261068534.347719,274,253.108.13.253,253.37.253.139,53,34383,UDP,253.108.13.253-253.37.253.139,1,274,66.7645320892334
253.108.13.253:53-253.37.253.139:34386-UDP,1261068601.112251,121,253.108.13.253,253.37.253.139,53,34386,UDP,253.108.13.253-253.37.253.139,1,121,0.0018699169158935547
253.108.13.253:53-253.37.253.139:34387-UDP,1261068601.114121,208,253.108.13.253,253.37.253.139,53,34387,UDP,253.108.13.253-253.37.253.139,1,208,0.08516407012939453
253.108.13.253:53-253.37.253.139:34388-UDP,1261068601.199285,121,253.108.13.253,253.37.253.139,53,34388,UDP,253.108.13.253-253.37.253.139,1,121,0.0018448829650878906
253.108.13.253:53-253.37.253.139:34389-UDP,1261068601.20113,208,253.108.13.253,253.37.253.139,53,34389,UDP,253.108.13.253-253.37.253.139,1,208,0.06772112846374512
253.108.13.253:53-253.37.253.139:34390-UDP,1261068601.268851,261,253.108.13.253,253.37.253.139,53,34390,UDP,253.108.13.253-253.37.253.139,1,261,299.74702405929565
253.108.13.253:53-253.37.253.139:34407-UDP,1261068901.015875,121,253.108.13.253,253.37.253.139,53,34407,UDP,253.108.13.253-253.37.253.139,1,121,0.001873016357421875
253.108.13.253:53-253.37.253.139:34408-UDP,1261068901.017748,208,253.108.13.253,253.37.253.139,53,34408,UDP,253.108.13.253-253.37.253.139,1,208,0.07708597183227539
253.108.13.253:53-253.37.253.139:34409-UDP,1261068901.094834,121,253.108.13.253,253.37.253.139,53,34409,UDP,253.108.13.253-253.37.253.139,1,121,0.0018618106842041016
253.108.13.253:53-253.37.253.139:34410-UDP,1261068901.096696,208,253.108.13.253,253.37.253.139,53,34410,UDP,253.108.13.253-253.37.253.139,1,208,0.06848406791687012
253.108.13.253:53-253.37.253.139:34411-UDP,1261068901.16518,261,253.108.13.253,253.37.253.139,53,34411,UDP,253.108.13.253-253.37.253.139,1,261,299.6234610080719
253.108.13.253:53-253.37.253.139:34429-UDP,1261069200.788641,117,253.108.13.253,253.37.253.139,53,34429,UDP,253.108.13.253-253.37.253.139,1,117,0.0019299983978271484
253.108.13.253:53-253.37.253.139:34430-UDP,1261069200.790571,204,253.108.13.253,253.37.253.139,53,34430,UDP,253.108.13.253-253.37.253.139,1,204,0.2037200927734375
253.108.13.253:53-253.37.253.139:34431-UDP,1261069200.994291,121,253.108.13.253,253.37.253.139,53,34431,UDP,253.108.13.253-253.37.253.139,1,121,0.0018320083618164062
