0.002,0.056,0.003,0.055,0.003,0.011,0.002,0.005,0.053,0.004,0.066,0.055,0.006,0.054,0.055,0.057,0.064,0.004,0.005,0.053,0.006,0.059,0.057,0.005,0.065,0.056,0.053,0.004,0.007,0.055,0.004,0.059,0.058,0.066,0.055,0.005,0.012,0.003,0.003,0.051,0.064,0.004,0.004,0.016,0.055,0.046,0.092,0.057,0.087,0.055,0.050,0.055,0.072,0.040,0.041,0.090
0.060,0.005,0.059,0.006,0.061,0.061,0.061,0.060,0.007,0.061,0.069,0.007,0.055,0.006,0.006,0.004,0.004,0.058,0.061,0.008,0.063,0.004,0.004,0.060,0.063,0.005,0.008,0.060,0.060,0.006,0.058,0.004,0.005,0.068,0.007,0.061,0.061,0.059,0.061,0.010,0.064,0.062,0.061,0.059,0.006,0.058,0.048,0.005,0.042,0.007,0.054,0.006,0.076,0.045,0.045,0.045
0.004,0.055,0.001,0.055,0.005,0.012,0.003,0.006,0.052,0.005,0.066,0.054,0.005,0.053,0.054,0.057,0.062,0.002,0.007,0.052,0.007,0.059,0.057,0.007,0.064,0.055,0.052,0.006,0.008,0.055,0.002,0.058,0.057,0.065,0.053,0.007,0.011,0.003,0.003,0.050,0.064,0.007,0.007,0.015,0.055,0.045,0.092,0.056,0.087,0.054,0.050,0.054,0.071,0.039,0.040,0.090
0.055,0.003,0.055,0.000,0.057,0.056,0.057,0.056,0.003,0.057,0.064,0.002,0.050,0.003,0.002,0.003,0.009,0.054,0.056,0.003,0.058,0.004,0.003,0.056,0.058,0.003,0.003,0.055,0.055,0.002,0.054,0.005,0.005,0.063,0.002,0.056,0.057,0.055,0.056,0.005,0.059,0.057,0.056,0.055,0.002,0.054,0.049,0.003,0.043,0.002,0.049,0.002,0.072,0.040,0.040,0.046
0.004,0.053,0.003,0.053,0.006,0.014,0.005,0.005,0.051,0.005,0.064,0.052,0.003,0.051,0.052,0.055,0.061,0.004,0.005,0.050,0.009,0.057,0.055,0.009,0.062,0.053,0.050,0.005,0.006,0.053,0.004,0.056,0.056,0.064,0.052,0.005,0.008,0.003,0.004,0.048,0.061,0.008,0.007,0.013,0.053,0.044,0.090,0.055,0.085,0.052,0.047,0.053,0.070,0.037,0.038,0.088
0.017,0.059,0.018,0.057,0.012,0.004,0.014,0.015,0.055,0.014,0.081,0.056,0.018,0.056,0.057,0.059,0.066,0.015,0.018,0.055,0.010,0.061,0.059,0.010,0.079,0.058,0.055,0.014,0.020,0.057,0.015,0.061,0.060,0.081,0.057,0.018,0.027,0.018,0.017,0.053,0.078,0.011,0.012,0.031,0.057,0.051,0.098,0.059,0.093,0.056,0.065,0.057,0.088,0.053,0.055,0.096
0.007,0.058,0.007,0.058,0.003,0.007,0.005,0.008,0.055,0.007,0.072,0.056,0.010,0.056,0.056,0.060,0.065,0.005,0.009,0.055,0.006,0.061,0.059,0.003,0.070,0.058,0.055,0.007,0.011,0.057,0.005,0.061,0.060,0.071,0.056,0.009,0.017,0.008,0.007,0.052,0.070,0.006,0.006,0.021,0.057,0.047,0.096,0.059,0.091,0.056,0.055,0.057,0.077,0.043,0.046,0.094
0.003,0.057,0.006,0.056,0.004,0.010,0.004,0.001,0.054,0.002,0.068,0.055,0.006,0.055,0.055,0.058,0.064,0.007,0.005,0.053,0.005,0.060,0.058,0.006,0.066,0.057,0.053,0.002,0.007,0.056,0.007,0.059,0.059,0.067,0.055,0.005,0.013,0.004,0.004,0.051,0.065,0.004,0.003,0.017,0.056,0.048,0.092,0.058,0.087,0.055,0.051,0.055,0.074,0.041,0.042,0.090
0.055,0.003,0.054,0.003,0.056,0.056,0.056,0.055,0.002,0.056,0.064,0.003,0.050,0.002,0.003,0.004,0.010,0.053,0.055,0.003,0.057,0.005,0.004,0.055,0.059,0.003,0.002,0.054,0.054,0.003,0.053,0.005,0.005,0.064,0.003,0.055,0.056,0.054,0.056,0.005,0.059,0.056,0.055,0.054,0.003,0.054,0.049,0.003,0.043,0.003,0.049,0.003,0.072,0.039,0.039,0.047
0.004,0.058,0.006,0.057,0.004,0.009,0.003,0.003,0.054,0.001,0.069,0.056,0.007,0.055,0.056,0.059,0.065,0.006,0.006,0.054,0.004,0.061,0.059,0.006,0.067,0.058,0.054,0.003,0.008,0.056,0.006,0.060,0.060,0.068,0.056,0.006,0.014,0.005,0.004,0.052,0.066,0.002,0.003,0.018,0.056,0.048,0.093,0.058,0.088,0.056,0.052,0.056,0.075,0.042,0.043,0.091
