size_interval,size_2,size_3,size_4
0.0254,0.0045,0.0091,0.0139
0.0602,0.0065,0.0156,0.0269
0.0005,0.0000,0.0000,0.0000
0.0001,0.0000,0.0000,0.0000
0.0414,0.0076,0.0201,0.0337
0.0041,0.0000,0.0000,0.0000
0.0544,0.0107,0.0289,0.0527
0.0220,0.0011,0.0023,0.0036
0.0015,0.0005,0.0009,0.0014
0.2410,0.0135,0.0383,0.0678
0.0038,0.0000,0.0000,0.0000
0.2658,0.0667,0.2257,0.3596
0.0908,0.0026,0.0095,0.0169
0.0549,0.0000,0.0000,0.0000
0.3011,0.0138,0.0974,0.1924
0.4252,0.2816,0.4630,0.5764
0.0110,0.0027,0.0054,0.0083
0.0086,0.0000,0.0000,0.0000
0.0011,0.0000,0.0000,0.0000
0.0020,0.0006,0.0012,0.0018
0.0007,0.0000,0.0000,0.0000
0.4709,0.2678,0.5327,0.6514
0.0048,0.0000,0.0000,0.0000
0.0677,0.0034,0.0200,0.0486
0.0068,0.0028,0.0051,0.0073
0.3132,0.1777,0.3255,0.4319
0.0071,0.0000,0.0000,0.0000
0.2536,0.0353,0.0674,0.1114
0.0079,0.0000,0.0000,0.0000
0.1966,0.0185,0.1179,0.1946
0.0091,0.0000,0.0000,0.0000
0.1608,0.0397,0.0725,0.1248
