0.002,0.015,0.027,0.009,0.028,0.006,0.027,0.029,0.027,0.029,0.013,0.008,0.014,0.007,0.028,0.007,0.030,0.028,0.028,0.008
0.014,0.000,0.017,0.007,0.019,0.010,0.019,0.020,0.018,0.019,0.004,0.011,0.003,0.009,0.020,0.009,0.021,0.018,0.018,0.014
0.025,0.017,0.000,0.020,0.005,0.023,0.004,0.005,0.005,0.002,0.017,0.021,0.017,0.021,0.004,0.022,0.006,0.002,0.003,0.023
0.007,0.007,0.020,0.000,0.022,0.004,0.022,0.024,0.021,0.022,0.004,0.006,0.005,0.005,0.023,0.003,0.025,0.022,0.022,0.008
0.025,0.019,0.005,0.022,0.001,0.023,0.001,0.004,0.002,0.005,0.019,0.021,0.018,0.021,0.002,0.022,0.004,0.005,0.005,0.023
0.002,0.014,0.026,0.007,0.027,0.003,0.026,0.028,0.026,0.028,0.010,0.008,0.011,0.006,0.027,0.005,0.029,0.027,0.028,0.007
0.025,0.019,0.004,0.022,0.002,0.023,0.000,0.003,0.002,0.004,0.019,0.021,0.018,0.021,0.002,0.022,0.004,0.004,0.005,0.023
0.027,0.020,0.005,0.024,0.004,0.025,0.003,0.000,0.004,0.004,0.020,0.022,0.020,0.022,0.003,0.024,0.002,0.004,0.005,0.024
0.025,0.018,0.005,0.021,0.002,0.023,0.002,0.004,0.000,0.006,0.018,0.020,0.018,0.021,0.003,0.022,0.005,0.006,0.006,0.022
0.027,0.019,0.002,0.022,0.005,0.025,0.004,0.004,0.006,0.000,0.019,0.022,0.018,0.023,0.004,0.024,0.004,0.001,0.001,0.025
0.006,0.009,0.022,0.003,0.024,0.003,0.024,0.025,0.023,0.024,0.006,0.006,0.007,0.005,0.025,0.003,0.027,0.024,0.024,0.007
0.007,0.011,0.021,0.006,0.022,0.006,0.021,0.022,0.020,0.023,0.008,0.000,0.009,0.006,0.022,0.006,0.024,0.022,0.023,0.003
0.008,0.007,0.020,0.002,0.022,0.005,0.022,0.023,0.021,0.022,0.004,0.006,0.005,0.005,0.023,0.005,0.025,0.022,0.022,0.008
0.003,0.012,0.023,0.006,0.024,0.002,0.024,0.025,0.023,0.025,0.009,0.006,0.010,0.003,0.025,0.004,0.026,0.025,0.025,0.006
0.026,0.020,0.004,0.023,0.001,0.024,0.001,0.003,0.002,0.004,0.020,0.021,0.019,0.022,0.000,0.023,0.003,0.004,0.005,0.024
0.005,0.009,0.022,0.003,0.023,0.002,0.022,0.024,0.022,0.024,0.006,0.006,0.007,0.004,0.023,0.000,0.025,0.023,0.023,0.007
0.027,0.021,0.005,0.024,0.004,0.025,0.004,0.002,0.004,0.005,0.021,0.022,0.020,0.023,0.003,0.024,0.001,0.005,0.005,0.024
0.026,0.018,0.002,0.022,0.005,0.024,0.004,0.004,0.005,0.001,0.019,0.022,0.018,0.022,0.004,0.023,0.004,0.000,0.002,0.024
0.027,0.018,0.003,0.022,0.005,0.024,0.005,0.005,0.006,0.001,0.018,0.022,0.018,0.022,0.004,0.023,0.004,0.002,0.000,0.025
0.006,0.015,0.024,0.008,0.025,0.006,0.025,0.025,0.023,0.026,0.012,0.004,0.013,0.006,0.025,0.006,0.027,0.025,0.026,0.001
