size_interval,size_2,size_3,size_4
0.0773,0.0490,0.1050,0.1417
0.1150,0.0659,0.1562,0.2153
0.0647,0.0310,0.0878,0.1313
0.0974,0.0591,0.1374,0.1713
0.0773,0.0340,0.0993,0.1601
0.0805,0.0490,0.1148,0.1600
0.0639,0.0341,0.0873,0.1440
0.0558,0.0194,0.0659,0.1220
0.0820,0.0325,0.0997,0.1537
0.0559,0.0187,0.0700,0.1100
0.0902,0.0548,0.1232,0.1649
0.0742,0.0468,0.1040,0.1323
0.0838,0.0501,0.1175,0.1619
0.0851,0.0522,0.1194,0.1607
0.0751,0.0352,0.0969,0.1529
0.0387,0.0202,0.0543,0.0765
0.0794,0.0306,0.0794,0.1481
0.0566,0.0207,0.0774,0.1243
0.0731,0.0279,0.0885,0.1500
0.0818,0.0447,0.1139,0.1600
