size_interval,size_2,size_3,size_4
0.3211,0.4873,0.6612,0.6894
0.2551,0.6368,0.6884,0.6931
0.4049,0.5128,0.6590,0.6892
0.0436,0.5055,0.6726,0.6911
0.3091,0.5477,0.6806,0.6931
0.0372,0.5226,0.6745,0.6931
0.3238,0.5794,0.6832,0.6931
0.3231,0.5749,0.6912,0.6931
0.3652,0.6182,0.6841,0.6931
0.2553,0.5923,0.6829,0.6931
0.1930,0.5800,0.6842,0.6914
0.3355,0.4814,0.6699,0.6912
0.3508,0.5848,0.6846,0.6931
0.2031,0.5138,0.6681,0.6896
0.3860,0.5787,0.6845,0.6931
0.2618,0.5375,0.6743,0.6931
0.0327,0.4891,0.6784,0.6931
0.3332,0.5100,0.6606,0.6896
0.3756,0.5753,0.6807,0.6931
0.2613,0.5110,0.6618,0.6892
0.1834,0.4071,0.6225,0.6792
0.2591,0.4646,0.6533,0.6865
0.0346,0.5022,0.6678,0.6912
0.2510,0.5115,0.6654,0.6911
0.3164,0.5529,0.6649,0.6908
0.4270,0.6912,0.6931,0.6931
0.0392,0.4904,0.6598,0.6931
0.3644,0.5300,0.6616,0.6842
0.2355,0.5505,0.6730,0.6931
0.2732,0.6067,0.6859,0.6931
0.3923,0.5168,0.6518,0.6891
0.0452,0.5326,0.6693,0.6911
0.0429,0.5636,0.6784,0.6931
0.0392,0.4777,0.6631,0.6857
0.1810,0.5011,0.6539,0.6896
0.1882,0.5601,0.6734,0.6931
0.3022,0.6155,0.6892,0.6913
0.3010,0.5991,0.6814,0.6908
0.4877,0.5215,0.6709,0.6912
0.2231,0.4578,0.6548,0.6911
0.3892,0.5152,0.6697,0.6931
0.2280,0.4923,0.6643,0.6877
0.3447,0.5085,0.6811,0.6931
0.0338,0.4112,0.6378,0.6903
0.4029,0.6548,0.6931,0.6931
0.2126,0.5710,0.6745,0.6931
0.2736,0.4682,0.6301,0.6798
0.0368,0.4358,0.6509,0.6912
0.2345,0.5033,0.6654,0.6912
0.0419,0.5760,0.6858,0.6931
0.3417,0.5139,0.6469,0.6914
0.3941,0.5142,0.6674,0.6913
0.2857,0.6086,0.6750,0.6931
0.0304,0.3954,0.5937,0.6671
0.2323,0.6439,0.6912,0.6931
0.3688,0.4864,0.6593,0.6893
0.4290,0.5701,0.6748,0.6911
0.2173,0.5586,0.6759,0.6912
0.3912,0.6361,0.6859,0.6931
0.2069,0.4655,0.6423,0.6911
0.0449,0.4907,0.6716,0.6913
0.3724,0.5075,0.6654,0.6892
0.2054,0.5517,0.6825,0.6931
0.3159,0.6144,0.6837,0.6912
0.4543,0.4908,0.6451,0.6871
0.3708,0.4883,0.6387,0.6859
0.2470,0.5596,0.6749,0.6911
0.3798,0.5944,0.6838,0.6911
0.2583,0.4954,0.6636,0.6891
0.4204,0.5802,0.6842,0.6931
0.4332,0.5373,0.6768,0.6931
0.0356,0.5086,0.6517,0.6854
0.1759,0.4374,0.6379,0.6860
0.3544,0.5180,0.6757,0.6931
0.2452,0.5727,0.6872,0.6931
0.3983,0.5194,0.6592,0.6874
0.4086,0.5846,0.6772,0.6891
0.2215,0.4596,0.6453,0.6896
0.2403,0.5957,0.6891,0.6931
0.3334,0.5336,0.6689,0.6913
0.0454,0.4263,0.6409,0.6830
0.3035,0.6739,0.6931,0.6931
0.2348,0.5945,0.6829,0.6931
0.2929,0.5304,0.6733,0.6906
0.2389,0.4544,0.6456,0.6871
0.0388,0.5240,0.6739,0.6895
0.4227,0.5781,0.6818,0.6931
0.2562,0.5176,0.6633,0.6874
0.4115,0.5450,0.6859,0.6931
0.2121,0.4648,0.6541,0.6893
0.4029,0.5330,0.6690,0.6912
0.2829,0.4397,0.6301,0.6851
0.1773,0.5033,0.6587,0.6913
0.2455,0.5418,0.6789,0.6931
0.0377,0.4478,0.6602,0.6892
0.2211,0.5292,0.6763,0.6912
0.2025,0.4689,0.6692,0.6931
0.0429,0.4600,0.6561,0.6873
0.0434,0.5306,0.6678,0.6891
0.2360,0.6121,0.6892,0.6912
0.3491,0.6376,0.6912,0.6931
0.3664,0.6042,0.6931,0.6931
0.2180,0.4836,0.6597,0.6894
0.0393,0.4631,0.6551,0.6906
0.2498,0.5585,0.6682,0.6898
0.0325,0.4217,0.6166,0.6807
0.4041,0.5335,0.6756,0.6905
0.2209,0.5997,0.6872,0.6931
0.2360,0.4893,0.6703,0.6892
0.2497,0.6159,0.6911,0.6931
0.2451,0.4579,0.6454,0.6891
0.3848,0.4784,0.6511,0.6895
0.3727,0.6437,0.6931,0.6931
0.2628,0.5576,0.6891,0.6931
0.4347,0.5871,0.6809,0.6889
