0.005,0.028,0.041,0.023,0.034,0.013,0.036,0.044,0.039,0.045,0.025,0.024,0.024,0.018,0.046,0.019,0.037,0.040,0.036,0.019
0.024,0.000,0.021,0.011,0.029,0.019,0.027,0.024,0.025,0.024,0.012,0.015,0.012,0.015,0.026,0.014,0.028,0.022,0.026,0.020
0.038,0.021,0.000,0.023,0.017,0.035,0.014,0.009,0.012,0.007,0.027,0.025,0.027,0.029,0.009,0.026,0.015,0.007,0.013,0.032
0.020,0.011,0.023,0.000,0.035,0.016,0.032,0.028,0.028,0.026,0.013,0.011,0.015,0.013,0.028,0.008,0.034,0.027,0.032,0.016
0.033,0.031,0.019,0.036,0.006,0.031,0.010,0.019,0.015,0.022,0.031,0.037,0.030,0.032,0.020,0.036,0.012,0.018,0.013,0.034
0.006,0.023,0.039,0.020,0.030,0.008,0.033,0.040,0.036,0.042,0.020,0.021,0.019,0.014,0.043,0.017,0.034,0.038,0.033,0.016
0.029,0.026,0.014,0.032,0.006,0.027,0.004,0.013,0.010,0.016,0.026,0.032,0.025,0.027,0.015,0.032,0.007,0.012,0.009,0.029
0.039,0.023,0.009,0.028,0.014,0.035,0.012,0.001,0.011,0.008,0.029,0.025,0.029,0.029,0.007,0.029,0.010,0.008,0.013,0.031
0.033,0.023,0.011,0.028,0.010,0.029,0.007,0.010,0.003,0.013,0.024,0.027,0.024,0.024,0.011,0.029,0.009,0.012,0.011,0.026
0.041,0.023,0.006,0.026,0.018,0.038,0.016,0.009,0.015,0.004,0.030,0.027,0.030,0.032,0.009,0.028,0.014,0.007,0.012,0.035
0.021,0.015,0.028,0.008,0.038,0.016,0.034,0.029,0.030,0.028,0.014,0.010,0.017,0.014,0.028,0.011,0.038,0.030,0.035,0.015
0.020,0.015,0.025,0.011,0.034,0.018,0.032,0.025,0.028,0.026,0.018,0.001,0.020,0.014,0.026,0.011,0.033,0.028,0.033,0.012
0.013,0.014,0.030,0.013,0.027,0.009,0.027,0.033,0.029,0.033,0.009,0.016,0.009,0.011,0.035,0.016,0.029,0.029,0.028,0.013
0.009,0.017,0.032,0.014,0.029,0.007,0.028,0.032,0.029,0.034,0.015,0.015,0.015,0.005,0.035,0.013,0.029,0.031,0.028,0.009
0.040,0.024,0.009,0.027,0.014,0.037,0.013,0.007,0.012,0.008,0.031,0.024,0.031,0.031,0.003,0.029,0.013,0.010,0.015,0.033
0.018,0.014,0.026,0.008,0.036,0.015,0.034,0.029,0.031,0.031,0.017,0.012,0.019,0.013,0.031,0.000,0.035,0.029,0.034,0.016
0.034,0.028,0.016,0.035,0.009,0.032,0.011,0.012,0.013,0.017,0.029,0.034,0.027,0.030,0.016,0.034,0.003,0.013,0.010,0.031
0.037,0.022,0.007,0.027,0.015,0.034,0.012,0.009,0.013,0.008,0.026,0.028,0.026,0.029,0.011,0.028,0.011,0.001,0.011,0.030
0.033,0.027,0.014,0.033,0.010,0.031,0.011,0.016,0.015,0.015,0.028,0.035,0.027,0.030,0.019,0.034,0.009,0.011,0.004,0.032
0.013,0.021,0.033,0.017,0.030,0.012,0.030,0.034,0.031,0.037,0.019,0.014,0.019,0.012,0.037,0.015,0.029,0.032,0.031,0.006
