size_interval,size_2,size_3,size_4
0.6391,0.5022,0.6524,0.6931
0.6100,0.6516,0.6931,0.6931
0.5545,0.4743,0.6290,0.6801
0.6408,0.5313,0.6665,0.6931
0.6251,0.6571,0.6931,0.6931
0.5822,0.5770,0.6790,0.6931
0.6725,0.6582,0.6931,0.6931
0.5923,0.5576,0.6803,0.6931
0.6814,0.6020,0.6812,0.6931
0.6506,0.6175,0.6803,0.6931
0.6268,0.5136,0.6672,0.6931
0.5865,0.4563,0.6715,0.6931
0.5800,0.5523,0.6834,0.6931
0.6182,0.6230,0.6812,0.6931
0.5713,0.5184,0.6442,0.6931
0.5970,0.5469,0.6931,0.6931
0.6259,0.5951,0.6931,0.6931
0.5707,0.5880,0.6931,0.6931
0.6116,0.5568,0.6725,0.6931
0.6399,0.4461,0.6931,0.6931
0.5985,0.4280,0.6434,0.6931
0.6157,0.5119,0.6838,0.6931
0.6391,0.5732,0.6816,0.6931
0.6660,0.5929,0.6793,0.6931
0.6643,0.6359,0.6931,0.6931
0.6553,0.6632,0.6931,0.6931
0.5787,0.5290,0.6845,0.6931
0.6011,0.5353,0.6585,0.6931
0.6320,0.6136,0.6931,0.6931
0.6033,0.4781,0.6408,0.6931
0.5441,0.5270,0.6595,0.6931
0.6377,0.5934,0.6595,0.6787
0.6207,0.5980,0.6931,0.6931
0.6201,0.5706,0.6731,0.6830
0.5769,0.4370,0.6533,0.6851
0.6238,0.6234,0.6844,0.6931
0.6215,0.5285,0.6744,0.6931
0.6089,0.5569,0.6931,0.6931
0.6151,0.5249,0.6931,0.6931
0.5493,0.5542,0.6798,0.6931
0.5961,0.5508,0.6826,0.6931
0.5954,0.5709,0.6931,0.6931
0.6161,0.5327,0.6931,0.6931
0.5698,0.5169,0.6703,0.6931
0.6359,0.6228,0.6931,0.6931
0.6282,0.5195,0.6711,0.6931
0.5564,0.4198,0.6049,0.6931
0.5785,0.5132,0.6812,0.6931
0.6034,0.5386,0.6931,0.6931
0.6532,0.6532,0.6796,0.6931
0.6150,0.5428,0.6931,0.6931
0.6053,0.5061,0.6931,0.6931
0.5900,0.4593,0.6546,0.6775
0.5248,0.4670,0.6646,0.6931
0.6313,0.6436,0.6931,0.6931
0.6007,0.5368,0.6700,0.6814
0.6377,0.5760,0.6790,0.6931
0.6591,0.5547,0.6700,0.6931
0.6033,0.5766,0.6801,0.6931
0.5656,0.5426,0.6931,0.6931
0.6429,0.5330,0.6728,0.6931
0.6445,0.5532,0.6808,0.6931
0.6505,0.6292,0.6931,0.6931
0.5766,0.4440,0.6034,0.6931
0.4914,0.4508,0.6524,0.6931
0.5476,0.3911,0.6301,0.6675
0.6100,0.6100,0.6931,0.6931
0.6348,0.5948,0.6931,0.6931
0.6388,0.5877,0.6793,0.6931
0.6022,0.6250,0.6931,0.6931
0.5446,0.5848,0.6931,0.6931
0.6207,0.5750,0.6931,0.6931
0.5647,0.5417,0.6762,0.6931
0.6065,0.5780,0.6826,0.6931
0.6278,0.6670,0.6931,0.6931
0.6271,0.5555,0.6820,0.6931
0.6408,0.6048,0.6798,0.6931
0.5818,0.4472,0.6723,0.6931
0.6532,0.6931,0.6931,0.6931
0.6174,0.5265,0.6535,0.6931
0.5793,0.5503,0.6654,0.6931
0.6697,0.6109,0.6812,0.6931
0.6679,0.6506,0.6931,0.6931
0.5980,0.5936,0.6793,0.6931
0.5980,0.4990,0.6931,0.6931
0.6172,0.5946,0.6931,0.6931
0.6398,0.6031,0.6931,0.6931
0.5758,0.5659,0.6931,0.6931
0.6560,0.6467,0.6931,0.6931
0.6363,0.4954,0.6541,0.6931
0.6554,0.6057,0.6747,0.6931
0.5673,0.4373,0.6798,0.6931
0.6346,0.5845,0.6733,0.6931
0.5923,0.5640,0.6546,0.6931
0.6182,0.5814,0.6812,0.6931
0.6109,0.4869,0.6692,0.6931
0.6331,0.5531,0.6841,0.6931
0.5964,0.5552,0.6931,0.6931
0.6016,0.6246,0.6931,0.6931
0.6095,0.5640,0.6810,0.6931
0.6442,0.5995,0.6818,0.6931
0.6252,0.6065,0.6931,0.6931
0.5883,0.4894,0.6826,0.6931
0.6349,0.4946,0.6601,0.6820
0.5917,0.5149,0.6431,0.6660
0.5907,0.5489,0.6840,0.6931
0.6016,0.6033,0.6931,0.6931
0.6560,0.6390,0.6805,0.6931
0.6370,0.5183,0.6539,0.6931
0.5684,0.5856,0.6790,0.6931
0.5412,0.4552,0.6654,0.6790
0.6259,0.5148,0.6412,0.6838
0.5647,0.5248,0.6500,0.6931
0.6252,0.5877,0.6931,0.6931
0.6313,0.6142,0.6931,0.6931
