0.004,0.054,0.005,0.057,0.006,0.006,0.003,0.005,0.059,0.003,0.012,0.048,0.002,0.054,0.051,0.056,0.057,0.006,0.006,0.049,0.007,0.049,0.057,0.007,0.051,0.049,0.050,0.005,0.004,0.053,0.002,0.056,0.057,0.017,0.047,0.004,0.003,0.002,0.007,0.056,0.051,0.004,0.005,0.004,0.055,0.046,0.081,0.054,0.075,0.048,0.050,0.054,0.059,0.050,0.019,0.081
0.057,0.007,0.057,0.005,0.054,0.058,0.060,0.055,0.004,0.058,0.054,0.013,0.059,0.008,0.010,0.006,0.005,0.055,0.055,0.011,0.067,0.012,0.005,0.053,0.059,0.012,0.011,0.055,0.057,0.009,0.059,0.006,0.005,0.053,0.014,0.056,0.058,0.059,0.066,0.006,0.059,0.063,0.055,0.060,0.006,0.053,0.043,0.007,0.037,0.013,0.058,0.007,0.067,0.055,0.061,0.044
0.004,0.054,0.006,0.056,0.005,0.006,0.004,0.005,0.059,0.004,0.012,0.048,0.003,0.053,0.050,0.056,0.056,0.005,0.005,0.049,0.009,0.049,0.056,0.006,0.051,0.049,0.050,0.005,0.004,0.052,0.004,0.056,0.056,0.017,0.046,0.004,0.004,0.004,0.008,0.056,0.051,0.006,0.006,0.005,0.055,0.044,0.081,0.053,0.075,0.048,0.049,0.054,0.057,0.049,0.018,0.081
0.052,0.004,0.052,0.003,0.049,0.053,0.054,0.050,0.008,0.053,0.049,0.007,0.054,0.003,0.004,0.003,0.005,0.050,0.050,0.006,0.062,0.006,0.003,0.048,0.054,0.006,0.005,0.050,0.052,0.003,0.054,0.003,0.003,0.048,0.008,0.051,0.053,0.054,0.060,0.003,0.054,0.058,0.050,0.055,0.003,0.049,0.044,0.003,0.038,0.007,0.053,0.002,0.063,0.050,0.056,0.045
0.003,0.052,0.008,0.054,0.004,0.004,0.003,0.004,0.057,0.005,0.010,0.046,0.003,0.051,0.049,0.054,0.055,0.006,0.004,0.047,0.010,0.047,0.054,0.005,0.048,0.047,0.048,0.004,0.003,0.051,0.003,0.054,0.054,0.015,0.045,0.004,0.003,0.003,0.010,0.054,0.048,0.006,0.006,0.008,0.053,0.044,0.079,0.052,0.073,0.046,0.047,0.052,0.056,0.047,0.016,0.078
0.017,0.056,0.011,0.059,0.017,0.020,0.017,0.017,0.060,0.014,0.027,0.051,0.016,0.056,0.053,0.058,0.058,0.012,0.017,0.051,0.016,0.052,0.059,0.017,0.065,0.052,0.052,0.017,0.017,0.055,0.017,0.058,0.059,0.031,0.050,0.015,0.018,0.017,0.012,0.058,0.065,0.016,0.012,0.012,0.057,0.049,0.087,0.056,0.081,0.051,0.064,0.057,0.074,0.064,0.033,0.086
0.008,0.056,0.006,0.059,0.010,0.011,0.007,0.009,0.061,0.005,0.017,0.051,0.006,0.056,0.053,0.058,0.059,0.007,0.010,0.052,0.010,0.052,0.059,0.011,0.056,0.052,0.052,0.010,0.008,0.055,0.007,0.058,0.059,0.022,0.049,0.007,0.008,0.007,0.006,0.058,0.056,0.008,0.007,0.004,0.057,0.047,0.086,0.056,0.080,0.051,0.055,0.057,0.063,0.055,0.024,0.085
0.005,0.055,0.007,0.057,0.007,0.007,0.004,0.006,0.060,0.005,0.014,0.049,0.004,0.054,0.052,0.057,0.057,0.007,0.006,0.050,0.007,0.050,0.057,0.007,0.052,0.050,0.051,0.006,0.005,0.053,0.004,0.057,0.057,0.018,0.048,0.005,0.005,0.004,0.007,0.057,0.052,0.004,0.007,0.005,0.056,0.047,0.081,0.055,0.075,0.049,0.051,0.055,0.060,0.051,0.020,0.081
0.051,0.003,0.051,0.002,0.049,0.052,0.054,0.050,0.006,0.052,0.048,0.008,0.053,0.003,0.005,0.002,0.005,0.049,0.049,0.006,0.061,0.007,0.002,0.048,0.054,0.007,0.006,0.049,0.051,0.004,0.053,0.002,0.002,0.047,0.009,0.050,0.052,0.053,0.060,0.002,0.054,0.057,0.050,0.054,0.002,0.049,0.044,0.003,0.038,0.008,0.053,0.004,0.063,0.050,0.055,0.045
0.005,0.056,0.007,0.058,0.007,0.008,0.004,0.006,0.061,0.004,0.015,0.050,0.004,0.055,0.052,0.057,0.058,0.007,0.007,0.051,0.006,0.051,0.058,0.008,0.053,0.051,0.052,0.007,0.005,0.054,0.004,0.057,0.058,0.019,0.048,0.006,0.005,0.004,0.005,0.057,0.053,0.004,0.007,0.005,0.056,0.048,0.083,0.055,0.077,0.050,0.052,0.056,0.061,0.052,0.021,0.082
0.064,0.067,0.071,0.065,0.064,0.061,0.065,0.064,0.070,0.067,0.055,0.064,0.066,0.065,0.065,0.065,0.069,0.069,0.064,0.067,0.066,0.064,0.065,0.064,0.019,0.064,0.064,0.064,0.064,0.064,0.065,0.065,0.065,0.050,0.063,0.067,0.064,0.065,0.070,0.065,0.019,0.065,0.069,0.070,0.065,0.085,0.084,0.065,0.084,0.064,0.018,0.063,0.024,0.017,0.048,0.088
