size_interval,size_2,size_3,size_4
0.0251,0.0011,0.0018,0.0029
0.0200,0.0007,0.0012,0.0019
0.0059,0.0000,0.0000,0.0000
0.0114,0.0000,0.0000,0.0000
0.0118,0.0003,0.0006,0.0010
0.0192,0.0001,0.0001,0.0001
0.0211,0.0000,0.0002,0.0004
0.0105,0.0010,0.0016,0.0022
0.0102,0.0004,0.0007,0.0011
0.0022,0.0002,0.0004,0.0010
0.0010,0.0000,0.0000,0.0000
0.0042,0.0009,0.0015,0.0052
0.0225,0.0003,0.0006,0.0011
0.0130,0.0007,0.0011,0.0016
0.0018,0.0011,0.0016,0.0030
0.0023,0.0043,0.0074,0.0113
0.0150,0.0021,0.0041,0.0062
0.0001,0.0000,0.0000,0.0000
0.0047,0.0000,0.0000,0.0000
0.0077,0.0001,0.0001,0.0001
0.0013,0.0000,0.0000,0.0000
0.0024,0.0022,0.0077,0.0159
0.0022,0.0002,0.0003,0.0004
0.0020,0.0005,0.0009,0.0039
0.0019,0.0009,0.0012,0.0015
0.0003,0.0020,0.0026,0.0075
0.0033,0.0000,0.0000,0.0000
0.0021,0.0004,0.0008,0.0014
0.0029,0.0000,0.0000,0.0000
0.0007,0.0105,0.0155,0.0206
0.0029,0.0002,0.0003,0.0004
0.0028,0.0049,0.0106,0.0140
