0.000,0.020,0.040,0.043,0.050,0.136,0.022,0.059,0.024,0.089,0.120,0.089,0.031,0.085,0.112,0.178,0.132,0.381,0.072,0.059,0.078,0.013,0.094,0.329,0.070,0.125,0.059,0.140,0.148,0.343,0.094,0.081
0.020,0.000,0.022,0.025,0.031,0.123,0.006,0.041,0.013,0.070,0.102,0.069,0.011,0.068,0.092,0.163,0.114,0.400,0.053,0.042,0.061,0.025,0.076,0.310,0.052,0.139,0.051,0.121,0.129,0.324,0.077,0.063
0.033,0.016,0.008,0.010,0.031,0.124,0.013,0.039,0.010,0.069,0.089,0.069,0.015,0.067,0.092,0.161,0.101,0.413,0.041,0.027,0.046,0.025,0.064,0.309,0.049,0.154,0.046,0.120,0.117,0.323,0.064,0.066
0.042,0.025,0.006,0.001,0.023,0.121,0.021,0.036,0.017,0.064,0.081,0.064,0.014,0.060,0.090,0.157,0.093,0.421,0.033,0.018,0.037,0.033,0.058,0.301,0.041,0.163,0.043,0.112,0.108,0.315,0.059,0.062
0.050,0.031,0.023,0.022,0.000,0.117,0.028,0.039,0.039,0.059,0.082,0.058,0.021,0.053,0.083,0.150,0.083,0.431,0.040,0.013,0.032,0.054,0.060,0.279,0.021,0.167,0.042,0.098,0.099,0.293,0.071,0.051
0.013,0.025,0.033,0.034,0.055,0.142,0.027,0.064,0.017,0.094,0.114,0.094,0.035,0.090,0.117,0.180,0.126,0.388,0.066,0.051,0.071,0.001,0.088,0.334,0.074,0.130,0.055,0.145,0.142,0.348,0.088,0.086
0.021,0.006,0.019,0.022,0.029,0.123,0.001,0.038,0.014,0.068,0.099,0.068,0.010,0.066,0.090,0.162,0.111,0.402,0.051,0.039,0.058,0.026,0.074,0.308,0.049,0.141,0.051,0.119,0.127,0.322,0.074,0.062
0.059,0.040,0.037,0.036,0.038,0.089,0.037,0.001,0.047,0.033,0.062,0.032,0.032,0.030,0.059,0.128,0.074,0.440,0.015,0.042,0.052,0.063,0.037,0.271,0.044,0.163,0.060,0.082,0.089,0.285,0.039,0.042
0.024,0.014,0.017,0.019,0.040,0.131,0.014,0.048,0.001,0.079,0.098,0.078,0.022,0.075,0.101,0.168,0.111,0.403,0.050,0.036,0.055,0.015,0.073,0.319,0.059,0.145,0.050,0.130,0.126,0.332,0.073,0.071
0.083,0.064,0.065,0.066,0.068,0.063,0.062,0.032,0.073,0.013,0.040,0.014,0.059,0.030,0.031,0.106,0.052,0.461,0.040,0.072,0.078,0.088,0.038,0.261,0.072,0.165,0.073,0.058,0.068,0.271,0.021,0.041
0.120,0.102,0.081,0.080,0.082,0.076,0.099,0.061,0.098,0.036,0.000,0.036,0.091,0.041,0.021,0.114,0.018,0.502,0.050,0.076,0.079,0.114,0.033,0.243,0.084,0.204,0.081,0.034,0.027,0.253,0.027,0.064
0.114,0.094,0.086,0.086,0.076,0.070,0.092,0.056,0.103,0.025,0.021,0.025,0.084,0.035,0.016,0.104,0.026,0.488,0.056,0.080,0.082,0.118,0.039,0.232,0.077,0.191,0.082,0.032,0.041,0.241,0.033,0.046
0.031,0.012,0.015,0.016,0.021,0.115,0.010,0.032,0.022,0.060,0.092,0.060,0.002,0.058,0.086,0.154,0.104,0.410,0.043,0.033,0.051,0.035,0.066,0.299,0.041,0.148,0.049,0.110,0.119,0.313,0.067,0.058
0.081,0.066,0.064,0.060,0.056,0.064,0.064,0.028,0.072,0.026,0.043,0.026,0.057,0.004,0.044,0.102,0.052,0.462,0.031,0.060,0.065,0.086,0.018,0.252,0.059,0.178,0.075,0.062,0.067,0.263,0.022,0.054
0.112,0.092,0.087,0.090,0.083,0.074,0.090,0.059,0.100,0.027,0.021,0.028,0.085,0.042,0.000,0.116,0.031,0.488,0.061,0.088,0.089,0.116,0.048,0.238,0.085,0.191,0.087,0.032,0.042,0.248,0.037,0.053
0.178,0.163,0.161,0.158,0.150,0.085,0.163,0.127,0.168,0.108,0.114,0.108,0.155,0.103,0.116,0.000,0.116,0.543,0.129,0.151,0.155,0.180,0.103,0.228,0.152,0.240,0.166,0.130,0.132,0.233,0.103,0.130
0.128,0.110,0.091,0.089,0.082,0.083,0.107,0.070,0.106,0.045,0.016,0.045,0.100,0.044,0.031,0.112,0.004,0.510,0.058,0.075,0.077,0.122,0.035,0.232,0.081,0.212,0.084,0.033,0.020,0.242,0.035,0.068
0.381,0.400,0.420,0.422,0.431,0.479,0.403,0.441,0.404,0.467,0.502,0.467,0.410,0.466,0.488,0.543,0.514,0.000,0.453,0.439,0.458,0.388,0.476,0.679,0.451,0.316,0.439,0.519,0.529,0.693,0.475,0.450
0.072,0.054,0.033,0.031,0.040,0.092,0.050,0.014,0.049,0.034,0.050,0.034,0.043,0.031,0.061,0.129,0.061,0.453,0.000,0.033,0.041,0.065,0.029,0.269,0.045,0.178,0.055,0.081,0.076,0.282,0.032,0.048
0.059,0.042,0.020,0.017,0.013,0.121,0.038,0.042,0.035,0.063,0.075,0.063,0.032,0.057,0.088,0.151,0.076,0.439,0.033,0.000,0.019,0.051,0.053,0.283,0.025,0.180,0.042,0.103,0.092,0.297,0.064,0.057
0.078,0.060,0.038,0.036,0.031,0.126,0.056,0.052,0.053,0.068,0.079,0.067,0.050,0.062,0.089,0.154,0.075,0.457,0.040,0.019,0.001,0.069,0.057,0.264,0.014,0.198,0.055,0.103,0.090,0.278,0.069,0.068
0.136,0.124,0.125,0.122,0.118,0.000,0.124,0.088,0.131,0.068,0.076,0.069,0.117,0.067,0.074,0.085,0.087,0.479,0.093,0.122,0.127,0.142,0.076,0.226,0.121,0.182,0.127,0.092,0.097,0.235,0.066,0.087
0.093,0.075,0.061,0.058,0.061,0.074,0.073,0.036,0.071,0.034,0.034,0.035,0.066,0.015,0.049,0.102,0.040,0.474,0.029,0.054,0.058,0.086,0.002,0.248,0.063,0.192,0.076,0.063,0.055,0.262,0.019,0.065
0.329,0.310,0.301,0.300,0.280,0.226,0.307,0.270,0.318,0.251,0.243,0.251,0.299,0.248,0.238,0.228,0.228,0.679,0.269,0.283,0.264,0.334,0.247,0.000,0.260,0.396,0.301,0.227,0.232,0.015,0.258,0.268
0.070,0.052,0.042,0.040,0.021,0.121,0.048,0.044,0.058,0.063,0.084,0.062,0.041,0.056,0.085,0.152,0.081,0.451,0.045,0.025,0.015,0.074,0.062,0.260,0.000,0.185,0.054,0.099,0.097,0.274,0.074,0.060
0.125,0.139,0.160,0.164,0.167,0.181,0.142,0.164,0.146,0.172,0.203,0.172,0.149,0.182,0.191,0.240,0.216,0.316,0.178,0.180,0.199,0.131,0.194,0.396,0.185,0.000,0.146,0.222,0.229,0.403,0.182,0.148
