0.004,0.019,0.031,0.028,0.045,0.009,0.020,0.058,0.025,0.080,0.088,0.101,0.022,0.065,0.118,0.092,0.104,0.346,0.055,0.043,0.069,0.092,0.076,0.139,0.067,0.099,0.053,0.134,0.115,0.087,0.075,0.126
0.016,0.003,0.015,0.011,0.026,0.014,0.003,0.043,0.008,0.064,0.071,0.084,0.005,0.049,0.101,0.080,0.088,0.365,0.037,0.026,0.051,0.080,0.059,0.123,0.048,0.115,0.046,0.116,0.099,0.070,0.061,0.109
0.024,0.009,0.006,0.003,0.020,0.019,0.008,0.036,0.004,0.057,0.064,0.077,0.007,0.043,0.093,0.075,0.080,0.371,0.031,0.017,0.042,0.075,0.051,0.115,0.042,0.122,0.047,0.109,0.092,0.063,0.055,0.102
0.033,0.018,0.007,0.009,0.012,0.028,0.017,0.034,0.012,0.057,0.061,0.072,0.015,0.039,0.087,0.072,0.074,0.380,0.032,0.011,0.033,0.072,0.045,0.108,0.033,0.131,0.045,0.102,0.085,0.056,0.055,0.095
0.047,0.031,0.022,0.026,0.009,0.043,0.030,0.042,0.029,0.066,0.068,0.078,0.028,0.047,0.085,0.071,0.073,0.395,0.041,0.015,0.024,0.078,0.051,0.096,0.018,0.142,0.043,0.094,0.075,0.048,0.064,0.084
0.009,0.020,0.030,0.026,0.044,0.007,0.020,0.058,0.023,0.081,0.088,0.101,0.022,0.065,0.118,0.093,0.105,0.347,0.055,0.042,0.066,0.092,0.076,0.140,0.067,0.099,0.055,0.134,0.116,0.087,0.076,0.127
0.018,0.004,0.012,0.009,0.024,0.015,0.004,0.041,0.006,0.062,0.068,0.082,0.005,0.047,0.098,0.079,0.085,0.367,0.035,0.023,0.048,0.080,0.056,0.120,0.046,0.117,0.045,0.114,0.096,0.067,0.060,0.107
0.055,0.039,0.029,0.033,0.031,0.052,0.039,0.006,0.036,0.030,0.035,0.048,0.037,0.012,0.063,0.045,0.050,0.403,0.006,0.031,0.044,0.046,0.021,0.085,0.044,0.134,0.055,0.078,0.061,0.032,0.027,0.072
0.015,0.008,0.015,0.011,0.029,0.010,0.008,0.044,0.007,0.067,0.073,0.087,0.010,0.051,0.103,0.081,0.090,0.362,0.039,0.027,0.051,0.082,0.061,0.125,0.051,0.113,0.050,0.119,0.101,0.073,0.063,0.112
0.078,0.063,0.055,0.057,0.058,0.076,0.062,0.031,0.060,0.011,0.012,0.021,0.060,0.025,0.039,0.027,0.025,0.426,0.029,0.057,0.069,0.024,0.020,0.074,0.071,0.134,0.060,0.054,0.036,0.037,0.015,0.046
0.111,0.096,0.085,0.089,0.076,0.108,0.095,0.058,0.092,0.036,0.031,0.016,0.093,0.051,0.014,0.034,0.017,0.459,0.060,0.077,0.079,0.039,0.040,0.054,0.080,0.165,0.080,0.026,0.016,0.042,0.043,0.020
0.107,0.092,0.081,0.084,0.073,0.104,0.091,0.055,0.088,0.032,0.027,0.016,0.089,0.048,0.019,0.032,0.015,0.455,0.056,0.074,0.074,0.041,0.037,0.054,0.073,0.162,0.074,0.032,0.016,0.038,0.039,0.024
0.026,0.011,0.008,0.010,0.015,0.023,0.010,0.034,0.011,0.056,0.062,0.074,0.008,0.039,0.090,0.072,0.077,0.375,0.032,0.016,0.041,0.073,0.048,0.112,0.038,0.124,0.044,0.105,0.088,0.059,0.053,0.098
0.078,0.064,0.054,0.057,0.047,0.075,0.063,0.024,0.060,0.021,0.022,0.029,0.061,0.018,0.043,0.020,0.026,0.425,0.031,0.046,0.057,0.030,0.014,0.062,0.059,0.147,0.066,0.055,0.036,0.020,0.020,0.046
0.106,0.090,0.082,0.083,0.080,0.102,0.089,0.059,0.086,0.035,0.029,0.016,0.087,0.052,0.017,0.040,0.021,0.454,0.056,0.081,0.083,0.044,0.041,0.060,0.082,0.161,0.080,0.033,0.023,0.048,0.041,0.028
0.095,0.082,0.072,0.076,0.064,0.093,0.081,0.043,0.079,0.024,0.026,0.026,0.080,0.038,0.037,0.009,0.025,0.441,0.050,0.064,0.069,0.027,0.032,0.058,0.072,0.150,0.077,0.045,0.027,0.025,0.027,0.033
0.119,0.104,0.093,0.096,0.078,0.116,0.103,0.066,0.100,0.044,0.038,0.024,0.101,0.059,0.018,0.036,0.022,0.467,0.068,0.081,0.076,0.048,0.048,0.042,0.077,0.174,0.084,0.022,0.014,0.040,0.051,0.011
0.369,0.385,0.396,0.392,0.411,0.373,0.386,0.423,0.389,0.445,0.452,0.466,0.388,0.430,0.483,0.454,0.469,0.024,0.421,0.408,0.432,0.446,0.442,0.503,0.433,0.332,0.417,0.499,0.480,0.452,0.439,0.490
0.063,0.047,0.036,0.040,0.028,0.060,0.046,0.012,0.044,0.032,0.034,0.046,0.045,0.014,0.059,0.044,0.045,0.412,0.012,0.030,0.039,0.046,0.018,0.078,0.039,0.143,0.056,0.072,0.054,0.026,0.030,0.065
0.050,0.036,0.024,0.027,0.014,0.046,0.035,0.041,0.030,0.064,0.066,0.076,0.033,0.046,0.084,0.069,0.072,0.398,0.039,0.013,0.017,0.077,0.050,0.093,0.017,0.149,0.050,0.093,0.073,0.046,0.062,0.082
0.069,0.054,0.042,0.045,0.032,0.064,0.053,0.050,0.049,0.069,0.071,0.081,0.052,0.052,0.087,0.074,0.076,0.417,0.049,0.031,0.004,0.082,0.055,0.080,0.009,0.167,0.067,0.095,0.075,0.050,0.067,0.083
0.097,0.085,0.076,0.079,0.071,0.096,0.084,0.046,0.082,0.027,0.025,0.026,0.083,0.041,0.040,0.019,0.026,0.435,0.054,0.070,0.081,0.011,0.036,0.073,0.084,0.138,0.076,0.050,0.033,0.042,0.028,0.041
0.084,0.069,0.058,0.062,0.048,0.081,0.068,0.030,0.065,0.027,0.027,0.030,0.066,0.024,0.041,0.020,0.027,0.432,0.034,0.049,0.056,0.037,0.021,0.055,0.059,0.157,0.075,0.051,0.032,0.018,0.027,0.042
0.145,0.129,0.118,0.122,0.104,0.142,0.129,0.092,0.126,0.083,0.077,0.068,0.127,0.086,0.054,0.074,0.064,0.493,0.093,0.107,0.082,0.091,0.078,0.012,0.081,0.215,0.122,0.049,0.055,0.063,0.086,0.048
0.066,0.051,0.040,0.044,0.025,0.063,0.050,0.048,0.047,0.069,0.071,0.081,0.048,0.052,0.087,0.074,0.076,0.415,0.047,0.030,0.011,0.082,0.055,0.079,0.004,0.159,0.059,0.095,0.075,0.050,0.067,0.083
0.112,0.124,0.136,0.133,0.146,0.114,0.125,0.148,0.130,0.150,0.157,0.170,0.127,0.150,0.189,0.160,0.173,0.288,0.145,0.148,0.174,0.151,0.156,0.222,0.168,0.028,0.115,0.204,0.182,0.171,0.148,0.193
0.051,0.046,0.046,0.047,0.040,0.051,0.046,0.059,0.047,0.067,0.068,0.081,0.045,0.061,0.091,0.082,0.077,0.396,0.055,0.046,0.055,0.080,0.060,0.114,0.046,0.117,0.015,0.102,0.078,0.071,0.067,0.090
0.135,0.120,0.109,0.113,0.097,0.132,0.119,0.082,0.116,0.062,0.056,0.040,0.117,0.075,0.023,0.057,0.041,0.484,0.084,0.099,0.098,0.064,0.064,0.052,0.097,0.191,0.103,0.010,0.037,0.062,0.068,0.028
0.139,0.123,0.112,0.116,0.098,0.136,0.122,0.085,0.119,0.064,0.058,0.043,0.121,0.078,0.026,0.055,0.042,0.487,0.087,0.101,0.092,0.064,0.067,0.050,0.092,0.190,0.101,0.014,0.031,0.059,0.070,0.021
0.153,0.138,0.126,0.130,0.112,0.150,0.137,0.100,0.134,0.087,0.080,0.072,0.135,0.093,0.058,0.078,0.066,0.501,0.102,0.115,0.090,0.094,0.082,0.020,0.089,0.217,0.124,0.051,0.058,0.071,0.089,0.051
0.085,0.070,0.059,0.063,0.057,0.082,0.069,0.032,0.066,0.013,0.010,0.017,0.067,0.025,0.033,0.019,0.017,0.433,0.035,0.055,0.067,0.024,0.016,0.063,0.070,0.144,0.065,0.047,0.028,0.028,0.016,0.039
0.049,0.044,0.046,0.046,0.042,0.047,0.043,0.060,0.046,0.067,0.068,0.081,0.043,0.062,0.091,0.082,0.077,0.397,0.057,0.048,0.058,0.081,0.061,0.115,0.049,0.111,0.018,0.102,0.079,0.072,0.068,0.090
