0.032,0.132,0.133,0.152,0.140,0.031,0.117,0.136,0.119,0.036,0.048,0.190,0.129,0.115,0.090,0.030,0.115,0.087,0.181,0.091,0.131,0.031,0.125,0.101,0.128,0.221,0.231,0.100,0.087,0.030
0.179,0.059,0.185,0.174,0.063,0.191,0.125,0.086,0.188,0.187,0.179,0.096,0.197,0.084,0.159,0.205,0.124,0.137,0.172,0.136,0.183,0.191,0.190,0.125,0.179,0.180,0.194,0.185,0.137,0.205
0.127,0.153,0.010,0.026,0.186,0.131,0.079,0.204,0.032,0.126,0.110,0.130,0.030,0.175,0.077,0.156,0.077,0.135,0.058,0.091,0.012,0.131,0.026,0.096,0.016,0.100,0.112,0.055,0.135,0.156
0.129,0.150,0.015,0.022,0.183,0.132,0.076,0.202,0.035,0.127,0.114,0.128,0.035,0.173,0.079,0.159,0.076,0.139,0.054,0.089,0.018,0.132,0.029,0.094,0.016,0.096,0.108,0.058,0.139,0.159
0.167,0.055,0.199,0.191,0.040,0.178,0.128,0.054,0.197,0.174,0.169,0.134,0.207,0.070,0.160,0.188,0.133,0.124,0.192,0.126,0.196,0.178,0.201,0.121,0.192,0.216,0.229,0.188,0.124,0.188
0.044,0.128,0.137,0.158,0.141,0.022,0.122,0.140,0.124,0.040,0.048,0.189,0.134,0.113,0.103,0.031,0.121,0.095,0.187,0.100,0.137,0.022,0.131,0.107,0.132,0.227,0.237,0.104,0.095,0.031
0.112,0.092,0.079,0.071,0.122,0.115,0.012,0.151,0.079,0.106,0.103,0.098,0.089,0.134,0.066,0.144,0.023,0.124,0.073,0.033,0.077,0.115,0.083,0.025,0.074,0.103,0.116,0.078,0.124,0.144
0.046,0.117,0.150,0.160,0.116,0.056,0.124,0.108,0.139,0.052,0.075,0.193,0.149,0.092,0.102,0.052,0.121,0.074,0.188,0.098,0.149,0.056,0.145,0.107,0.144,0.228,0.237,0.121,0.074,0.052
0.124,0.156,0.014,0.040,0.189,0.130,0.083,0.207,0.020,0.125,0.104,0.141,0.018,0.177,0.078,0.148,0.083,0.134,0.070,0.095,0.017,0.130,0.014,0.101,0.017,0.114,0.123,0.043,0.134,0.148
0.052,0.112,0.114,0.118,0.132,0.051,0.083,0.134,0.106,0.030,0.055,0.152,0.116,0.107,0.088,0.080,0.079,0.111,0.140,0.062,0.113,0.051,0.112,0.075,0.107,0.180,0.191,0.090,0.111,0.080
0.051,0.108,0.146,0.155,0.114,0.043,0.118,0.111,0.135,0.047,0.058,0.180,0.145,0.090,0.110,0.045,0.117,0.082,0.184,0.093,0.146,0.043,0.142,0.102,0.139,0.223,0.234,0.116,0.082,0.045
0.199,0.093,0.165,0.146,0.114,0.210,0.135,0.144,0.177,0.199,0.188,0.043,0.183,0.133,0.158,0.232,0.130,0.162,0.131,0.148,0.163,0.210,0.176,0.139,0.162,0.129,0.143,0.181,0.162,0.232
0.125,0.148,0.011,0.027,0.181,0.130,0.074,0.199,0.031,0.125,0.109,0.128,0.030,0.171,0.074,0.154,0.073,0.134,0.058,0.087,0.012,0.130,0.025,0.091,0.013,0.100,0.113,0.053,0.134,0.154
0.054,0.151,0.148,0.174,0.163,0.047,0.142,0.157,0.125,0.062,0.060,0.211,0.130,0.129,0.112,0.028,0.139,0.098,0.203,0.119,0.148,0.047,0.131,0.126,0.145,0.243,0.252,0.103,0.098,0.028
0.086,0.113,0.067,0.069,0.139,0.103,0.048,0.158,0.068,0.089,0.092,0.119,0.076,0.138,0.018,0.119,0.044,0.090,0.087,0.050,0.064,0.103,0.068,0.051,0.064,0.127,0.138,0.074,0.090,0.119
0.062,0.162,0.162,0.187,0.167,0.052,0.152,0.159,0.138,0.068,0.068,0.224,0.142,0.139,0.116,0.020,0.150,0.097,0.216,0.126,0.161,0.052,0.144,0.136,0.158,0.256,0.266,0.115,0.097,0.020
0.157,0.137,0.089,0.070,0.170,0.163,0.056,0.199,0.100,0.153,0.148,0.062,0.106,0.181,0.095,0.192,0.056,0.162,0.059,0.080,0.087,0.163,0.099,0.072,0.087,0.057,0.072,0.110,0.162,0.192
0.157,0.071,0.135,0.120,0.097,0.174,0.112,0.124,0.149,0.169,0.161,0.077,0.156,0.110,0.123,0.190,0.105,0.111,0.115,0.122,0.131,0.174,0.147,0.113,0.136,0.147,0.155,0.155,0.111,0.190
0.241,0.225,0.130,0.105,0.258,0.250,0.142,0.287,0.154,0.238,0.233,0.127,0.152,0.268,0.177,0.278,0.144,0.248,0.076,0.168,0.131,0.250,0.147,0.160,0.134,0.038,0.031,0.177,0.248,0.278
0.087,0.079,0.092,0.086,0.099,0.091,0.026,0.126,0.089,0.080,0.078,0.109,0.100,0.112,0.057,0.119,0.030,0.105,0.093,0.011,0.090,0.091,0.094,0.021,0.086,0.127,0.140,0.080,0.105,0.119
0.120,0.150,0.018,0.044,0.183,0.122,0.076,0.201,0.020,0.119,0.097,0.137,0.020,0.172,0.076,0.140,0.076,0.130,0.076,0.089,0.022,0.122,0.016,0.094,0.017,0.117,0.130,0.039,0.130,0.140
0.056,0.127,0.109,0.117,0.147,0.034,0.088,0.148,0.100,0.038,0.055,0.167,0.110,0.119,0.088,0.065,0.086,0.115,0.147,0.068,0.108,0.034,0.106,0.081,0.102,0.186,0.198,0.086,0.115,0.065
0.123,0.150,0.012,0.032,0.184,0.130,0.076,0.201,0.027,0.125,0.107,0.134,0.026,0.173,0.072,0.152,0.076,0.132,0.063,0.089,0.012,0.130,0.020,0.094,0.016,0.107,0.116,0.050,0.132,0.152
0.035,0.117,0.125,0.137,0.132,0.033,0.101,0.129,0.115,0.031,0.050,0.170,0.125,0.104,0.086,0.051,0.099,0.093,0.165,0.077,0.124,0.033,0.122,0.084,0.120,0.203,0.216,0.098,0.093,0.051
0.142,0.151,0.030,0.014,0.185,0.149,0.076,0.205,0.055,0.141,0.132,0.117,0.052,0.181,0.082,0.177,0.073,0.149,0.039,0.091,0.032,0.149,0.048,0.094,0.033,0.081,0.093,0.077,0.149,0.177
