size_interval,size_2,size_3,size_4
0.0673,0.4231,0.6246,0.6761
0.1919,0.4024,0.5756,0.6472
0.1225,0.0019,0.0062,0.0105
0.0740,0.0060,0.0121,0.0181
0.1515,0.4561,0.6342,0.6687
0.2213,0.4011,0.6019,0.6678
0.0487,0.1759,0.3987,0.5695
0.3827,0.6245,0.6913,0.6931
0.1326,0.0418,0.0611,0.0800
0.0403,0.2750,0.5001,0.6078
0.1789,0.3647,0.6098,0.6823
0.0602,0.1788,0.2887,0.3897
0.0745,0.0062,0.0092,0.0124
0.3166,0.6064,0.6895,0.6931
0.0236,0.2315,0.4900,0.6073
0.1407,0.3296,0.6170,0.6713
0.1788,0.1883,0.3940,0.5380
0.2080,0.4491,0.6072,0.6719
0.2081,0.0138,0.0207,0.0276
0.0607,0.2148,0.4589,0.6039
0.1243,0.0161,0.0276,0.0425
0.2136,0.3301,0.5579,0.6475
0.1249,0.0137,0.0217,0.0308
0.3320,0.5046,0.6499,0.6819
0.1075,0.0170,0.0254,0.0379
0.0183,0.0130,0.0195,0.0261
0.0339,0.0195,0.0297,0.0405
0.2135,0.1066,0.1557,0.2037
0.2607,0.5796,0.6862,0.6931
0.3221,0.4482,0.6501,0.6854
