0.000,0.019,0.034,0.037,0.050,0.098,0.022,0.059,0.019,0.087,0.115,0.087,0.030,0.085,0.109,0.097,0.127,0.366,0.066,0.054,0.073,0.007,0.089,0.148,0.070,0.109,0.053,0.139,0.142,0.157,0.088,0.075
0.019,0.000,0.016,0.019,0.031,0.086,0.005,0.040,0.007,0.068,0.096,0.068,0.011,0.067,0.090,0.083,0.108,0.385,0.047,0.036,0.055,0.019,0.070,0.129,0.051,0.124,0.045,0.120,0.123,0.138,0.071,0.057
0.027,0.010,0.008,0.010,0.026,0.081,0.007,0.034,0.010,0.062,0.089,0.062,0.008,0.061,0.084,0.077,0.101,0.391,0.041,0.027,0.046,0.025,0.064,0.123,0.044,0.132,0.046,0.113,0.117,0.131,0.064,0.054
0.036,0.019,0.006,0.001,0.017,0.078,0.015,0.031,0.017,0.057,0.081,0.056,0.008,0.055,0.082,0.074,0.093,0.400,0.033,0.018,0.037,0.033,0.058,0.115,0.036,0.142,0.043,0.105,0.108,0.123,0.059,0.050
0.050,0.031,0.018,0.016,0.000,0.080,0.028,0.038,0.034,0.057,0.076,0.057,0.020,0.053,0.080,0.069,0.078,0.416,0.034,0.008,0.026,0.049,0.054,0.099,0.020,0.152,0.036,0.097,0.094,0.107,0.065,0.045
0.007,0.019,0.033,0.034,0.049,0.099,0.021,0.058,0.017,0.087,0.114,0.087,0.029,0.085,0.108,0.097,0.126,0.366,0.066,0.051,0.070,0.001,0.088,0.148,0.069,0.109,0.055,0.138,0.142,0.156,0.088,0.075
0.021,0.005,0.013,0.017,0.028,0.085,0.001,0.038,0.008,0.066,0.094,0.066,0.009,0.066,0.088,0.082,0.106,0.387,0.045,0.033,0.052,0.020,0.068,0.127,0.048,0.126,0.045,0.118,0.121,0.135,0.068,0.056
0.058,0.040,0.031,0.031,0.038,0.051,0.037,0.001,0.041,0.031,0.056,0.030,0.031,0.029,0.056,0.047,0.068,0.424,0.009,0.037,0.047,0.057,0.032,0.090,0.044,0.147,0.054,0.080,0.084,0.098,0.033,0.036
0.018,0.007,0.017,0.019,0.034,0.088,0.008,0.043,0.001,0.071,0.098,0.071,0.016,0.069,0.093,0.085,0.111,0.382,0.050,0.036,0.055,0.015,0.073,0.132,0.053,0.124,0.050,0.123,0.126,0.140,0.073,0.059
0.082,0.063,0.058,0.059,0.066,0.027,0.061,0.030,0.066,0.013,0.033,0.014,0.058,0.028,0.030,0.027,0.045,0.447,0.033,0.065,0.070,0.081,0.030,0.081,0.070,0.151,0.066,0.058,0.060,0.086,0.014,0.037
0.115,0.096,0.081,0.080,0.077,0.033,0.093,0.056,0.098,0.028,0.000,0.029,0.085,0.035,0.012,0.031,0.018,0.481,0.050,0.076,0.079,0.114,0.033,0.056,0.079,0.182,0.081,0.027,0.027,0.060,0.027,0.052
0.111,0.092,0.077,0.077,0.073,0.035,0.089,0.052,0.093,0.023,0.012,0.024,0.081,0.032,0.015,0.027,0.017,0.476,0.047,0.071,0.073,0.109,0.030,0.054,0.074,0.179,0.073,0.030,0.032,0.058,0.024,0.044
0.030,0.011,0.009,0.009,0.020,0.078,0.010,0.031,0.016,0.059,0.085,0.059,0.002,0.057,0.084,0.074,0.097,0.395,0.037,0.026,0.045,0.029,0.060,0.119,0.040,0.133,0.043,0.109,0.113,0.127,0.061,0.053
0.081,0.065,0.058,0.055,0.056,0.027,0.064,0.028,0.067,0.024,0.038,0.024,0.057,0.004,0.042,0.022,0.046,0.446,0.026,0.054,0.059,0.080,0.012,0.071,0.059,0.162,0.070,0.061,0.062,0.077,0.017,0.048
0.109,0.090,0.079,0.081,0.081,0.039,0.087,0.056,0.092,0.026,0.012,0.027,0.083,0.039,0.000,0.039,0.022,0.475,0.053,0.079,0.081,0.108,0.040,0.060,0.082,0.178,0.078,0.031,0.034,0.064,0.029,0.049
0.097,0.083,0.077,0.074,0.069,0.022,0.083,0.046,0.084,0.029,0.031,0.030,0.076,0.022,0.038,0.000,0.032,0.462,0.045,0.067,0.071,0.097,0.019,0.065,0.071,0.166,0.082,0.051,0.048,0.070,0.020,0.055
0.123,0.104,0.091,0.089,0.076,0.040,0.101,0.064,0.106,0.038,0.016,0.038,0.093,0.038,0.022,0.029,0.004,0.488,0.058,0.075,0.076,0.121,0.034,0.045,0.076,0.190,0.084,0.026,0.020,0.049,0.035,0.056
0.366,0.385,0.399,0.401,0.415,0.456,0.388,0.425,0.383,0.453,0.481,0.453,0.396,0.451,0.475,0.462,0.493,0.000,0.432,0.418,0.437,0.367,0.455,0.514,0.435,0.309,0.418,0.505,0.508,0.522,0.454,0.441
0.066,0.047,0.033,0.031,0.034,0.049,0.044,0.009,0.049,0.027,0.050,0.026,0.037,0.026,0.053,0.045,0.061,0.432,0.000,0.033,0.041,0.065,0.028,0.082,0.039,0.156,0.055,0.074,0.076,0.090,0.032,0.036
0.054,0.036,0.020,0.017,0.008,0.078,0.032,0.037,0.035,0.056,0.075,0.055,0.025,0.052,0.079,0.067,0.076,0.418,0.033,0.000,0.019,0.051,0.053,0.097,0.019,0.159,0.042,0.096,0.092,0.105,0.064,0.045
