time,size
2.289469003677368,406
5.208911418914795,406
6.13235068321228,406
7.238263368606567,406
7.524489402770996,406
8.710489988327026,406
11.933728218078613,406
13.429189443588257,406
13.554065942764282,406
16.134286403656006,406
17.543633699417114,406
17.933583974838257,406
19.851582050323486,406
20.88901686668396,406
22.437851190567017,406
23.390018463134766,406
23.89760184288025,406
24.974193811416626,406
26.085760593414307,406
26.274595260620117,406
27.267993211746216,406
28.656470775604248,406
28.700417041778564,406
31.209731817245483,406
31.336960077285767,406
32.44889569282532,406
32.7055025100708,406
33.473681926727295,406
34.50682210922241,406
35.23944139480591,406
36.45547556877136,406
37.10249948501587,406
38.24480724334717,406
38.657004594802856,406
39.76051449775696,406
39.90334749221802,406
40.94212341308594,406
41.997305154800415,406
42.43179655075073,406
43.35032796859741,406
44.56143760681152,406
46.211432695388794,406
46.415451526641846,406
47.45103931427002,406
48.47356677055359,406
49.68223285675049,406
51.94427275657654,406
52.86974263191223,406
55.12372851371765,406
56.14942765235901,406
57.36798048019409,406
57.79153847694397,406
58.615601539611816,406
59.87416195869446,406
62.27464580535889,406
62.83116126060486,406
64.2729423046112,406
65.13933658599854,406
68.42647957801819,406
71.92467880249023,406
72.82263398170471,406
75.78964829444885,406
77.03119111061096,406
79.0139570236206,406
80.772696018219,406
83.11597990989685,406
84.26101756095886,406
85.17798471450806,406
86.5099515914917,406
86.59245181083679,406
87.66821885108948,406
90.20142698287964,406
90.62405371665955,406
91.70132255554199,406
91.87373399734497,406
94.08712863922119,406
94.45569205284119,406
97.06685638427734,406
98.58031845092773,406
99.59865689277649,406
99.72851300239563,406
103.2277820110321,406
104.14941811561584,406
104.47410178184509,406
105.22326970100403,406
108.09248685836792,406
108.36265444755554,406
109.35965418815613,406
110.69664907455444,406
111.79359459877014,406
113.06407928466797,406
113.1626980304718,406
114.42952251434326,406
115.88104462623596,406
116.9305534362793,406
119.75868010520935,406
