0.035,0.031,0.058,0.009,0.051,0.035,0.053,0.060,0.037,0.070,0.010,0.018,0.012,0.021,0.069,0.014,0.056,0.065,0.058,0.044
0.046,0.019,0.046,0.009,0.039,0.046,0.041,0.048,0.025,0.058,0.019,0.028,0.021,0.032,0.057,0.004,0.044,0.053,0.046,0.054
0.048,0.018,0.044,0.011,0.037,0.049,0.040,0.046,0.024,0.057,0.021,0.030,0.024,0.034,0.055,0.005,0.043,0.052,0.045,0.057
0.048,0.018,0.044,0.010,0.037,0.048,0.039,0.046,0.023,0.057,0.021,0.030,0.024,0.034,0.055,0.004,0.042,0.052,0.044,0.056
0.034,0.032,0.058,0.010,0.051,0.034,0.054,0.060,0.037,0.071,0.010,0.018,0.012,0.020,0.069,0.014,0.056,0.066,0.058,0.042
0.036,0.029,0.055,0.007,0.048,0.036,0.051,0.058,0.035,0.068,0.010,0.018,0.012,0.022,0.066,0.012,0.054,0.063,0.056,0.045
0.039,0.027,0.053,0.005,0.046,0.039,0.049,0.055,0.032,0.066,0.012,0.021,0.015,0.025,0.064,0.009,0.051,0.061,0.053,0.047
0.047,0.018,0.044,0.010,0.037,0.048,0.040,0.047,0.023,0.057,0.020,0.030,0.023,0.033,0.055,0.004,0.042,0.052,0.044,0.056
0.044,0.021,0.048,0.006,0.041,0.044,0.044,0.051,0.027,0.060,0.017,0.026,0.019,0.030,0.059,0.005,0.046,0.056,0.048,0.052
0.048,0.018,0.044,0.012,0.038,0.048,0.040,0.047,0.024,0.057,0.022,0.031,0.024,0.034,0.055,0.006,0.043,0.052,0.045,0.056
0.051,0.014,0.040,0.011,0.033,0.052,0.036,0.043,0.019,0.053,0.024,0.033,0.027,0.037,0.051,0.005,0.038,0.048,0.040,0.060
0.049,0.016,0.042,0.012,0.035,0.049,0.038,0.045,0.022,0.055,0.022,0.031,0.025,0.035,0.053,0.005,0.041,0.050,0.043,0.058
0.040,0.025,0.052,0.005,0.045,0.040,0.047,0.054,0.031,0.064,0.013,0.022,0.015,0.026,0.063,0.008,0.050,0.059,0.052,0.048
0.041,0.023,0.050,0.005,0.043,0.042,0.045,0.052,0.029,0.062,0.015,0.024,0.017,0.028,0.061,0.006,0.048,0.058,0.050,0.050
0.049,0.016,0.042,0.012,0.035,0.050,0.038,0.045,0.021,0.055,0.022,0.031,0.025,0.035,0.053,0.005,0.040,0.050,0.043,0.058
0.047,0.020,0.046,0.012,0.040,0.047,0.042,0.049,0.026,0.059,0.021,0.030,0.024,0.033,0.058,0.006,0.045,0.054,0.047,0.056
0.038,0.027,0.053,0.008,0.046,0.039,0.048,0.055,0.032,0.066,0.013,0.021,0.014,0.024,0.064,0.009,0.051,0.061,0.053,0.047
0.046,0.020,0.047,0.009,0.040,0.046,0.042,0.049,0.026,0.059,0.019,0.028,0.022,0.031,0.058,0.005,0.045,0.054,0.047,0.054
0.037,0.028,0.054,0.008,0.048,0.037,0.050,0.057,0.034,0.067,0.013,0.021,0.014,0.023,0.065,0.011,0.053,0.062,0.055,0.046
0.040,0.025,0.051,0.007,0.045,0.040,0.047,0.054,0.031,0.064,0.013,0.022,0.016,0.026,0.062,0.008,0.050,0.059,0.052,0.049
