0.007,0.044,0.140,0.117,0.160,0.093,0.136,0.111,0.238,0.144,0.561,0.144,0.379,0.109,0.097,0.137,0.586,0.277,0.186,0.423,0.135,0.048,0.295,0.036,0.141,0.071,0.134,0.137,0.073,0.144,0.025,0.541,0.107,0.111,0.113,0.138,0.112,0.108,0.185,0.470,0.461,0.393,0.042,0.048,0.250,0.052,0.449,0.533,0.555,0.061,0.512,0.187,0.519,0.101,0.532,0.520,0.450,0.453,0.045
0.097,0.075,0.082,0.046,0.085,0.024,0.079,0.029,0.138,0.080,0.508,0.066,0.338,0.069,0.046,0.079,0.529,0.176,0.084,0.378,0.074,0.075,0.203,0.102,0.051,0.145,0.058,0.080,0.088,0.057,0.105,0.488,0.082,0.113,0.058,0.066,0.053,0.098,0.092,0.416,0.417,0.348,0.094,0.109,0.159,0.111,0.390,0.479,0.503,0.055,0.417,0.159,0.425,0.120,0.483,0.426,0.391,0.399,0.134
0.139,0.107,0.003,0.039,0.030,0.091,0.125,0.054,0.115,0.044,0.484,0.059,0.310,0.045,0.056,0.009,0.506,0.153,0.095,0.351,0.146,0.111,0.171,0.148,0.061,0.171,0.077,0.124,0.122,0.037,0.143,0.464,0.076,0.144,0.032,0.054,0.036,0.126,0.067,0.392,0.390,0.320,0.120,0.135,0.125,0.133,0.370,0.455,0.479,0.093,0.393,0.163,0.401,0.142,0.456,0.402,0.371,0.375,0.165
0.117,0.083,0.033,0.011,0.061,0.062,0.118,0.024,0.135,0.065,0.505,0.057,0.330,0.032,0.026,0.036,0.527,0.174,0.089,0.374,0.118,0.090,0.202,0.126,0.040,0.148,0.077,0.118,0.108,0.053,0.122,0.485,0.056,0.113,0.026,0.054,0.030,0.097,0.092,0.414,0.410,0.345,0.098,0.113,0.156,0.110,0.391,0.476,0.500,0.065,0.414,0.172,0.422,0.143,0.479,0.423,0.392,0.396,0.143
0.156,0.125,0.030,0.056,0.000,0.103,0.118,0.060,0.086,0.046,0.456,0.062,0.294,0.074,0.086,0.030,0.478,0.125,0.081,0.321,0.141,0.125,0.143,0.166,0.047,0.201,0.074,0.117,0.129,0.030,0.163,0.434,0.105,0.174,0.054,0.058,0.051,0.151,0.041,0.363,0.370,0.291,0.143,0.158,0.096,0.156,0.345,0.425,0.450,0.116,0.363,0.153,0.371,0.131,0.426,0.372,0.346,0.348,0.189
0.091,0.073,0.088,0.055,0.102,0.005,0.082,0.043,0.146,0.079,0.516,0.062,0.353,0.073,0.047,0.085,0.537,0.184,0.093,0.385,0.073,0.077,0.211,0.097,0.068,0.137,0.055,0.083,0.088,0.074,0.099,0.497,0.084,0.105,0.060,0.066,0.055,0.087,0.100,0.424,0.433,0.356,0.088,0.105,0.166,0.107,0.399,0.487,0.511,0.048,0.424,0.168,0.433,0.124,0.491,0.433,0.400,0.409,0.126
0.191,0.168,0.151,0.148,0.135,0.128,0.073,0.139,0.116,0.138,0.476,0.126,0.328,0.161,0.164,0.149,0.437,0.095,0.076,0.283,0.115,0.157,0.110,0.194,0.120,0.240,0.083,0.070,0.147,0.117,0.199,0.456,0.176,0.216,0.141,0.133,0.133,0.196,0.101,0.358,0.424,0.252,0.187,0.204,0.127,0.204,0.309,0.406,0.443,0.161,0.324,0.132,0.333,0.135,0.387,0.333,0.310,0.364,0.228
0.128,0.098,0.075,0.043,0.073,0.042,0.070,0.031,0.107,0.077,0.477,0.059,0.315,0.070,0.057,0.073,0.498,0.145,0.053,0.346,0.088,0.090,0.172,0.131,0.033,0.176,0.050,0.069,0.087,0.049,0.136,0.457,0.088,0.144,0.054,0.063,0.048,0.125,0.063,0.385,0.395,0.316,0.119,0.133,0.127,0.132,0.360,0.448,0.472,0.086,0.385,0.135,0.393,0.109,0.451,0.394,0.361,0.369,0.165
0.232,0.203,0.115,0.129,0.086,0.148,0.142,0.128,0.003,0.098,0.405,0.095,0.259,0.158,0.159,0.114,0.402,0.053,0.069,0.241,0.147,0.194,0.074,0.235,0.097,0.282,0.106,0.141,0.182,0.096,0.240,0.382,0.189,0.247,0.138,0.100,0.135,0.225,0.056,0.296,0.341,0.210,0.223,0.239,0.024,0.237,0.280,0.349,0.386,0.190,0.280,0.159,0.288,0.169,0.345,0.289,0.280,0.301,0.270
0.139,0.116,0.042,0.060,0.045,0.079,0.121,0.065,0.098,0.001,0.480,0.024,0.327,0.063,0.076,0.039,0.493,0.139,0.089,0.334,0.125,0.110,0.157,0.150,0.054,0.188,0.066,0.121,0.123,0.035,0.148,0.457,0.093,0.161,0.051,0.018,0.051,0.139,0.053,0.378,0.404,0.303,0.130,0.146,0.109,0.144,0.364,0.439,0.467,0.104,0.375,0.165,0.384,0.144,0.439,0.384,0.365,0.372,0.177
