size_interval,size_2,size_3,size_4
0.0074,0.0016,0.0035,0.0048
0.0316,0.0145,0.0151,0.0166
0.0117,0.0084,0.0112,0.0146
0.0555,0.0404,0.0419,0.0437
0.0017,0.0044,0.0082,0.0122
0.0044,0.0006,0.0009,0.0012
0.1428,0.1150,0.1182,0.1217
0.0431,0.0388,0.0416,0.0437
0.0039,0.0001,0.0002,0.0007
0.0044,0.0053,0.0067,0.0081
0.0005,0.0048,0.0094,0.0139
0.0081,0.0028,0.0037,0.0052
0.0008,0.0001,0.0016,0.0073
0.0003,0.0006,0.0019,0.0064
0.0066,0.0003,0.0006,0.0029
0.0043,0.0024,0.0032,0.0041
0.0026,0.0008,0.0042,0.0063
0.0021,0.0027,0.0052,0.0088
0.0150,0.0049,0.0079,0.0112
0.0067,0.0069,0.0088,0.0107
0.0080,0.0003,0.0004,0.0006
0.0001,0.0000,0.0059,0.0119
0.0092,0.0154,0.0198,0.0244
0.0076,0.0006,0.0007,0.0011
0.0223,0.0023,0.0036,0.0054
0.0002,0.0000,0.0000,0.0002
0.0125,0.0034,0.0048,0.0057
0.0284,0.0048,0.0058,0.0074
0.0035,0.0008,0.0011,0.0015
0.0039,0.0002,0.0011,0.0026
0.0184,0.0020,0.0030,0.0042
0.0011,0.0067,0.0136,0.0212
0.0087,0.0082,0.0105,0.0136
0.0029,0.0012,0.0017,0.0021
0.0018,0.0015,0.0027,0.0040
0.0038,0.0054,0.0080,0.0110
0.0039,0.0001,0.0001,0.0002
0.0026,0.0059,0.0116,0.0174
0.0025,0.0007,0.0008,0.0017
0.0036,0.0057,0.0071,0.0085
0.0081,0.0047,0.0074,0.0125
0.0002,0.0079,0.0139,0.0201
