0.000,0.061,0.086,0.075,0.062,0.064,0.065,0.088,0.003,0.002,0.062,0.084,0.062,0.062,0.002,0.058,0.065,0.108,0.065,0.040,0.064,0.025,0.092,0.024,0.090,0.169,0.068,0.088,0.037,0.003,0.120,0.146,0.091,0.073,0.034,0.063,0.032,0.130,0.056,0.065,0.110,0.053
0.061,0.000,0.135,0.062,0.013,0.014,0.026,0.081,0.063,0.062,0.013,0.050,0.013,0.013,0.063,0.108,0.015,0.158,0.015,0.092,0.014,0.037,0.064,0.078,0.061,0.218,0.118,0.058,0.088,0.064,0.170,0.190,0.140,0.122,0.090,0.113,0.084,0.156,0.105,0.115,0.159,0.013
0.086,0.136,0.001,0.075,0.148,0.150,0.110,0.058,0.085,0.086,0.149,0.086,0.149,0.149,0.085,0.029,0.151,0.027,0.151,0.046,0.150,0.109,0.078,0.062,0.079,0.087,0.020,0.082,0.050,0.085,0.061,0.074,0.012,0.015,0.052,0.023,0.054,0.063,0.031,0.021,0.030,0.140
0.070,0.061,0.075,0.008,0.073,0.075,0.035,0.024,0.069,0.070,0.073,0.026,0.074,0.074,0.069,0.059,0.076,0.097,0.076,0.051,0.075,0.063,0.031,0.062,0.030,0.160,0.058,0.030,0.054,0.068,0.123,0.135,0.080,0.062,0.057,0.065,0.054,0.102,0.056,0.057,0.099,0.070
0.062,0.013,0.148,0.074,0.000,0.002,0.039,0.093,0.063,0.062,0.000,0.063,0.001,0.001,0.063,0.120,0.003,0.170,0.003,0.102,0.002,0.040,0.077,0.086,0.073,0.230,0.130,0.070,0.099,0.064,0.182,0.202,0.153,0.135,0.096,0.125,0.094,0.169,0.118,0.127,0.171,0.008
0.064,0.014,0.150,0.076,0.002,0.000,0.041,0.095,0.065,0.064,0.002,0.065,0.001,0.001,0.065,0.122,0.003,0.172,0.003,0.104,0.000,0.042,0.079,0.088,0.075,0.232,0.132,0.072,0.101,0.066,0.184,0.204,0.155,0.137,0.098,0.127,0.096,0.171,0.120,0.129,0.173,0.010
0.056,0.016,0.119,0.045,0.029,0.031,0.010,0.065,0.057,0.056,0.029,0.035,0.029,0.029,0.057,0.092,0.032,0.141,0.032,0.077,0.031,0.038,0.048,0.063,0.045,0.202,0.101,0.042,0.072,0.058,0.155,0.175,0.124,0.106,0.076,0.097,0.069,0.141,0.089,0.099,0.143,0.028
0.088,0.081,0.058,0.026,0.093,0.095,0.055,0.000,0.088,0.089,0.094,0.042,0.094,0.094,0.088,0.048,0.096,0.077,0.096,0.065,0.095,0.082,0.036,0.081,0.036,0.144,0.053,0.038,0.068,0.087,0.104,0.119,0.060,0.056,0.071,0.053,0.073,0.085,0.049,0.052,0.079,0.090
0.002,0.063,0.084,0.074,0.064,0.066,0.066,0.087,0.001,0.002,0.064,0.084,0.065,0.065,0.001,0.056,0.067,0.106,0.067,0.038,0.066,0.027,0.092,0.022,0.089,0.166,0.066,0.088,0.035,0.001,0.118,0.144,0.089,0.071,0.032,0.061,0.030,0.128,0.054,0.063,0.107,0.056
0.002,0.061,0.086,0.075,0.061,0.063,0.065,0.089,0.003,0.002,0.062,0.085,0.062,0.062,0.003,0.059,0.064,0.109,0.064,0.041,0.063,0.025,0.092,0.025,0.090,0.169,0.069,0.088,0.037,0.004,0.120,0.146,0.091,0.073,0.035,0.064,0.033,0.130,0.056,0.066,0.110,0.053
