Leaf,TotalPacket,DropPacket
0,17349,179
1,11311,167
2,14417,181
3,13965,123
4,13348,177
5,11796,68
6,14286,302
7,13977,191
8,3585,105
9,7851,109
10,21602,92
11,15742,133
12,19159,188
13,15646,232
14,13862,224
15,16687,140
16,16891,96
17,15483,175
18,18423,212
19,10513,114
20,18880,281
21,16806,119
22,14449,175
23,12686,134
24,14407,144
25,6008,82
26,18659,268
27,18778,298
28,16246,129
29,6577,57
30,10775,69
31,3687,54
32,8606,71
33,14934,96
34,21068,231
35,17818,202
36,18162,84
37,18355,62
38,14700,128
39,12027,113
40,15719,159
41,17816,264
42,19912,269
43,25513,226
44,4033,99
45,13665,233
46,21916,255
47,15325,84
48,11552,152
49,6387,78
50,22401,431
51,18987,144
52,6070,68
53,13225,173
54,4659,123
55,14920,140
56,13805,73
57,13660,338
58,4319,96
59,11804,62
60,17385,126
61,11252,142
62,12531,357
63,4983,33
64,11989,82
65,14101,231
66,13161,94
67,13698,172
68,13986,131
69,15187,207
70,11823,85
71,6328,85
72,17091,297
73,13521,174
74,10313,322
75,15248,210
76,12280,213
77,20402,339
78,12281,196
79,14414,317
80,10122,161
81,5917,103
82,4465,4
83,11683,189
84,12429,133
85,11714,233
86,12697,206
87,14887,146
88,12839,231
89,15391,235
90,10909,243
91,11844,169
92,14777,325
93,15290,109
94,12914,136
95,13529,189
96,19785,140
97,14797,139
98,4272,23
99,4554,82
100,6724,125
101,13135,178
102,14769,135
103,14762,162
104,7608,50
105,16785,76
106,12401,77
107,8117,92
108,12625,95
109,9679,255
110,13078,161
111,19586,212
112,5350,27
113,11133,84
114,11270,93
