Leaf,TotalPacket,DropPacket
0,16212,0
1,11713,0
2,8127,0
3,8709,0
4,13349,4
5,12527,0
6,20112,3
7,10688,0
8,5407,5
9,14041,0
10,18382,8
11,15703,0
12,16027,1
13,17686,7
14,16577,0
15,15069,5
16,15398,0
17,20284,0
18,20245,5
19,15135,0
20,18557,2
21,19412,0
22,14696,0
23,12185,2
24,21793,7
25,2336,9
26,24269,0
27,24800,0
28,19086,6
29,7901,3
30,9331,3
31,3244,0
32,13985,5
33,12150,0
34,25118,0
35,19966,0
36,13439,8
37,19018,8
38,13754,0
39,14630,0
40,15938,0
41,15901,0
42,19327,0
43,25487,0
44,3862,9
45,13840,9
46,17226,3
47,11463,1
48,9996,0
49,8216,0
50,22205,0
51,13325,6
52,9781,2
53,14525,7
54,6211,0
55,17018,3
56,14337,2
57,12796,0
58,3361,0
59,9799,6
60,18005,0
61,10986,11
62,16385,0
63,8330,1
64,4072,0
65,10152,0
66,7861,0
67,11741,0
68,15189,0
69,10357,1
70,12946,9
71,8861,0
72,15429,0
73,13607,3
74,10446,0
75,20096,0
76,18381,1
77,18096,10
78,13644,0
79,16136,0
80,13258,0
81,9591,0
82,6218,0
83,15106,0
84,11473,0
85,13879,2
86,14065,0
87,16274,3
88,13599,2
89,9610,0
90,19713,0
91,9548,0
92,17572,6
93,15108,6
94,12775,4
95,14880,1
96,21828,0
97,17222,5
98,6221,4
99,5774,1
100,6799,0
101,13497,1
102,14590,2
103,11735,0
104,9278,0
105,10701,0
106,14648,0
107,12117,0
108,12287,0
109,17497,2
110,9822,0
111,19904,0
112,11382,0
113,11172,10
114,14172,0
