Leaf,TotalPacket,DropPacket
0,19108,35
1,8677,0
2,9325,0
3,10353,15
4,20467,50
5,10302,0
6,18565,49
7,10526,0
8,10752,20
9,10213,0
10,7089,19
11,10262,0
12,9925,0
13,20369,90
14,13562,1
15,6296,55
16,15789,1
17,22470,0
18,11845,117
19,10745,0
20,24072,16
21,18894,11
22,16197,0
23,13927,22
24,26190,23
25,10668,14
26,19829,0
27,26666,0
28,21174,77
29,13906,73
30,9668,16
31,4448,2
32,8442,11
33,12599,0
34,17126,7
35,21198,0
36,9000,31
37,14835,91
38,15666,0
39,17072,22
40,17769,0
41,12965,0
42,18912,36
43,30158,12
44,13632,21
45,10806,22
46,17521,54
47,15356,0
48,2645,53
49,7922,0
50,19872,0
51,10154,91
52,14781,38
53,14364,22
54,6320,10
55,18458,47
56,12445,17
57,7822,0
58,9929,0
59,12363,65
60,20014,0
61,11259,23
62,17882,0
63,13810,0
64,9054,1
65,10821,0
66,7940,0
67,11037,13
68,16026,0
69,12703,0
70,13509,17
71,8460,0
72,16132,0
73,17080,26
74,7816,0
75,18473,14
76,20056,0
77,9963,37
78,16090,18
79,14440,0
80,13200,0
81,14428,7
82,7601,1
83,14752,0
84,10021,0
85,4335,17
86,13114,0
87,18152,92
88,14726,62
89,9753,1
90,16208,0
91,10888,0
92,15515,50
93,12048,66
94,12924,66
95,12475,2
96,18497,0
97,17265,33
98,5956,0
99,11887,0
100,9980,0
101,13132,0
102,15948,89
103,14321,0
104,5318,1
105,17189,0
106,12609,17
107,10903,15
108,7264,1
109,12585,13
110,7578,0
111,17054,13
112,13730,8
113,13399,86
114,15138,0
