Leaf,TotalPacket,DropPacket
0,21319,99
1,12111,100
2,15466,252
3,12085,236
4,15412,133
5,12556,42
6,16623,288
7,15393,184
8,4116,173
9,8887,69
10,19471,177
11,13194,98
12,20347,158
13,17328,136
14,17471,181
15,20667,276
16,20274,103
17,19614,141
18,20276,166
19,11544,214
20,15313,190
21,19604,65
22,15362,124
23,13256,84
24,14728,232
25,6350,107
26,20444,116
27,22865,144
28,15129,95
29,7251,52
30,12388,73
31,4063,54
32,9525,78
33,16581,84
34,23764,300
35,19918,182
36,18230,81
37,20856,157
38,14152,114
39,13322,85
40,18609,325
41,19528,182
42,22424,210
43,28105,107
44,4181,120
45,14106,269
46,25498,199
47,15930,150
48,12876,89
49,5600,65
50,22024,152
51,20480,100
52,6988,103
53,17650,126
54,5583,157
55,15413,131
56,12448,132
57,18367,172
58,4870,120
59,13596,10
60,16234,47
61,13205,138
62,16168,158
63,5078,95
64,13133,61
65,14766,147
66,12674,147
67,16201,326
68,15443,95
69,15931,148
70,6516,122
71,6778,60
72,20055,198
73,14851,123
74,5490,61
75,18164,101
76,5416,45
77,23898,275
78,14378,281
79,16875,106
80,12244,120
81,6392,124
82,4765,21
83,15413,93
84,14946,225
85,12083,302
86,15398,60
87,18724,279
88,13752,96
89,16577,301
90,16962,304
91,14293,131
92,16238,104
93,16106,58
94,14242,81
95,14217,144
96,21508,195
97,14558,104
98,3784,127
99,5154,107
100,6748,142
101,13259,145
102,15917,96
103,19780,26
104,7912,88
105,17321,51
106,12781,88
107,9653,104
108,13573,59
109,9767,330
110,11643,235
111,22049,175
112,6209,66
113,12122,66
114,12824,81
