Leaf,TotalPacket,DropPacket
0,15947,33
1,11695,3
2,7690,14
3,8367,42
4,13467,169
5,12393,115
6,19856,129
7,9879,77
8,5573,8
9,14014,16
10,18556,69
11,15115,86
12,15100,127
13,17091,93
14,16011,141
15,14713,49
16,15383,1
17,20198,1
18,19225,241
19,14679,118
20,18341,92
21,19368,17
22,14448,178
23,11749,140
24,21332,256
25,2481,61
26,23778,64
27,24271,100
28,19206,64
29,8219,20
30,8974,165
31,2804,15
32,13617,48
33,11307,38
34,24907,22
35,19281,108
36,13371,67
37,19277,186
38,12921,121
39,14217,160
40,15753,6
41,15735,120
42,18634,174
43,24354,69
44,4248,35
45,13473,75
46,16860,224
47,11202,67
48,9996,0
49,8209,22
50,21353,188
51,13216,116
52,9374,82
53,14770,69
54,6070,20
55,16841,56
56,14417,16
57,12376,11
58,3361,0
59,9920,24
60,17261,159
61,10882,76
62,16126,144
63,8025,25
64,3928,24
65,9979,17
66,7616,1
67,11403,81
68,14729,59
69,10006,47
70,13071,132
71,8746,108
72,15060,68
73,13268,82
74,9907,57
75,20035,299
76,18039,22
77,17400,105
78,13423,87
79,15972,15
80,12962,35
81,9500,1
82,6199,1
83,14960,153
84,10706,117
85,13570,32
86,13678,101
87,15537,159
88,12605,125
89,9355,64
90,19251,128
91,9510,4
92,17491,105
93,14975,72
94,12395,67
95,14280,95
96,21120,233
97,16636,42
98,6221,35
99,5444,70
100,6644,20
101,13251,103
102,14546,14
103,11041,43
104,9110,14
105,10514,13
106,13998,137
107,12088,4
108,11337,89
109,16362,288
110,9542,6
111,19154,50
112,10786,83
113,11098,160
114,13582,267
