Leaf,TotalPacket,DropPacket
0,19006,24
1,8600,2
2,9305,1
3,10391,12
4,20405,13
5,10302,0
6,18444,17
7,10324,3
8,10592,20
9,10213,0
10,7129,19
11,10039,1
12,9925,0
13,20184,16
14,13541,3
15,6379,5
16,15755,3
17,22470,0
18,11597,15
19,10727,2
20,24027,17
21,18868,1
22,16197,0
23,13883,11
24,26160,27
25,10556,27
26,19829,0
27,26221,6
28,21105,17
29,13609,26
30,9652,23
31,4470,5
32,8500,13
33,12556,1
34,17087,3
35,21198,0
36,8909,15
37,14617,15
38,15205,3
39,16309,16
40,17496,4
41,12506,6
42,18792,26
43,30226,12
44,13016,22
45,10449,20
46,17329,26
47,15074,3
48,2708,9
49,7922,0
50,19872,0
51,10062,22
52,14772,17
53,14386,20
54,6309,1
55,18353,16
56,12462,19
57,7822,0
58,9929,0
59,12320,9
60,20014,0
61,11237,24
62,17882,0
63,13810,0
64,8947,4
65,10821,0
66,7690,1
67,10870,19
68,16026,0
69,12405,3
70,13264,27
71,8460,0
72,15985,5
73,17030,28
74,7442,14
75,18459,25
76,19811,4
77,9682,40
78,15430,36
79,14440,0
80,13122,8
81,14223,4
82,7599,1
83,14752,0
84,9884,5
85,4321,27
86,13114,0
87,17899,16
88,14595,37
89,9752,1
90,16209,1
91,10888,0
92,15411,19
93,11886,8
94,12879,7
95,12473,0
96,18497,0
97,16997,14
98,5918,2
99,11548,9
100,9980,0
101,12922,1
102,15412,29
103,14300,1
104,5220,4
105,17189,0
106,12218,19
107,10848,12
108,7166,7
109,12440,11
110,7578,0
111,17056,17
112,13545,12
113,13259,21
114,14929,3
