Leaf,TotalPacket,DropPacket
0,20334,161
1,11459,107
2,15778,218
3,12150,325
4,15184,118
5,12569,53
6,16189,329
7,16110,237
8,3587,288
9,8372,91
10,19500,200
11,12612,423
12,20853,155
13,16877,450
14,17264,230
15,20171,205
16,19584,132
17,19742,176
18,20520,267
19,11760,299
20,15258,604
21,18573,67
22,15209,150
23,12983,133
24,15300,148
25,6336,93
26,20274,130
27,22643,172
28,15281,452
29,7495,45
30,11704,71
31,4009,48
32,9519,42
33,15544,131
34,22846,283
35,19602,188
36,18458,118
37,21378,154
38,14677,137
39,13431,138
40,19285,279
41,19126,249
42,22574,208
43,27605,165
44,4460,72
45,13327,315
46,25057,206
47,15878,155
48,13055,164
49,5639,111
50,22193,147
51,19826,119
52,6800,103
53,17276,186
54,5694,125
55,15943,289
56,12724,186
57,17734,368
58,4496,109
59,13106,28
60,15961,112
61,13122,105
62,15760,263
63,5132,34
64,13493,202
65,14499,266
66,12273,200
67,15913,439
68,15117,83
69,16005,423
70,6257,144
71,6769,67
72,20230,193
73,15038,275
74,5407,94
75,17839,130
76,5242,83
77,22378,288
78,13735,115
79,16341,107
80,12421,265
81,6484,99
82,4772,17
83,14892,117
84,15109,173
85,12939,446
86,15246,82
87,18814,181
88,12781,152
89,16764,316
90,16673,247
91,14395,133
92,15657,112
93,16005,167
94,14268,176
95,14698,294
96,20222,143
97,14284,365
98,3995,213
99,5031,89
100,6905,161
101,13765,290
102,14395,114
103,19340,37
104,8055,46
105,17120,200
106,12360,91
107,9980,98
108,13867,71
109,9588,180
110,11857,290
111,21820,255
112,5887,65
113,12140,179
114,12034,187
