Leaf,TotalPacket,DropPacket
0,17925,70
1,8597,2
2,8718,44
3,10317,21
4,19909,55
5,10276,3
6,18512,32
7,9996,23
8,10635,53
9,9813,35
10,7210,5
11,9360,50
12,9449,12
13,19619,46
14,12346,57
15,6182,38
16,14604,36
17,22033,13
18,11403,26
19,10316,17
20,22674,68
21,17859,52
22,15024,55
23,12482,81
24,25440,76
25,10501,33
26,18699,36
27,24729,160
28,20497,72
29,12128,86
30,9194,44
31,4195,17
32,8150,17
33,11767,33
34,16030,86
35,20658,19
36,7970,20
37,13766,57
38,13333,162
39,15929,89
40,16264,83
41,12010,59
42,18163,83
43,27352,172
44,12697,39
45,10549,24
46,16258,61
47,13344,131
48,2317,29
49,7412,20
50,19099,11
51,9642,33
52,14189,12
53,13719,45
54,5670,30
55,17455,59
56,12231,15
57,7642,12
58,9347,26
59,11684,52
60,19255,13
61,10584,103
62,17443,16
63,13806,7
64,8813,16
65,9863,51
66,7578,19
67,10555,65
68,14890,43
69,12174,66
70,13304,46
71,8197,4
72,15122,46
73,16378,37
74,7457,10
75,17132,54
76,18342,44
77,9284,65
78,14864,108
79,13492,53
80,12131,41
81,13371,56
82,7318,6
83,14044,17
84,9093,72
85,3830,50
86,12700,37
87,17428,72
88,14538,51
89,9547,10
90,15537,51
91,10240,18
92,14759,55
93,11465,53
94,12203,74
95,11547,17
96,17666,11
97,16435,118
98,5743,12
99,10733,75
100,9365,48
101,12076,115
102,15161,100
103,13117,46
104,4725,32
105,16518,33
106,11566,107
107,10618,24
108,7186,6
109,11717,54
110,6722,35
111,16790,51
112,12768,59
113,12654,41
114,14091,33
