Leaf,TotalPacket,DropPacket
0,18640,160
1,11597,118
2,14909,231
3,11574,271
4,14747,157
5,12297,66
6,14879,350
7,15395,144
8,3621,123
9,8226,95
10,19563,171
11,11165,128
12,19359,207
13,14437,119
14,15913,177
15,19686,249
16,19233,129
17,18134,193
18,19164,163
19,11253,213
20,13626,138
21,17881,88
22,15256,112
23,11578,144
24,13750,174
25,6181,79
26,19132,176
27,21422,161
28,12105,157
29,7156,40
30,10913,71
31,3938,52
32,9146,57
33,14229,124
34,21066,325
35,17975,206
36,18378,92
37,20218,102
38,13809,150
39,12656,171
40,17428,281
41,17613,276
42,21779,211
43,25884,171
44,4426,94
45,13536,222
46,23884,222
47,14395,152
48,12857,89
49,5089,48
50,20980,156
51,18812,120
52,6755,127
53,17147,177
54,5456,98
55,15073,169
56,11744,152
57,17085,281
58,4806,84
59,12699,23
60,15825,81
61,12954,109
62,15136,179
63,4944,30
64,12473,93
65,13083,192
66,11495,172
67,14400,213
68,15033,118
69,14658,166
70,6174,122
71,6487,62
72,19219,185
73,13740,142
74,5336,66
75,17445,126
76,5011,48
77,22725,431
78,13906,134
79,15877,105
80,11777,307
81,6180,103
82,4740,22
83,13510,145
84,12538,312
85,12807,250
86,15062,77
87,18160,184
88,12256,158
89,16485,277
90,16258,296
91,13394,197
92,14467,121
93,15175,79
94,13502,135
95,13621,218
96,19957,155
97,11484,140
98,3185,159
99,4858,81
100,6350,127
101,12040,154
102,13444,98
103,19567,25
104,7444,59
105,17115,60
106,12027,152
107,9165,104
108,13708,78
109,8669,218
110,11282,274
111,20591,371
112,5615,79
113,11905,92
114,11899,184
