Leaf,TotalPacket,DropPacket
0,16182,3
1,11713,0
2,8127,0
3,8675,18
4,13686,29
5,12527,0
6,20284,24
7,10423,1
8,5795,78
9,14041,0
10,18492,95
11,15703,0
12,16038,0
13,17872,51
14,16577,0
15,15234,28
16,15398,0
17,20284,0
18,20438,57
19,15135,0
20,18584,11
21,19412,0
22,14696,0
23,12234,0
24,21620,65
25,2443,68
26,24269,0
27,24800,0
28,19191,45
29,8227,22
30,9517,72
31,3083,1
32,14169,7
33,12150,0
34,25118,0
35,19966,0
36,13630,32
37,19246,43
38,13406,2
39,14492,2
40,15938,0
41,15898,13
42,19328,1
43,25487,0
44,4064,46
45,14139,5
46,17144,110
47,11208,2
48,9996,0
49,8216,0
50,21982,3
51,13518,24
52,9765,32
53,14739,20
54,6211,0
55,17174,11
56,14071,5
57,12796,0
58,3361,0
59,9832,44
60,17744,1
61,11053,34
62,16385,0
63,8027,20
64,4072,0
65,10152,0
66,7862,1
67,11744,16
68,15190,1
69,10462,35
70,13148,37
71,8861,0
72,15247,2
73,13654,61
74,10446,0
75,19845,100
76,18487,10
77,18452,56
78,13644,0
79,16132,1
80,13258,0
81,9591,0
82,6218,0
83,15106,0
84,11473,0
85,13969,57
86,14065,0
87,16231,17
88,13704,9
89,9610,0
90,19713,0
91,9548,0
92,17728,19
93,15295,43
94,12942,33
95,14852,2
96,21558,1
97,17292,20
98,6415,28
99,5727,45
100,6799,0
101,13396,32
102,14539,11
103,11735,0
104,9278,0
105,10701,0
106,14648,0
107,12117,0
108,12197,1
109,17548,0
110,9822,0
111,19904,0
112,11214,1
113,11381,88
114,13826,2
