Leaf,TotalPacket,DropPacket
0,18026,284
1,10689,204
2,13110,382
3,11126,406
4,14410,275
5,11448,131
6,15084,496
7,14893,295
8,3492,187
9,8358,95
10,18627,332
11,10247,343
12,18330,398
13,13083,380
14,16067,290
15,18676,376
16,18870,381
17,18497,302
18,18894,336
19,10775,429
20,14523,232
21,17392,170
22,15157,167
23,12196,190
24,13973,237
25,6160,100
26,18742,148
27,20225,229
28,11851,371
29,6926,65
30,11210,133
31,3956,48
32,9020,84
33,13797,188
34,20714,512
35,17409,367
36,18362,135
37,19560,224
38,13250,220
39,12726,107
40,16262,506
41,18101,460
42,20901,555
43,24948,400
44,4129,133
45,13338,372
46,22779,358
47,14642,207
48,12451,135
49,5370,62
50,20272,324
51,18103,249
52,6474,81
53,16409,219
54,5439,126
55,14791,311
56,11705,228
57,16541,314
58,4336,115
59,11853,67
60,15795,127
61,12513,98
62,14676,253
63,4693,36
64,12530,153
65,12052,417
66,10956,243
67,14273,245
68,14067,177
69,14450,314
70,5812,224
71,6084,95
72,18717,207
73,13218,222
74,5095,75
75,15648,182
76,5205,67
77,20957,600
78,13737,99
79,15075,207
80,11323,176
81,5781,141
82,4720,13
83,13589,293
84,13161,299
85,11903,406
86,14781,117
87,17434,435
88,11556,267
89,15810,283
90,15525,437
91,12634,247
92,14200,276
93,15106,220
94,13117,238
95,12105,561
96,18906,333
97,12524,316
98,2960,136
99,4486,101
100,5797,187
101,12160,265
102,12981,272
103,18806,59
104,7818,64
105,16159,175
106,11789,215
107,9402,122
108,13067,144
109,7746,370
110,11023,399
111,19925,335
112,5534,117
113,11644,151
114,11630,220
