Leaf,TotalPacket,DropPacket
0,20544,129
1,12853,121
2,16613,124
3,16192,80
4,15541,144
5,12642,54
6,16759,396
7,15733,153
8,4002,144
9,8869,63
10,23444,70
11,18611,136
12,20973,177
13,17814,307
14,16356,207
15,19873,140
16,18212,50
17,17979,210
18,21085,147
19,14467,174
20,21865,402
21,19523,147
22,16446,126
23,14727,132
24,15129,216
25,6384,89
26,20683,258
27,22131,188
28,17632,249
29,7158,59
30,11777,96
31,4044,52
32,9330,83
33,16460,108
34,24236,301
35,19173,317
36,19654,64
37,19740,70
38,15467,100
39,13810,118
40,18117,236
41,20160,215
42,22705,290
43,28905,174
44,4501,130
45,14779,294
46,25601,230
47,17913,63
48,13213,143
49,6878,66
50,24983,343
51,20226,264
52,6564,72
53,14851,204
54,5502,203
55,16004,208
56,15230,70
57,16332,336
58,4739,135
59,13192,21
60,18086,116
61,11970,169
62,15644,372
63,5116,32
64,13856,188
65,15218,224
66,14456,83
67,15559,142
68,15536,170
69,17017,240
70,12614,105
71,6889,35
72,19109,309
73,15148,138
74,12264,260
75,16651,169
76,13887,178
77,24066,448
78,13412,254
79,16453,311
80,11606,184
81,6387,125
82,4722,8
83,13400,181
84,14585,114
85,13500,289
86,13462,373
87,16396,173
88,13828,210
89,16545,362
90,12381,206
91,13435,119
92,16040,390
93,16333,98
94,14083,263
95,15001,282
96,21493,165
97,16960,286
98,4633,31
99,5073,89
100,6919,250
101,16116,114
102,16938,232
103,16598,260
104,7818,102
105,18844,64
106,13602,73
107,8855,160
108,13472,69
109,11236,464
110,16259,130
111,21912,313
112,5857,81
113,13091,74
114,12349,107
