Leaf,TotalPacket,DropPacket
0,19525,128
1,12407,121
2,15898,104
3,15790,103
4,15011,148
5,12570,68
6,15843,297
7,15068,214
8,3940,120
9,8738,79
10,23480,56
11,17980,89
12,20631,169
13,17750,194
14,16572,167
15,19160,117
16,17523,89
17,17285,180
18,20188,149
19,14323,55
20,20818,212
21,18708,123
22,15528,132
23,14307,83
24,15336,143
25,5858,114
26,20156,234
27,21842,238
28,16745,134
29,6912,23
30,11780,52
31,3849,49
32,9357,62
33,16500,104
34,23484,463
35,18713,220
36,20091,65
37,19537,37
38,15320,97
39,13671,93
40,17909,119
41,19253,308
42,22113,207
43,28612,129
44,4277,87
45,14254,252
46,24994,227
47,17643,66
48,12787,148
49,6738,53
50,23404,378
51,19808,140
52,6010,61
53,14566,241
54,5286,126
55,16124,136
56,15056,64
57,14819,407
58,4509,74
59,13005,39
60,17943,106
61,12213,126
62,15090,264
63,5126,44
64,13496,82
65,14790,201
66,14902,84
67,14555,152
68,15365,105
69,16310,211
70,12911,72
71,6836,46
72,18303,194
73,14862,136
74,11989,304
75,17107,162
76,13522,284
77,23443,293
78,12415,233
79,16256,301
80,11585,140
81,6160,112
82,4726,12
83,12838,174
84,14611,124
85,12236,237
86,11925,250
87,16186,146
88,12945,227
89,15178,253
90,12144,203
91,13500,134
92,16009,287
93,15644,67
94,14169,121
95,14342,202
96,20852,137
97,16470,125
98,4483,33
99,4987,68
100,7063,124
101,15676,126
102,16072,146
103,16383,309
104,7743,56
105,18012,57
106,13399,57
107,8826,65
108,13436,71
109,10702,198
110,15594,103
111,21544,200
112,5611,40
113,13056,57
114,11971,101
