Leaf,TotalPacket,DropPacket
0,16643,349
1,11216,360
2,12380,319
3,11048,374
4,13655,252
5,11455,112
6,14300,473
7,13359,253
8,3251,164
9,7786,117
10,17479,315
11,10603,260
12,18750,325
13,12534,249
14,15014,415
15,19522,330
16,17787,192
17,17305,277
18,17919,255
19,10159,384
20,13056,236
21,15914,162
22,14860,218
23,10869,256
24,12602,220
25,5715,111
26,17646,164
27,19535,239
28,11089,283
29,6888,65
30,10221,143
31,3771,52
32,8870,77
33,13221,152
34,19390,490
35,16917,241
36,17308,159
37,19320,214
38,11613,250
39,12494,112
40,16139,378
41,16226,467
42,20877,291
43,25543,277
44,3963,124
45,12516,407
46,22161,373
47,14687,186
48,12616,116
49,5104,63
50,19067,291
51,16946,214
52,5947,103
53,15874,248
54,5332,126
55,14355,266
56,10898,236
57,16761,265
58,3876,150
59,11792,52
60,14876,113
61,12339,148
62,14611,306
63,4596,38
64,11903,132
65,12172,291
66,11511,227
67,14225,257
68,13182,171
69,13388,288
70,5675,163
71,6224,74
72,17999,227
73,11083,326
74,4917,70
75,14696,184
76,4856,79
77,20298,423
78,13218,138
79,14687,224
80,11573,154
81,6036,141
82,4527,19
83,13802,242
84,11759,315
85,11895,368
86,15118,86
87,16869,309
88,10668,250
89,15443,330
90,15384,452
91,12548,253
92,13613,231
93,14099,165
94,12878,216
95,12259,282
96,17563,336
97,11693,269
98,3044,227
99,4180,89
100,5889,246
101,11271,234
102,12792,193
103,18899,48
104,7896,54
105,16586,110
106,11679,165
107,8861,123
108,12837,117
109,7403,329
110,10807,343
111,20099,395
112,5585,93
113,10945,137
114,10819,117
