Leaf,TotalPacket,DropPacket
0,15818,11
1,11193,6
2,8127,0
3,8300,9
4,13243,8
5,12303,3
6,19570,7
7,9172,19
8,5620,7
9,14042,1
10,18201,10
11,15392,4
12,15294,6
13,17312,15
14,15762,12
15,14991,12
16,15277,4
17,20190,1
18,19104,22
19,14204,16
20,17850,15
21,19219,3
22,14025,9
23,11715,9
24,20183,42
25,2436,7
26,23391,8
27,24108,4
28,18800,12
29,8218,3
30,8572,16
31,2812,6
32,13300,16
33,11472,6
34,24889,2
35,19055,7
36,12941,12
37,18617,16
38,12340,19
39,13607,12
40,15693,1
41,15375,7
42,18660,10
43,24604,7
44,4133,7
45,13659,18
46,16453,27
47,11178,5
48,9996,0
49,7938,5
50,21228,13
51,13179,6
52,8948,16
53,14203,21
54,6029,2
55,16854,5
56,14153,8
57,12638,1
58,3118,3
59,9675,13
60,16637,23
61,10012,20
62,16069,4
63,8186,7
64,3886,1
65,9698,2
66,7801,1
67,11327,7
68,14703,7
69,9442,15
70,12524,20
71,8615,3
72,15242,5
73,12930,24
74,9833,4
75,19486,18
76,17532,12
77,16702,31
78,13379,2
79,15782,3
80,12781,6
81,9591,0
82,6218,0
83,13774,10
84,10971,7
85,13273,11
86,13736,6
87,15389,14
88,12927,14
89,9207,4
90,18962,6
91,9548,0
92,17409,10
93,14850,11
94,11579,17
95,14377,14
96,20715,13
97,16773,12
98,6118,10
99,5583,15
100,6537,5
101,12700,12
102,14178,14
103,10736,9
104,9170,2
105,10300,4
106,14191,7
107,11784,9
108,11135,12
109,15919,24
110,9822,0
111,19089,14
112,10489,9
113,10913,10
114,12792,19
