Leaf,TotalPacket,DropPacket
0,18322,32
1,8479,4
2,8830,15
3,9779,18
4,19363,29
5,10290,1
6,18449,16
7,9839,13
8,10444,23
9,9589,19
10,7345,5
11,9126,25
12,9466,3
13,19671,16
14,12830,7
15,5935,19
16,15195,13
17,22273,4
18,10818,15
19,10393,6
20,22849,44
21,18089,15
22,14943,23
23,12678,27
24,25457,45
25,10509,20
26,18682,22
27,24349,43
28,20277,25
29,13032,39
30,8945,26
31,4235,5
32,8501,7
33,11719,14
34,15935,28
35,20897,9
36,8082,10
37,13971,26
38,13651,40
39,15529,44
40,16354,20
41,12161,31
42,18536,26
43,27599,52
44,13221,40
45,10870,30
46,16559,29
47,13972,37
48,2246,25
49,7326,9
50,19478,8
51,9321,19
52,14612,14
53,13564,31
54,6058,6
55,17647,29
56,12088,22
57,7626,4
58,9600,10
59,11684,29
60,18972,5
61,10641,47
62,17230,8
63,13338,9
64,8644,13
65,10060,16
66,7607,4
67,10593,30
68,15137,7
69,11907,17
70,13146,30
71,8444,1
72,15010,24
73,16620,20
74,7200,7
75,16604,47
76,17560,34
77,9339,41
78,14616,46
79,13422,19
80,12639,18
81,13438,20
82,7181,12
83,13983,6
84,9376,11
85,3833,42
86,12511,10
87,17244,23
88,14071,29
89,9509,5
90,15472,16
91,10250,5
92,14846,17
93,11108,25
94,11774,29
95,11764,6
96,18229,4
97,16692,25
98,5887,6
99,10576,30
100,9637,11
101,11827,32
102,14549,48
103,13336,13
104,4856,18
105,16597,11
106,11340,33
107,10807,9
108,7157,5
109,11892,17
110,6986,9
111,16681,31
112,12809,17
113,12609,25
114,13883,16
