Leaf,TotalPacket,DropPacket
0,18673,180
1,11634,148
2,14754,156
3,14242,130
4,13738,204
5,11558,103
6,14089,398
7,14838,209
8,3555,139
9,8407,94
10,22501,85
11,16976,137
12,19099,209
13,15889,268
14,15447,206
15,16841,221
16,17099,123
17,16004,257
18,18840,190
19,13075,83
20,20423,266
21,17680,131
22,15047,199
23,12415,162
24,14536,174
25,5870,106
26,18165,346
27,20564,255
28,16561,165
29,6802,37
30,10752,92
31,3783,44
32,8523,109
33,15150,143
34,20828,319
35,17377,224
36,19200,87
37,18133,58
38,14745,140
39,13037,115
40,16713,146
41,19132,289
42,19286,347
43,26301,218
44,4108,77
45,13674,285
46,23734,255
47,15785,74
48,12318,179
49,6370,79
50,23545,396
51,18949,197
52,6164,69
53,13960,185
54,4786,143
55,14429,184
56,14216,91
57,14617,289
58,4382,101
59,12243,56
60,17987,113
61,10967,181
62,14302,360
63,5055,43
64,12190,106
65,14617,243
66,12965,127
67,13582,167
68,14386,133
69,14193,327
70,11342,125
71,6204,83
72,17379,262
73,14148,181
74,11372,323
75,15957,198
76,12322,250
77,21601,355
78,12261,207
79,15620,341
80,10504,178
81,5715,118
82,4686,14
83,11438,252
84,13367,149
85,11616,295
86,13137,248
87,15107,184
88,12321,300
89,14452,291
90,11454,219
91,12513,183
92,15140,384
93,16310,71
94,13450,212
95,13599,227
96,19370,197
97,14810,187
98,4289,39
99,4413,84
100,6810,118
101,13849,183
102,15634,167
103,15159,217
104,7690,62
105,16674,98
106,12938,76
107,8312,120
108,12409,107
109,9709,335
110,14502,176
111,19441,304
112,5617,31
113,12158,90
114,10879,126
