Leaf,TotalPacket,DropPacket
0,18452,194
1,11269,163
2,14990,138
3,15321,141
4,14357,179
5,11772,96
6,14715,369
7,14920,181
8,3601,145
9,8250,119
10,23048,69
11,16698,139
12,19644,194
13,16724,289
14,15209,203
15,18572,140
16,17453,117
17,16685,212
18,20058,196
19,13337,112
20,20048,344
21,17974,139
22,15217,196
23,13269,130
24,14799,143
25,5671,85
26,18460,327
27,21124,306
28,16306,204
29,6871,48
30,11625,59
31,3450,95
32,9240,70
33,15539,121
34,21239,346
35,18408,237
36,20104,65
37,18777,60
38,14925,159
39,12995,116
40,16265,182
41,19684,276
42,20969,259
43,27155,233
44,4231,74
45,13925,242
46,23846,271
47,16829,82
48,12268,208
49,6689,73
50,23726,406
51,19633,170
52,6355,55
53,13619,193
54,4911,151
55,14695,217
56,14820,76
57,14613,327
58,4254,138
59,12313,61
60,17068,146
61,11405,165
62,12794,441
63,4981,40
64,12758,86
65,14573,296
66,13922,104
67,14311,186
68,15293,140
69,15535,297
70,11962,105
71,6750,64
72,17743,239
73,14581,189
74,11299,396
75,15960,231
76,12827,241
77,21173,399
78,11730,286
79,15449,326
80,9977,271
81,5661,122
82,4711,10
83,11978,202
84,13492,175
85,10569,381
86,12041,288
87,14769,199
88,13189,243
89,14134,320
90,11503,215
91,12263,161
92,15266,370
93,15571,83
94,13703,192
95,14089,235
96,18501,276
97,16226,147
98,4449,26
99,4601,78
100,6578,129
101,13752,176
102,15639,173
103,16169,211
104,7774,57
105,17526,83
106,12997,94
107,8952,84
108,13038,98
109,10046,330
110,14596,150
111,20031,268
112,5513,29
113,12747,82
114,11928,85
