Leaf,TotalPacket,DropPacket
0,19119,154
1,10923,152
2,14648,215
3,10630,275
4,14152,145
5,12587,46
6,14395,288
7,15474,149
8,3898,114
9,8299,81
10,18384,209
11,11402,115
12,19142,200
13,14516,123
14,15738,147
15,19535,187
16,18890,122
17,18417,201
18,19948,158
19,10497,214
20,14024,116
21,18513,98
22,14734,140
23,12822,105
24,13997,146
25,5930,92
26,19830,86
27,21500,130
28,14075,108
29,7041,33
30,11140,100
31,3811,54
32,9198,55
33,14739,87
34,21495,324
35,18927,160
36,17178,108
37,19826,103
38,12880,149
39,12870,114
40,18023,205
41,18605,228
42,22267,182
43,26194,141
44,4025,62
45,13325,197
46,24285,166
47,15024,133
48,12750,106
49,5321,52
50,20603,160
51,18325,135
52,6360,105
53,15982,154
54,4821,135
55,14950,148
56,11666,159
57,17092,167
58,4583,75
59,12379,27
60,15562,74
61,12682,91
62,15860,134
63,4795,31
64,12323,89
65,13162,156
66,10693,183
67,15784,161
68,15099,100
69,15136,156
70,6139,107
71,6451,70
72,19275,186
73,13551,159
74,5037,74
75,16934,93
76,4888,65
77,21269,307
78,13978,99
79,14801,102
80,11526,120
81,5861,117
82,4745,24
83,13059,136
84,14250,176
85,10218,305
86,14962,58
87,18241,177
88,13002,123
89,16049,210
90,15544,300
91,13468,149
92,14574,100
93,15222,88
94,13524,130
95,13383,218
96,19439,157
97,13117,108
98,3340,124
99,4981,66
100,6546,124
101,12684,120
102,13976,97
103,19300,30
104,7674,43
105,17435,62
106,12457,119
107,9242,76
108,13784,71
109,7851,221
110,11326,216
111,20356,206
112,6048,88
113,11425,70
114,12009,95
