Leaf,TotalPacket,DropPacket
0,16182,2
1,11636,1
2,8127,0
3,8709,0
4,13089,12
5,12527,0
6,19893,48
7,10029,6
8,5502,45
9,14041,0
10,18315,18
11,15532,2
12,15600,3
13,17847,22
14,16239,4
15,15158,5
16,15398,0
17,20284,0
18,19704,21
19,14481,5
20,18299,5
21,19199,2
22,14507,1
23,11795,3
24,21380,18
25,2344,11
26,24099,2
27,24554,1
28,19082,17
29,8092,5
30,9278,8
31,3090,1
32,14109,4
33,11892,1
34,24876,3
35,19366,3
36,12919,9
37,18934,8
38,13322,6
39,14568,3
40,15632,2
41,15719,3
42,18588,3
43,25487,0
44,4068,4
45,13553,14
46,16787,15
47,11509,1
48,9996,0
49,7923,2
50,21848,3
51,13154,13
52,9380,15
53,14625,13
54,6211,0
55,17098,8
56,14039,6
57,12796,0
58,3361,0
59,9826,37
60,17265,7
61,10916,10
62,15992,2
63,8247,8
64,4072,0
65,10152,0
66,7861,0
67,11610,1
68,15189,0
69,9952,4
70,12808,13
71,8603,1
72,15390,1
73,13310,14
74,10446,0
75,19804,9
76,18440,4
77,17901,19
78,13631,1
79,16136,0
80,12985,2
81,9591,0
82,6218,0
83,14879,2
84,11211,2
85,13846,7
86,13870,1
87,15743,32
88,13411,7
89,9610,0
90,19713,0
91,9548,0
92,17863,3
93,15036,8
94,12527,11
95,14632,3
96,21395,2
97,17031,44
98,6096,43
99,5581,10
100,6799,0
101,13058,5
102,14510,8
103,11418,2
104,9251,1
105,10626,1
106,14411,2
107,12117,0
108,11821,4
109,16641,12
110,9822,0
111,19647,6
112,10755,3
113,11296,8
114,13519,5
