Leaf,TotalPacket,DropPacket
0,15832,8
1,11579,3
2,7836,3
3,8416,7
4,13416,5
5,12054,2
6,19778,10
7,8915,16
8,5640,6
9,13809,9
10,18197,15
11,15080,5
12,15143,7
13,16841,15
14,15786,8
15,14802,9
16,15332,1
17,20126,1
18,18880,24
19,14324,10
20,17701,13
21,19185,2
22,14219,5
23,11922,4
24,19868,47
25,2437,16
26,23372,9
27,24044,5
28,18973,13
29,8207,4
30,8587,19
31,3021,3
32,13708,9
33,10968,8
34,24838,3
35,19006,7
36,13146,8
37,18619,12
38,12517,16
39,14111,7
40,15368,4
41,15676,2
42,18480,13
43,24426,7
44,4156,4
45,13701,19
46,16465,22
47,11228,6
48,9996,0
49,7872,3
50,21157,16
51,12922,8
52,8985,18
53,14144,29
54,5826,3
55,16425,8
56,14385,6
57,12544,1
58,3116,2
59,9547,15
60,16921,9
61,9932,21
62,15826,6
63,8212,7
64,4071,1
65,10152,0
66,7861,0
67,11564,5
68,14488,12
69,9598,15
70,12500,15
71,8627,2
72,14790,7
73,13231,15
74,9800,5
75,19558,14
76,18178,5
77,17466,24
78,13490,1
79,15788,6
80,12583,7
81,9197,3
82,6218,0
83,14414,6
84,10699,11
85,13405,7
86,13579,5
87,16045,10
88,12881,14
89,9241,5
90,18933,5
91,9548,0
92,17542,9
93,14537,13
94,12068,18
95,13847,13
96,20879,10
97,17085,8
98,6284,7
99,5335,15
100,6466,6
101,12929,7
102,14247,11
103,11055,7
104,9103,3
105,10359,5
106,14125,7
107,11823,5
108,11486,9
109,15792,26
110,9537,2
111,19282,15
112,10699,10
113,10878,13
114,13627,8
