Leaf,TotalPacket,DropPacket
0,18551,40
1,8443,21
2,8623,21
3,9806,22
4,19112,45
5,10268,2
6,18153,30
7,10025,14
8,10094,45
9,9654,24
10,7077,12
11,9482,31
12,9377,4
13,19863,19
14,11840,26
15,5899,52
16,14768,16
17,21895,9
18,10597,28
19,10338,4
20,22977,36
21,17796,19
22,14861,27
23,12266,49
24,25161,32
25,10237,21
26,18875,24
27,24501,54
28,20443,20
29,12746,50
30,8665,21
31,4208,9
32,8006,15
33,11551,30
34,15733,33
35,20933,6
36,8523,21
37,13983,27
38,13306,49
39,15941,75
40,16112,39
41,11718,37
42,17489,54
43,27725,65
44,13140,20
45,10395,31
46,15492,68
47,13265,46
48,2499,16
49,7403,9
50,18788,10
51,9481,26
52,13787,20
53,13221,32
54,5771,24
55,17422,64
56,12171,15
57,7492,7
58,8929,12
59,11979,13
60,18971,6
61,10694,35
62,16755,17
63,13789,4
64,8496,9
65,9462,26
66,7623,12
67,10438,43
68,14955,9
69,11784,30
70,13527,17
71,8199,4
72,14663,43
73,16225,30
74,7256,14
75,17097,59
76,17054,61
77,9286,36
78,14992,133
79,13683,18
80,12216,25
81,13209,32
82,7305,6
83,14081,10
84,9125,18
85,3981,30
86,12540,18
87,17220,36
88,14579,40
89,9485,5
90,15487,24
91,10384,4
92,14829,37
93,11143,33
94,12040,58
95,11573,12
96,17018,13
97,16212,42
98,5773,11
99,11028,28
100,9499,11
101,11918,32
102,14564,55
103,13365,14
104,4849,17
105,16540,14
106,11277,53
107,10565,9
108,7202,6
109,11459,25
110,6829,14
111,16825,43
112,12509,38
113,12806,43
114,14058,21
