Leaf,TotalPacket,DropPacket
0,19060,20
1,8632,1
2,9156,3
3,10450,6
4,20334,11
5,10302,0
6,18419,19
7,10377,3
8,10123,19
9,10213,0
10,7153,9
11,10190,1
12,9925,0
13,20050,13
14,13538,3
15,6222,9
16,15757,3
17,22464,1
18,11581,12
19,10745,0
20,23856,20
21,18838,3
22,15870,2
23,13870,6
24,26110,17
25,10348,23
26,19706,1
27,26164,7
28,20983,19
29,13639,18
30,9695,16
31,4455,4
32,8496,12
33,12519,1
34,17080,3
35,21198,0
36,8881,10
37,14445,14
38,15160,5
39,16138,17
40,17314,4
41,12598,5
42,18790,31
43,29953,11
44,13033,15
45,10730,21
46,17113,13
47,14804,5
48,2685,11
49,7922,0
50,19872,0
51,10190,8
52,14675,12
53,14102,16
54,6308,1
55,18326,9
56,12291,17
57,7822,0
58,9657,1
59,12117,12
60,20014,0
61,11127,19
62,17813,1
63,13810,0
64,8919,6
65,10821,0
66,7691,1
67,10837,18
68,16026,0
69,11978,9
70,13358,15
71,8460,0
72,16046,5
73,17001,10
74,7376,12
75,18072,17
76,19673,5
77,9538,26
78,15599,19
79,14186,3
80,13169,2
81,14088,6
82,7591,2
83,14752,0
84,9956,2
85,4310,16
86,13114,0
87,18103,5
88,14630,28
89,9752,0
90,15950,1
91,10888,0
92,15402,10
93,11931,11
94,12649,13
95,12473,0
96,18497,0
97,17106,13
98,5956,0
99,11558,7
100,9975,1
101,12856,3
102,15380,24
103,14321,0
104,5246,4
105,17189,0
106,12127,16
107,10918,6
108,7190,2
109,12353,9
110,7319,2
111,17057,14
112,13574,7
113,13088,13
114,14908,2
