Leaf,TotalPacket,DropPacket
0,17428,211
1,11721,135
2,14976,139
3,13453,135
4,13822,196
5,11412,84
6,14315,343
7,14034,283
8,3753,117
9,8659,90
10,21771,75
11,15088,140
12,19830,198
13,16237,231
14,14824,216
15,17304,156
16,16890,101
17,16612,211
18,18777,172
19,11688,86
20,19259,253
21,17401,159
22,14667,173
23,12242,138
24,14532,147
25,5589,139
26,18577,301
27,19608,268
28,16416,158
29,6775,37
30,10788,60
31,3597,44
32,8856,87
33,14841,117
34,20832,376
35,17737,252
36,18629,82
37,18271,61
38,15123,109
39,12408,119
40,16258,169
41,18335,258
42,19813,354
43,26806,188
44,4350,97
45,14066,272
46,23176,256
47,15717,104
48,11689,152
49,6542,58
50,23055,527
51,18111,174
52,6294,53
53,12722,165
54,4847,127
55,15033,148
56,13761,107
57,14300,309
58,4029,97
59,10639,108
60,17358,125
61,11458,157
62,14626,339
63,4815,33
64,12680,143
65,14098,246
66,11686,166
67,14025,178
68,14237,131
69,14905,239
70,11457,108
71,6552,53
72,17802,237
73,14221,179
74,11401,316
75,16058,179
76,12676,212
77,21806,403
78,12314,308
79,14097,370
80,9335,157
81,6337,124
82,4599,9
83,11731,207
84,12046,151
85,12261,284
86,12389,315
87,15277,173
88,13424,266
89,14413,287
90,11269,207
91,11481,160
92,15682,350
93,13943,111
94,13556,168
95,13840,183
96,18996,201
97,14461,195
98,4413,18
99,4212,76
100,6735,205
101,13425,163
102,15594,175
103,15199,266
104,7480,87
105,16032,83
106,12751,78
107,8419,159
108,12848,91
109,9534,252
110,13962,158
111,19867,425
112,5786,49
113,11780,86
114,11452,95
