Leaf,TotalPacket,DropPacket
0,18833,13
1,8593,2
2,9120,3
3,10341,11
4,19891,14
5,10302,0
6,18541,15
7,10303,3
8,10437,17
9,9894,2
10,7145,9
11,9543,5
12,9925,0
13,20080,11
14,13521,3
15,6155,6
16,15525,6
17,22470,0
18,11415,7
19,10745,0
20,23644,13
21,18583,5
22,15742,4
23,13789,9
24,25142,25
25,10439,15
26,19218,5
27,25572,11
28,20892,5
29,13382,15
30,9548,22
31,4477,3
32,8085,9
33,12345,3
34,16705,10
35,21197,1
36,8741,7
37,14480,8
38,14885,6
39,16219,15
40,17253,5
41,12453,6
42,18792,27
43,29970,10
44,13087,23
45,10664,20
46,17448,17
47,14958,4
48,2681,10
49,7674,1
50,19872,0
51,10038,12
52,14928,5
53,14070,14
54,6170,1
55,18072,14
56,12616,6
57,7731,1
58,9669,1
59,12194,17
60,20014,0
61,10705,23
62,17811,1
63,13810,0
64,9039,3
65,10479,3
66,7691,1
67,10639,16
68,15901,1
69,12477,3
70,13362,17
71,8460,0
72,15414,7
73,16856,19
74,7241,12
75,17968,23
76,19256,7
77,9653,20
78,15094,23
79,13977,3
80,13081,2
81,13553,10
82,7327,3
83,14723,1
84,9918,3
85,4007,18
86,12907,2
87,17922,6
88,14395,43
89,9486,1
90,15836,2
91,10888,0
92,15507,4
93,11542,13
94,12469,16
95,12473,0
96,18406,1
97,17040,14
98,5926,3
99,11621,12
100,9835,3
101,12253,8
102,15248,19
103,13890,2
104,4912,7
105,17189,0
106,12074,17
107,10854,12
108,7209,2
109,12606,2
110,7544,1
111,16998,14
112,13379,9
113,12835,21
114,14707,5
