Leaf,TotalPacket,DropPacket
0,16161,12
1,11713,0
2,8127,0
3,8659,6
4,13477,12
5,12527,0
6,19997,11
7,10368,2
8,5626,11
9,14041,0
10,18305,27
11,15703,0
12,15983,1
13,17979,9
14,16486,1
15,15151,7
16,15398,0
17,20284,0
18,19896,11
19,15135,0
20,18503,16
21,19412,0
22,14672,1
23,11978,1
24,21762,28
25,2438,57
26,24269,0
27,24800,0
28,19204,18
29,8175,13
30,9383,37
31,2961,4
32,13961,9
33,12150,0
34,24990,2
35,19966,0
36,13397,11
37,19152,20
38,13646,2
39,14630,0
40,15938,0
41,15819,2
42,19254,1
43,25487,0
44,4045,26
45,13695,34
46,16745,24
47,11357,2
48,9996,0
49,7946,2
50,21875,8
51,13397,14
52,9546,13
53,14719,35
54,6211,0
55,17133,4
56,14252,13
57,12796,0
58,3361,0
59,9886,18
60,17755,2
61,10742,31
62,16385,0
63,8042,15
64,4072,0
65,10152,0
66,7861,0
67,11726,6
68,15189,0
69,10195,6
70,12967,46
71,8861,0
72,15169,5
73,13368,34
74,10446,0
75,19692,25
76,18460,3
77,18358,34
78,13644,0
79,16130,2
80,13258,0
81,9591,0
82,6218,0
83,14959,2
84,11214,3
85,13796,19
86,14065,0
87,16378,10
88,13490,12
89,9457,1
90,19713,0
91,9548,0
92,17771,14
93,15027,14
94,12658,14
95,14806,14
96,21566,1
97,17420,8
98,6333,9
99,5588,32
100,6799,0
101,13303,7
102,14494,14
103,11735,0
104,9278,0
105,10701,0
106,14401,2
107,12117,0
108,11956,5
109,17289,17
110,9644,1
111,19835,13
112,10965,2
113,11242,21
114,13746,11
