Leaf,TotalPacket,DropPacket
0,17680,259
1,11044,184
2,13687,193
3,13855,180
4,14037,204
5,11182,87
6,14333,404
7,13163,307
8,3624,143
9,8379,103
10,20576,110
11,14883,202
12,17998,275
13,15471,286
14,15594,231
15,16677,217
16,15534,158
17,15722,280
18,18344,233
19,12314,98
20,17081,448
21,16409,164
22,14794,195
23,12062,153
24,14941,197
25,5847,93
26,19198,325
27,19040,291
28,16518,196
29,6537,70
30,11070,88
31,3768,64
32,8784,112
33,15244,117
34,19567,315
35,17697,259
36,16878,117
37,18313,93
38,14247,173
39,12305,122
40,16063,215
41,17854,324
42,17774,341
43,25034,265
44,4283,82
45,14080,280
46,23030,300
47,15568,135
48,11881,195
49,6500,80
50,23167,441
51,17671,254
52,6077,67
53,12557,211
54,4816,140
55,14493,179
56,13068,118
57,14056,318
58,4412,80
59,11179,61
60,16378,148
61,10993,199
62,14046,383
63,5160,31
64,12490,105
65,14512,272
66,12995,132
67,13966,205
68,14305,135
69,13621,335
70,10988,145
71,6294,79
72,16878,317
73,13811,200
74,10805,407
75,15038,243
76,11489,318
77,20682,426
78,10838,331
79,13631,413
80,9874,210
81,5618,136
82,4497,8
83,11856,242
84,11424,213
85,11741,316
86,11392,275
87,15188,218
88,12255,267
89,14393,312
90,10445,246
91,11156,222
92,15231,425
93,14944,121
94,13507,183
95,13614,218
96,19453,253
97,15087,256
98,4182,35
99,4565,66
100,6202,166
101,13500,166
102,14647,245
103,14286,261
104,7283,89
105,15553,129
106,11839,121
107,8625,88
108,12616,121
109,9173,333
110,13851,158
111,19835,255
112,5407,29
113,11740,102
114,11348,114
