Leaf,TotalPacket,DropPacket
0,18189,275
1,10961,195
2,12670,312
3,10811,363
4,14678,205
5,11570,104
6,13997,476
7,13539,233
8,3284,122
9,7866,134
10,17535,288
11,10185,261
12,18938,247
13,12590,278
14,14941,262
15,19583,306
16,18716,182
17,18170,251
18,19322,328
19,10753,330
20,13822,241
21,16324,176
22,15048,181
23,12029,191
24,13412,269
25,5931,121
26,17638,153
27,19849,215
28,11943,240
29,6855,48
30,10491,155
31,3813,44
32,9096,88
33,13281,147
34,20899,448
35,16924,210
36,17455,163
37,20253,172
38,12620,281
39,12537,169
40,16418,408
41,17686,362
42,21228,294
43,25421,243
44,3614,123
45,12129,339
46,22261,371
47,14262,243
48,12135,193
49,5444,75
50,20198,285
51,18432,184
52,6168,84
53,15328,309
54,5157,117
55,14719,238
56,11372,202
57,16267,288
58,4263,91
59,12029,41
60,14700,134
61,11756,119
62,15169,215
63,4582,36
64,12054,121
65,11306,368
66,10675,232
67,14882,239
68,14384,145
69,14351,225
70,5840,153
71,6257,97
72,18856,208
73,12342,224
74,4949,56
75,15540,208
76,4812,60
77,20551,377
78,12309,195
79,14705,170
80,11345,167
81,5672,118
82,4573,23
83,13687,181
84,12367,307
85,11839,357
86,14318,93
87,17542,283
88,11376,259
89,16137,237
90,15931,408
91,12646,274
92,13547,225
93,14421,157
94,12435,185
95,12164,357
96,18730,236
97,11346,235
98,3018,140
99,4474,72
100,5754,185
101,11546,226
102,12928,177
103,18572,49
104,7821,57
105,15766,148
106,11796,170
107,8930,135
108,12777,158
109,7719,326
110,11326,334
111,20258,269
112,5296,99
113,11307,135
114,10588,154
