Leaf,TotalPacket,DropPacket
0,20556,107
1,12200,119
2,16712,176
3,16301,133
4,15696,125
5,12686,56
6,16492,327
7,16281,230
8,4088,138
9,8971,54
10,24214,62
11,17945,68
12,21202,152
13,18552,174
14,16862,155
15,20245,134
16,18048,88
17,17533,193
18,21290,200
19,14542,33
20,22483,292
21,19469,179
22,16358,126
23,14892,100
24,15403,140
25,6561,121
26,20662,246
27,22639,254
28,16865,206
29,7089,48
30,11975,43
31,4005,45
32,9556,56
33,16505,171
34,24166,228
35,20375,316
36,19867,72
37,20128,30
38,15836,63
39,14105,84
40,18166,142
41,20396,253
42,23150,421
43,29176,108
44,4357,100
45,15269,210
46,25400,239
47,17890,69
48,13052,162
49,6803,91
50,25682,290
51,20812,193
52,6296,98
53,15302,197
54,5432,162
55,16754,137
56,15816,52
57,16355,312
58,4966,75
59,13591,109
60,18508,110
61,12411,155
62,16026,274
63,5311,74
64,13690,112
65,15834,167
66,14906,82
67,15676,143
68,15608,151
69,17037,197
70,13202,77
71,6927,49
72,18875,222
73,15353,157
74,12277,248
75,17217,172
76,14088,184
77,24174,334
78,12911,214
79,16110,386
80,12197,125
81,6760,140
82,4725,9
83,13895,146
84,14708,301
85,13249,236
86,13772,237
87,16360,121
88,13610,200
89,16745,345
90,12852,157
91,13723,151
92,16906,225
93,16777,53
94,14052,140
95,15349,421
96,21830,141
97,16230,116
98,4566,27
99,5125,77
100,7262,94
101,15835,105
102,17315,124
103,16852,315
104,7851,69
105,18710,113
106,13771,50
107,9163,93
108,13801,69
109,11208,222
110,16354,160
111,21949,195
112,5982,72
113,13296,41
114,12428,75
