size_interval,size_2,size_3,size_4
0.2072,0.0007,0.0010,0.0014
0.2600,0.0093,0.0218,0.0465
0.2435,0.0009,0.0017,0.0137
0.0659,0.0007,0.0010,0.0014
0.1393,0.0028,0.0042,0.0056
0.1099,0.0007,0.0010,0.0014
0.1772,0.0244,0.0478,0.0725
0.2403,0.0152,0.0460,0.0904
0.0490,0.0007,0.0010,0.0014
0.1673,0.0007,0.0010,0.0014
0.1245,0.0017,0.0024,0.0031
0.1532,0.0014,0.0021,0.0028
0.1410,0.0007,0.0010,0.0014
0.2662,0.1346,0.2473,0.3821
0.1297,0.0126,0.0193,0.0263
0.1127,0.0017,0.0024,0.0031
0.2517,0.0756,0.1850,0.3431
0.2487,0.0014,0.0086,0.0193
0.1056,0.0028,0.0042,0.0056
0.0343,0.0007,0.0010,0.0014
0.1633,0.0007,0.0010,0.0014
0.3292,0.1938,0.2843,0.3714
0.1734,0.0037,0.0157,0.0282
0.2207,0.0158,0.0375,0.0591
0.1708,0.0007,0.0010,0.0014
0.1476,0.0014,0.0021,0.0028
0.1165,0.0007,0.0010,0.0014
0.2895,0.0411,0.1119,0.2850
0.1221,0.0007,0.0010,0.0014
0.2248,0.0122,0.0334,0.0723
0.1402,0.0028,0.0042,0.0056
0.2369,0.1009,0.1646,0.2268
0.1953,0.0085,0.0243,0.0432
0.1778,0.0007,0.0010,0.0014
0.0828,0.0007,0.0010,0.0014
0.1468,0.0007,0.0010,0.0014
0.0289,0.0030,0.0049,0.0067
0.1346,0.0007,0.0010,0.0014
0.1920,0.0161,0.0430,0.0759
0.1654,0.0103,0.0234,0.0412
0.1251,0.0007,0.0010,0.0014
0.1926,0.0054,0.0303,0.0567
0.2509,0.0052,0.0113,0.0207
0.1054,0.0017,0.0024,0.0031
0.1337,0.0017,0.0024,0.0031
0.1511,0.0017,0.0024,0.0031
0.1676,0.0237,0.0604,0.0978
0.2798,0.0207,0.0498,0.0785
0.1186,0.0007,0.0010,0.0014
0.1562,0.0007,0.0010,0.0014
0.1540,0.0017,0.0024,0.0031
0.1409,0.0007,0.0010,0.0014
0.1765,0.0285,0.0778,0.1402
0.1200,0.0021,0.0031,0.0042
0.1334,0.0007,0.0010,0.0014
0.2158,0.0358,0.0722,0.1370
0.1178,0.0000,0.0000,0.0000
0.1572,0.0007,0.0010,0.0014
0.1544,0.0017,0.0024,0.0031
0.1027,0.0007,0.0010,0.0014
0.1653,0.0028,0.0042,0.0056
0.0981,0.0021,0.0031,0.0042
0.1034,0.0007,0.0010,0.0014
0.2281,0.0496,0.1067,0.2842
0.1408,0.0237,0.0454,0.0885
0.1116,0.0000,0.0000,0.0000
0.1443,0.0014,0.0022,0.0030
0.1488,0.0017,0.0024,0.0031
0.1295,0.0007,0.0010,0.0014
0.2615,0.0023,0.0049,0.0232
0.1499,0.0007,0.0010,0.0014
0.1752,0.0145,0.0398,0.0816
0.1853,0.0367,0.0720,0.1203
0.1177,0.0031,0.0045,0.0059
0.1988,0.0027,0.0077,0.0146
0.1706,0.0080,0.0119,0.0159
0.1898,0.0144,0.0335,0.0570
0.0410,0.0007,0.0010,0.0014
0.1477,0.0007,0.0010,0.0014
0.0958,0.0017,0.0024,0.0031
0.0936,0.0007,0.0010,0.0014
0.0415,0.0025,0.0042,0.0058
0.1549,0.0045,0.0066,0.0088
0.0903,0.0007,0.0010,0.0014
0.1174,0.0007,0.0010,0.0014
0.1335,0.0017,0.0024,0.0031
0.1262,0.0038,0.0056,0.0074
0.1234,0.0007,0.0010,0.0014
0.2390,0.0185,0.0455,0.0873
0.1746,0.0007,0.0010,0.0014
0.2500,0.0261,0.0496,0.0824
0.0604,0.0007,0.0010,0.0014
0.2185,0.0080,0.0219,0.0421
0.2386,0.0240,0.0463,0.0749
0.2382,0.1675,0.2640,0.3538
0.2638,0.0633,0.1327,0.2839
0.1415,0.0017,0.0024,0.0031
0.1369,0.0034,0.0052,0.0070
0.1269,0.0007,0.0010,0.0014
0.1085,0.0007,0.0010,0.0014
0.2216,0.0008,0.0132,0.0546
0.1647,0.0134,0.0399,0.0691
0.1789,0.0179,0.0394,0.0647
0.1474,0.0017,0.0024,0.0031
0.1691,0.0007,0.0010,0.0014
0.3700,0.1600,0.2346,0.3162
0.1036,0.0007,0.0010,0.0014
0.1292,0.0000,0.0000,0.0000
0.2042,0.0025,0.0157,0.0404
0.2119,0.0057,0.0217,0.0451
0.1074,0.0007,0.0010,0.0014
0.0458,0.1072,0.2491,0.3968
0.0892,0.0007,0.0010,0.0014
0.1060,0.0042,0.0063,0.0081
0.1294,0.0000,0.0000,0.0000
0.1857,0.0033,0.0127,0.0229
0.2430,0.0024,0.0191,0.0454
0.1895,0.0038,0.0087,0.0159
0.1527,0.0007,0.0010,0.0014
0.1175,0.0007,0.0010,0.0014
0.1685,0.0024,0.0035,0.0045
0.2093,0.0334,0.0570,0.0927
0.0878,0.0007,0.0010,0.0014
0.0910,0.0007,0.0010,0.0014
0.2665,0.0286,0.0596,0.1099
0.0679,0.0014,0.0021,0.0028
0.2486,0.0095,0.0190,0.0363
0.1353,0.0007,0.0010,0.0014
0.2409,0.0241,0.0545,0.1035
0.3636,0.0094,0.0187,0.0645
0.1833,0.0020,0.0052,0.0104
0.1168,0.0007,0.0010,0.0014
0.2206,0.0227,0.0534,0.0876
0.0775,0.0000,0.0000,0.0000
0.1242,0.0007,0.0010,0.0014
0.1137,0.0057,0.0110,0.0165
0.1218,0.0155,0.0235,0.0312
0.1397,0.0021,0.0167,0.0293
0.2080,0.0068,0.0151,0.0312
0.1660,0.0007,0.0010,0.0014
0.1263,0.0007,0.0010,0.0014
0.1104,0.0127,0.0191,0.0253
